step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_practice,time_share_practice,time_observe,time_share_observe,time_idle,time_share_idle,time_make,time_share_make,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_missing_asset,reject_time_budget_exceeded,count_practice,count_observe,count_idle,count_make,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
0,A,reachability,0.625,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,all_agents,,,40,0,15,25,0,0,0.1741576962424632,0.15267526182505348,0.6792305208175738,0.013613385552585847,1,1,0.025,0,0.0,0.0,25.95,33,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,participants_only,,,30,0,5,25,0,0,0.17621718865877453,0.1553312301876314,0.5621042251065486,0.012191616561097638,1,1,0.03333333333333333,0,0.0,0.0,24.6,33,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,nonparticipants_only,,,10,0,10,0,0,0,0.16797921899352902,0.14045655041454574,0.6792305208175738,0.017827794418896346,0,0,0.0,0,0.0,0.0,30.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,step_totals,,,,,,,,,,,,,,,,,,,,,83.99999999999997,20.0,0.23809523809523817,4.000000000000002,0.04761904761904766,0.0,0.0,60.0,0.7142857142857145,0.019940563056909014,0.016666666666666666,0.0,0,1,21,30,40,40,37,60,,,,,,,
2,A,all_agents,,,40,3,11,26,3,0,0.18047851896686706,0.16102691330424157,0.675834368213486,0.013365752703569416,9,9,0.225,1,1.0,1.0,26.9,66,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A,participants_only,,,30,3,1,26,3,0,0.18438572931466513,0.1672169328342582,0.5592937039810159,0.011989898882751572,9,9,0.3,1,1.0,1.0,24.2,66,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A,nonparticipants_only,,,10,0,10,0,0,0,0.16875688792347285,0.14049524365905175,0.675834368213486,0.01731011865359966,0,0,0.0,0,0.0,0.0,35.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A,step_totals,,,,,,,,,,,,,,,,,,,,,87.4,20.0,0.22883295194508008,4.000000000000002,0.04576659038901604,0.0,0.0,60.0,0.6864988558352403,0.01893340515067916,0.11666666666666667,0.1351351351351352,1,7,21,23,40,40,36,60,3.2000000000000006,0.03661327231121282,0.2,0.002288329519450801,16,1,
3,A,all_agents,,,40,3,10,27,3,0,0.18633744087686008,0.16574429551480668,0.6724551963724186,0.01342815159971506,22,17,0.425,7,1.2857142857142858,1.1428571428571428,28.375,97,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,A,participants_only,,,30,3,0,27,3,0,0.19194179539490963,0.17290559145200723,0.5564972354611107,0.012171748204671382,22,17,0.5666666666666667,7,1.2857142857142858,1.1428571428571428,24.5,97,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,A,nonparticipants_only,,,10,0,10,0,0,0,0.1695243773227114,0.14298118078277672,0.6724551963724186,0.016820456310078304,0,0,0.0,0,0.0,0.0,40.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,A,step_totals,,,,,,,,,,,,,,,,,,,,,89.0,20.0,0.2247191011235955,4.000000000000002,0.04494382022471912,0.0,0.0,60.0,0.6741573033707865,0.01733824402255485,0.11666666666666667,0.6666666666666671,6,7,20,15,40,40,34,60,3.400000000000001,0.03820224719101124,1.5999999999999999,0.01797752808988764,17,8,
4,A,all_agents,,,40,3,10,27,3,0,0.19157966808472368,0.16561028782938814,0.6690929203905565,0.013420790188733229,35,25,0.625,18,1.6111111111111112,1.1111111111111112,30.375,125,,,,,,,,,,,,,,,,,,,,,,,,,,,
