step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_practice,time_share_practice,time_make,time_share_make,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_observe,count_practice,count_make,count_idle,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
0,A,reachability,0.825,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,all_agents,,,40,0,15,25,0,0,0.16405136733798048,0.14723146986841765,0.5639156871731885,0.012223102178165685,9,8,0.2,0,0.0,0.0,25.7,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,participants_only,,,30,0,5,25,0,0,0.16640917376804124,0.14723146986841765,0.5639156871731885,0.012687047392917502,9,8,0.26666666666666666,0,0.0,0.0,24.266666666666666,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,nonparticipants_only,,,10,0,10,0,0,0,0.15697794804779822,0.13908127115378818,0.47102060320119216,0.010764555519970607,0,0,0.0,0,0.0,0.0,30.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,step_totals,,,,,,,,,,,,,,,,,,,,,83.49999999999997,4.000000000000002,0.047904191616766505,19.5,0.23353293413173662,60.0,0.7185628742514972,0.0,0.0,0.021656549699412973,0.15,0.0,0,9,30,21,40,39,60,34,,,,,,,
2,A,all_agents,,,40,2,11,27,2,0,0.1703891895444007,0.15227423819507707,0.581359059686261,0.012028342572492847,28,18,0.45,12,1.0,1.0,26.4,71,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A,participants_only,,,30,2,1,27,2,0,0.17458107643929108,0.15669005485514598,0.581359059686261,0.012520441310196948,28,18,0.6,12,1.0,1.0,23.533333333333335,71,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A,nonparticipants_only,,,10,0,10,0,0,0,0.15781352885972944,0.14296346030246376,0.4686655001851862,0.010341183370505894,0,0,0.0,0,0.0,0.0,35.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A,step_totals,,,,,,,,,,,,,,,,,,,,,88.5,4.000000000000002,0.04519774011299437,19.5,0.22033898305084745,60.0,0.6779661016949152,0.0,0.0,0.0186855507870569,0.11666666666666667,1.3333333333333346,12,7,16,18,40,39,60,33,3.600000000000001,0.040677966101694926,1.4,0.015819209039548022,18,7,
3,A,all_agents,,,40,3,11,26,3,0,0.17634294021245067,0.15695389958647152,0.5981046972988106,0.012068378918079896,41,21,0.525,23,1.3043478260869565,1.0869565217391304,27.7,103,,,,,,,,,,,,,,,,,,,,,,,,,,,
