step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_practice,time_share_practice,time_make,time_share_make,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_observe,count_practice,count_make,count_idle,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
0,C,reachability,0.825,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,all_agents,,,40,0,15,25,0,0,0.16405136733798048,0.14723146986841765,0.5639156871731885,0.012223102178165685,9,8,0.2,0,0.0,0.0,25.7,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,participants_only,,,30,0,5,25,0,0,0.16640917376804124,0.14723146986841765,0.5639156871731885,0.012687047392917502,9,8,0.26666666666666666,0,0.0,0.0,24.266666666666666,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,nonparticipants_only,,,10,0,10,0,0,0,0.15697794804779822,0.13908127115378818,0.47102060320119216,0.010764555519970607,0,0,0.0,0,0.0,0.0,30.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,step_totals,,,,,,,,,,,,,,,,,,,,,83.49999999999997,4.000000000000002,0.047904191616766505,19.5,0.23353293413173662,60.0,0.7185628742514972,0.0,0.0,0.021656549699412973,0.15,0.0,0,9,30,21,40,39,60,34,,,,,,,
2,C,all_agents,,,40,2,11,27,2,0,0.1703891895444007,0.15227423819507707,0.581359059686261,0.012028342572492847,16,10,0.25,0,0.0,0.0,26.4,71,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,participants_only,,,30,2,1,27,2,0,0.17458107643929108,0.15669005485514598,0.581359059686261,0.012520441310196948,16,10,0.3333333333333333,0,0.0,0.0,23.533333333333335,71,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,nonparticipants_only,,,10,0,10,0,0,0,0.15781352885972944,0.14296346030246376,0.4686655001851862,0.010341183370505894,0,0,0.0,0,0.0,0.0,35.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,step_totals,,,,,,,,,,,,,,,,,,,,,88.5,4.000000000000002,0.04519774011299437,19.5,0.22033898305084745,60.0,0.6779661016949152,0.0,0.0,0.0186855507870569,0.11666666666666667,0.0,0,7,16,18,40,39,60,33,3.600000000000001,0.040677966101694926,1.4,0.015819209039548022,18,7,
3,C,all_agents,,,40,4,11,25,4,0,0.17639715044439816,0.15695389958647152,0.5855454690893984,0.012037431569558577,24,17,0.425,0,0.0,0.0,27.65,102,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,C,participants_only,,,30,4,1,25,4,0,0.18231664707365536,0.16360995932784766,0.5855454690893984,0.01259486089483978,24,17,0.5666666666666667,0,0.0,0.0,23.533333333333335,102,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,C,nonparticipants_only,,,10,0,10,0,0,0,0.15863866055662654,0.1469036506462902,0.4663221726842603,0.00994465830958952,0,0,0.0,0,0.0,0.0,40.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,C,step_totals,,,,,,,,,,,,,,,,,,,,,88.70000000000002,3.900000000000002,0.04396843291995492,20.0,0.22547914317925588,60.0,0.6764374295377676,0.0,0.0,0.017730622375668963,0.13333333333333333,0.0,0,8,18,17,39,40,60,33,3.2000000000000006,0.036076662908680945,1.5999999999999999,0.01803833145434047,16,8,
4,C,all_agents,,,40,4,10,26,4,0,0.1816117237740446,0.16215831827395255,0.6021236503258225,0.011942541584295644,27,18,0.45,0,0.0,0.0,29.5,128,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,C,participants_only,,,30,4,0,26,4,0,0.1889977859268103,0.1694276752619798,0.6021236503258225,0.01251388164252179,27,18,0.6,0,0.0,0.0,24.333333333333332,128,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,C,nonparticipants_only,,,10,0,10,0,0,0,0.15945353731574757,0.14716879895056934,0.463990561820839,0.009573874440122991,0,0,0.0,0,0.0,0.0,45.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,C,step_totals,,,,,,,,,,,,,,,,,,,,,85.70000000000005,3.900000000000002,0.045507584597432905,20.0,0.233372228704784,53.0,0.6184364060676776,0.0,0.0,0.01625565261818217,0.05660377358490566,0.0,0,3,4,25,39,40,53,38,5.400000000000002,0.0630105017502917,3.400000000000001,0.03967327887981329,27,17,21
