step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_practice,time_share_practice,time_make,time_share_make,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_observe,count_practice,count_make,count_idle,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
0,D,reachability,0.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,all_agents,,,40,0,15,25,0,0,0.16405136733798048,0.14723146986841765,0.5639156871731885,0.012223102178165685,9,8,0.2,0,0.0,0.0,25.7,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,participants_only,,,30,0,5,25,0,0,0.16640917376804124,0.14723146986841765,0.5639156871731885,0.012687047392917502,9,8,0.26666666666666666,0,0.0,0.0,24.266666666666666,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,nonparticipants_only,,,10,0,10,0,0,0,0.15697794804779822,0.13908127115378818,0.47102060320119216,0.010764555519970607,0,0,0.0,0,0.0,0.0,30.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,step_totals,,,,,,,,,,,,,,,,,,,,,83.49999999999997,4.000000000000002,0.047904191616766505,19.5,0.23353293413173662,60.0,0.7185628742514972,0.0,0.0,0.021656549699412973,0.15,0.0,0,9,30,21,40,39,60,34,,,,,,,
2,D,all_agents,,,40,3,11,26,3,0,0.17030710523744133,0.15337922473755736,0.581359059686261,0.012105261533343644,11,9,0.225,0,0.0,0.0,26.45,71,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D,participants_only,,,30,3,1,26,3,0,0.17447163069667865,0.1588968980291222,0.581359059686261,0.012623914498420352,11,9,0.3,0,0.0,0.0,23.6,71,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D,nonparticipants_only,,,10,0,10,0,0,0,0.15781352885972944,0.14296346030246376,0.4686655001851862,0.010341183370505894,0,0,0.0,0,0.0,0.0,35.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D,step_totals,,,,,,,,,,,,,,,,,,,,,87.7,4.000000000000002,0.04561003420752568,19.5,0.22234891676168755,59.0,0.6727480045610034,0.0,0.0,0.01863682797713638,0.03389830508474576,0.0,0,2,16,18,40,39,59,33,3.800000000000001,0.04332953249714939,1.4,0.015963511972633977,19,7,
3,D,all_agents,,,40,4,11,25,4,0,0.17670951354872605,0.15695389958647152,0.5981046972988106,0.012223795404971993,15,13,0.325,0,0.0,0.0,27.725,107,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,D,participants_only,,,30,4,1,25,4,0,0.1827331312127592,0.1624093906826526,0.5981046972988106,0.012838371891049674,15,13,0.43333333333333335,0,0.0,0.0,23.633333333333333,107,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,D,nonparticipants_only,,,10,0,10,0,0,0,0.15863866055662654,0.1469036506462902,0.4663221726842603,0.00994465830958952,0,0,0.0,0,0.0,0.0,40.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,D,step_totals,,,,,,,,,,,,,,,,,,,,,88.30000000000003,3.900000000000002,0.04416761041902606,20.0,0.22650056625141557,59.0,0.668176670441676,0.0,0.0,0.018896050674716676,0.06779661016949153,0.0,0,4,16,17,39,40,59,32,3.800000000000001,0.04303510758776897,1.5999999999999999,0.018120045300113245,19,8,
