step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_practice,time_share_practice,time_make,time_share_make,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_observe,count_practice,count_make,count_idle,time_share,time_share_share,time_ask,time_share_ask,count_share,count_ask,reject_insufficient_material
0,A,reachability,0.725,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,all_agents,,,40,0,14,26,0,0,0.1577225252276774,0.12320543587520133,0.5412550290942407,0.012080921508275097,6,6,0.15,0,0.0,0.0,25.925,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,participants_only,,,30,0,4,26,0,0,0.15910475000013108,0.13265136800429178,0.4595779429083232,0.011327138348613848,6,6,0.2,0,0.0,0.0,24.566666666666666,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,nonparticipants_only,,,10,0,10,0,0,0,0.15357585091031642,0.11199690897509884,0.5412550290942407,0.01431934444339983,0,0,0.0,0,0.0,0.0,30.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,step_totals,,,,,,,,,,,,,,,,,,,,,83.99999999999997,4.000000000000002,0.04761904761904766,20.0,0.23809523809523817,60.0,0.7142857142857145,0.0,0.0,0.019382484430338964,0.1,0.0,0,6,30,18,40,40,60,33,,,,,,,
2,A,all_agents,,,40,1,10,29,1,0,0.16424807792518084,0.129518349355283,0.5385487539487696,0.012082144381922658,16,15,0.375,7,1.0,1.0,26.9,65,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A,participants_only,,,30,1,0,29,1,0,0.16751521974646144,0.13786858951655465,0.45728005319378157,0.011467496682537832,16,15,0.5,7,1.0,1.0,24.2,65,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A,nonparticipants_only,,,10,0,10,0,0,0,0.154446652461339,0.11143692443022335,0.5385487539487696,0.013797996891912807,0,0,0.0,0,0.0,0.0,35.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A,step_totals,,,,,,,,,,,,,,,,,,,,,87.00000000000001,4.000000000000002,0.04597701149425289,20.0,0.22988505747126434,59.0,0.6781609195402297,0.0,0.0,0.019464658026692113,0.05084745762711865,0.8750000000000004,7,3,21,11,40,40,59,33,1.2,0.01379310344827586,2.8000000000000003,0.03218390804597701,6,14,
3,A,all_agents,,,40,2,10,28,2,0,0.17035986941293083,0.1352210006955628,0.5358560101790257,0.012148055337644513,36,20,0.5,20,1.6,1.35,28.25,97,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,A,participants_only,,,30,2,0,28,2,0,0.1753780366688344,0.14679940419322657,0.456432652790578,0.011659729582646772,36,20,0.6666666666666666,20,1.6,1.35,24.333333333333332,97,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,A,nonparticipants_only,,,10,0,10,0,0,0,0.1553053676452201,0.11087973980807224,0.5358560101790257,0.013310848571339065,0,0,0.0,0,0.0,0.0,40.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,A,step_totals,,,,,,,,,,,,,,,,,,,,,88.8,3.800000000000002,0.04279279279279282,20.0,0.22522522522522523,59.0,0.6644144144144144,0.0,0.0,0.01793398582677346,0.11864406779661017,1.326530612244899,13,7,14,10,38,40,59,32,3.0000000000000004,0.03378378378378379,3.0000000000000004,0.03378378378378379,15,15,
4,A,all_agents,,,40,2,10,28,2,0,0.17606744678051095,0.13978483806122488,0.5331767301281306,0.012328232880388937,56,24,0.6,35,2.0,1.3714285714285714,29.85,128,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,A,participants_only,,,30,2,0,28,2,0,0.18270565369120212,0.1589843874302104,0.4781753466789549,0.011976632535620632,56,24,0.8,35,2.0,1.3714285714285714,24.8,128,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,A,nonparticipants_only,,,10,0,10,0,0,0,0.1561528260484374,0.11032534110903187,0.5331767301281306,0.012854244422824073,0,0,0.0,0,0.0,0.0,45.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,A,step_totals,,,,,,,,,,,,,,,,,,,,,86.70000000000003,3.900000000000002,0.044982698961937725,20.0,0.2306805074971164,55.0,0.6343713956170701,0.0,0.0,0.017329655677143056,0.09090909090909091,1.2820512820512835,15,5,8,15,39,40,55,34,4.000000000000001,0.04613610149942329,3.800000000000001,0.04382929642445213,20,19,16
5,A,all_agents,,,40,3,10,27,3,0,0.18179724029270025,0.14588038889105093,0.5305108464774899,0.012644294737572077,71,28,0.7,44,2.3863636363636362,1.5,31.6,161,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,A,participants_only,,,30,3,0,27,3,0,0.19006618795437905,0.1661381102355508,0.4990483328117967,0.012444768244089677,71,28,0.9333333333333333,44,2.3863636363636362,1.5,25.466666666666665,161,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,A,nonparticipants_only,,,10,0,10,0,0,0,0.15699039730766373,0.10985346011209576,0.5305108464774899,0.012422368272840266,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,A,step_totals,,,,,,,,,,,,,,,,,,,,,85.80000000000004,3.2000000000000015,0.037296037296037296,20.0,0.23310023310023298,54.0,0.629370629370629,0.0,0.0,0.017575622094117546,0.1111111111111111,0.7627118644067805,9,6,8,15,32,40,54,33,4.800000000000002,0.05594405594405594,3.800000000000001,0.04428904428904428,24,19,19
6,A,all_agents,,,40,5,10,25,5,0,0.1867870772569651,0.1547296597929478,0.5278582922451025,0.012642969015992392,80,28,0.7,50,2.66,1.48,31.875,188,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,A,participants_only,,,30,5,0,25,5,0,0.19644336304103216,0.17117196567923992,0.5178132645167413,0.012479493274933,80,28,0.9333333333333333,50,2.66,1.48,25.833333333333332,188,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,A,nonparticipants_only,,,10,0,10,0,0,0,0.15781821990476408,0.11192396443304108,0.5278582922451025,0.012014469977447673,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,A,step_totals,,,,,,,,,,,,,,,,,,,,,82.10000000000005,3.2000000000000015,0.03897685749086479,19.5,0.23751522533495723,49.0,0.5968331303288669,0.0,0.0,0.01642228680350665,0.061224489795918366,0.4411764705882359,6,3,6,23,32,39,49,37,5.600000000000002,0.06820950060901339,4.800000000000002,0.05846528623629718,28,24,32
7,A,all_agents,,,40,6,10,24,6,0,0.19234840559036648,0.1653822322796552,0.525219000783877,0.012801072612002506,89,29,0.725,55,2.9272727272727272,1.5272727272727273,32.025,219,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,A,participants_only,,,30,6,0,24,6,0,0.20358536231785918,0.1830071644129404,0.5226351318715738,0.012687829535752008,89,29,0.9666666666666667,55,2.9272727272727272,1.5272727272727273,26.033333333333335,219,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,A,nonparticipants_only,,,10,0,10,0,0,0,0.15863753540788839,0.11355473635800814,0.525219000783877,0.011625571482807477,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,A,step_totals,,,,,,,,,,,,,,,,,,,,,88.00000000000006,0.8999999999999999,0.01022727272727272,19.5,0.22159090909090895,57.0,0.6477272727272723,0.0,0.0,0.016802787282469703,0.07017543859649122,0.4347826086956525,5,4,12,17,9,39,57,35,5.600000000000002,0.06363636363636362,5.000000000000002,0.0568181818181818,28,25,26
8,A,all_agents,,,40,7,10,23,7,0,0.197912998132238,0.16675523817404173,0.5274087805528581,0.012943284404398908,98,30,0.75,58,3.1379310344827585,1.5862068965517242,32.275,251,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,A,participants_only,,,30,7,0,23,7,0,0.2107344992754673,0.19308460800808142,0.5274087805528581,0.01284851758176989,98,30,1.0,58,3.1379310344827585,1.5862068965517242,26.366666666666667,251,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,A,nonparticipants_only,,,10,0,10,0,0,0,0.1594484947025501,0.115100342154768,0.5225929057799575,0.011254894173495998,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,A,step_totals,,,,,,,,,,,,,,,,,,,,,87.60000000000011,0.5,0.005707762557077618,19.5,0.22260273972602712,56.0,0.6392694063926933,0.0,0.0,0.01695033754471618,0.10714285714285714,0.2479338842975209,3,6,8,34,5,39,56,38,5.8000000000000025,0.0662100456621004,5.8000000000000025,0.0662100456621004,29,29,36
9,A,all_agents,,,40,7,10,23,7,0,0.20285769724561803,0.16835124954482814,0.5335432121577464,0.013088730281287538,101,30,0.75,60,3.283333333333333,1.5833333333333333,32.275,276,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,A,participants_only,,,30,7,0,23,7,0,0.21705933563991384,0.19641943112476623,0.5335432121577464,0.013012989878382963,101,30,1.0,60,3.283333333333333,1.5833333333333333,26.366666666666667,276,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,A,nonparticipants_only,,,10,0,10,0,0,0,0.16025278206273055,0.11472122001224075,0.5199799412510577,0.010895713093013222,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,A,step_totals,,,,,,,,,,,,,,,,,,,,,89.90000000000009,0.30000000000000004,0.0033370411568409315,20.0,0.22246941045606206,58.0,0.64516129032258,0.0,0.0,0.01482845540538425,0.017241379310344827,0.16806722689075645,2,1,10,19,3,40,58,36,5.8000000000000025,0.06451612903225802,5.8000000000000025,0.06451612903225802,29,29,35
10,A,all_agents,,,40,7,10,23,7,0,0.20784116553683327,0.1731768752058162,0.5508493050374363,0.013470779206378774,110,30,0.75,64,3.640625,1.65625,32.2,305,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,A,participants_only,,,30,7,0,23,7,0,0.2234383489685146,0.19845605490125945,0.5508493050374363,0.013470885875201283,110,30,1.0,64,3.640625,1.65625,26.266666666666666,305,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,A,nonparticipants_only,,,10,0,10,0,0,0,0.1610496152417893,0.11414761391217954,0.5173800415448024,0.010551193627893073,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,A,step_totals,,,,,,,,,,,,,,,,,,,,,88.00000000000009,,,19.0,0.2159090909090907,57.0,0.6477272727272722,0.0,0.0,0.01530167286153657,0.08771929824561403,0.33333333333333365,4,5,10,36,,38,57,35,6.000000000000003,0.06818181818181815,6.000000000000003,0.06818181818181815,30,30,33
10,A,reachability,0.475,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,A,all_agents,,,40,8,10,22,8,0,0.2133002725118052,0.17895263310510084,0.5688153328359389,0.01397216323151689,118,30,0.75,65,3.723076923076923,1.646153846153846,32.05,339,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,A,participants_only,,,30,8,0,22,8,0,0.23045387380655236,0.20505658472199279,0.5688153328359389,0.014046090563678736,118,30,1.0,65,3.723076923076923,1.646153846153846,26.066666666666666,339,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,A,nonparticipants_only,,,10,0,10,0,0,0,0.16183946862756365,0.11434730645082172,0.5147931413370784,0.010219428786481527,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,A,step_totals,,,,,,,,,,,,,,,,,,,,,89.70000000000009,0.1,0.0011148272017837224,20.0,0.22296544035674448,58.0,0.646599777034559,0.0,0.0,0.016236213392303456,0.1206896551724138,0.08547008547008554,1,7,12,22,1,40,58,35,6.000000000000003,0.06688963210702338,5.600000000000002,0.062430323299888485,30,28,35
12,A,all_agents,,,40,10,10,20,10,0,0.2185973960405325,0.1875813010474792,0.5713464691245383,0.014524153828289506,124,30,0.75,67,3.9402985074626864,1.6865671641791045,31.875,374,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,A,participants_only,,,30,10,0,20,10,0,0.23725548921415904,0.2093649805323204,0.5713464691245383,0.014673940443693367,124,30,1.0,67,3.9402985074626864,1.6865671641791045,25.833333333333332,374,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,A,nonparticipants_only,,,10,0,10,0,0,0,0.16262311651965294,0.11715734301422058,0.512219175630393,0.009897300691569182,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,A,step_totals,,,,,,,,,,,,,,,,,,,,,87.0000000000001,,,19.0,0.2183908045977009,56.0,0.6436781609195394,0.0,0.0,0.016394620083946834,0.07142857142857142,0.16666666666666682,2,4,10,36,,38,56,36,6.000000000000003,0.06896551724137927,6.000000000000003,0.06896551724137927,30,30,33
13,A,all_agents,,,40,12,10,18,12,0,0.22366297346180924,0.19009492204686157,0.5803084860060301,0.015071879087737085,132,30,0.75,68,4.0588235294117645,1.6764705882352942,31.625,406,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,A,participants_only,,,30,12,0,18,12,0,0.24375072269965214,0.21231536234461063,0.5803084860060301,0.015285688724748671,132,30,1.0,68,4.0588235294117645,1.6764705882352942,25.5,406,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,A,nonparticipants_only,,,10,0,10,0,0,0,0.16339972574828052,0.12091215719708015,0.509658079752241,0.009588238143392826,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,A,step_totals,,,,,,,,,,,,,,,,,,,,,88.70000000000007,,,19.5,0.21984216459977435,58.0,0.6538895152198416,0.0,0.0,0.01539706571654415,0.1206896551724138,0.08928571428571434,1,7,14,20,,39,58,35,6.000000000000003,0.06764374295377674,5.200000000000002,0.058624577226606515,30,26,37
14,A,all_agents,,,40,13,10,17,13,0,0.22894157633698675,0.19327787196611168,0.5970961465657889,0.015851140383452565,139,30,0.75,68,4.0588235294117645,1.6764705882352942,31.45,444,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,A,participants_only,,,30,13,0,17,13,0,0.25053219311756464,0.21325667267419196,0.5970961465657889,0.016173414784684325,139,30,1.0,68,4.0588235294117645,1.6764705882352942,25.266666666666666,444,,,,,,,,,,,,,,,,,,,,,,,,,,,
