step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_practice,time_share_practice,time_make,time_share_make,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_observe,count_practice,count_make,count_idle,time_share,time_share_share,time_ask,time_share_ask,count_share,count_ask,reject_insufficient_material
0,B,reachability,0.625,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,all_agents,,,40,0,14,26,0,0,0.1577225252276774,0.12320543587520133,0.5412550290942407,0.012080921508275097,6,6,0.15,0,0.0,0.0,25.925,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,participants_only,,,30,0,4,26,0,0,0.15910475000013108,0.13265136800429178,0.4595779429083232,0.011327138348613848,6,6,0.2,0,0.0,0.0,24.566666666666666,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,nonparticipants_only,,,10,0,10,0,0,0,0.15357585091031642,0.11199690897509884,0.5412550290942407,0.01431934444339983,0,0,0.0,0,0.0,0.0,30.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,step_totals,,,,,,,,,,,,,,,,,,,,,83.99999999999997,4.000000000000002,0.04761904761904766,20.0,0.23809523809523817,60.0,0.7142857142857145,0.0,0.0,0.019382484430338964,0.1,0.0,0,6,30,18,40,40,60,33,,,,,,,
2,B,all_agents,,,40,0,10,30,0,0,0.16407892205086352,0.1345710059654205,0.5385487539487696,0.012026744124071087,16,15,0.375,8,1.0,1.0,26.9,63,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,participants_only,,,30,0,0,30,0,0,0.167289678580705,0.1428905399849782,0.45728005319378157,0.011395090704814835,16,15,0.5,8,1.0,1.0,24.2,63,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,nonparticipants_only,,,10,0,10,0,0,0,0.154446652461339,0.11143692443022335,0.5385487539487696,0.013797996891912807,0,0,0.0,0,0.0,0.0,35.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,step_totals,,,,,,,,,,,,,,,,,,,,,87.2,4.000000000000002,0.04587155963302754,20.0,0.2293577981651376,59.0,0.676605504587156,0.0,0.0,0.01895444768906029,0.03389830508474576,0.9756097560975615,8,2,20,11,40,40,59,33,1.2,0.013761467889908256,3.0000000000000004,0.034403669724770644,6,15,
3,B,all_agents,,,40,1,10,29,1,0,0.17039240197937422,0.14224628334006037,0.5358560101790257,0.012091589114358736,35,23,0.575,22,1.5909090909090908,1.4090909090909092,28.3,97,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,B,participants_only,,,30,1,0,29,1,0,0.17542141342409226,0.15440890802147866,0.456432652790578,0.011584005470920871,35,23,0.7666666666666667,22,1.5909090909090908,1.4090909090909092,24.4,97,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,B,nonparticipants_only,,,10,0,10,0,0,0,0.1553053676452201,0.11087973980807224,0.5358560101790257,0.013310848571339065,0,0,0.0,0,0.0,0.0,40.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,B,step_totals,,,,,,,,,,,,,,,,,,,,,88.80000000000003,3.800000000000002,0.04279279279279281,20.0,0.22522522522522517,59.0,0.6644144144144142,0.0,0.0,0.0184984049674267,0.0847457627118644,1.4285714285714295,14,5,15,10,38,40,59,31,3.0000000000000004,0.03378378378378378,3.0000000000000004,0.03378378378378378,15,15,
4,B,all_agents,,,40,3,10,27,3,0,0.1760376498534285,0.14993185712587834,0.5331767301281306,0.012302117704687053,54,27,0.675,34,1.911764705882353,1.5588235294117647,29.95,128,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,B,participants_only,,,30,3,0,27,3,0,0.18266592445509222,0.15798280346425844,0.4767939068107001,0.011942339368527807,54,27,0.9,34,1.911764705882353,1.5588235294117647,24.933333333333334,128,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,B,nonparticipants_only,,,10,0,10,0,0,0,0.1561528260484374,0.11032534110903187,0.5331767301281306,0.012854244422824073,0,0,0.0,0,0.0,0.0,45.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,B,step_totals,,,,,,,,,,,,,,,,,,,,,86.00000000000001,3.800000000000002,0.04418604651162792,20.0,0.2325581395348837,54.0,0.6279069767441859,0.0,0.0,0.01728091984195613,0.12962962962962962,1.000000000000001,12,7,8,13,38,40,54,35,4.600000000000001,0.05348837209302326,3.600000000000001,0.041860465116279076,23,18,16
5,B,all_agents,,,40,6,10,24,6,0,0.18186725495801062,0.14994048848590874,0.5305108464774899,0.012664944451990606,69,29,0.725,44,2.2045454545454546,1.5454545454545454,31.775,163,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,B,participants_only,,,30,6,0,24,6,0,0.19015954084145956,0.16047199891081276,0.4977221505382721,0.012470755157682664,69,29,0.9666666666666667,44,2.2045454545454546,1.5454545454545454,25.7,163,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,B,nonparticipants_only,,,10,0,10,0,0,0,0.15699039730766373,0.10985346011209576,0.5305108464774899,0.012422368272840266,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,B,step_totals,,,,,,,,,,,,,,,,,,,,,84.70000000000007,3.2000000000000015,0.03778040141676504,19.5,0.23022432113341185,53.0,0.6257378984651707,0.0,0.0,0.01810751582999251,0.09433962264150944,0.819672131147542,10,5,8,11,32,39,53,33,5.200000000000002,0.06139315230224318,3.800000000000001,0.04486422668240848,26,19,18
6,B,all_agents,,,40,5,10,25,5,0,0.186678061324166,0.1517172098910834,0.5278582922451025,0.012675347766315941,85,29,0.725,52,2.5384615384615383,1.6346153846153846,32.15,189,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,B,participants_only,,,30,5,0,25,5,0,0.19629800846396664,0.1684873912047719,0.5178132645167413,0.01252546683071513,85,29,0.9666666666666667,52,2.5384615384615383,1.6346153846153846,26.2,189,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,B,nonparticipants_only,,,10,0,10,0,0,0,0.15781821990476408,0.11192396443304108,0.5278582922451025,0.012014469977447673,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,B,step_totals,,,,,,,,,,,,,,,,,,,,,80.70000000000007,3.0000000000000013,0.03717472118959106,19.5,0.2416356877323418,47.0,0.5824039653035931,0.0,0.0,0.016218014907573103,0.1702127659574468,0.5633802816901418,8,8,6,25,30,39,47,38,5.8000000000000025,0.07187112763320938,5.400000000000002,0.0669144981412639,29,27,31
