step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_practice,time_share_practice,time_observe,time_share_observe,time_idle,time_share_idle,time_make,time_share_make,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_missing_asset,reject_time_budget_exceeded,count_practice,count_observe,count_idle,count_make,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
0,B,reachability,0.625,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,all_agents,,,40,0,13,27,0,0,0.1606824664264466,0.13585592769496932,0.5482265069495424,0.012242120588563242,4,4,0.1,0,0.0,0.0,26.1,35,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,participants_only,,,30,0,3,27,0,0,0.1548482873218716,0.13220260534072875,0.5482265069495424,0.011310805110462117,4,4,0.13333333333333333,0,0.0,0.0,24.8,35,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,nonparticipants_only,,,10,0,10,0,0,0,0.17818500374017143,0.15776468430117052,0.5464118082779367,0.014627615272975505,0,0,0.0,0,0.0,0.0,30.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,step_totals,,,,,,,,,,,,,,,,,,,,,83.99999999999997,20.0,0.23809523809523817,4.000000000000002,0.04761904761904766,0.0,0.0,60.0,0.7142857142857145,0.020851648866701353,0.06666666666666667,0.0,0,4,26,30,40,40,33,60,,,,,,,
2,B,all_agents,,,40,2,11,27,2,0,0.16598403672495418,0.137202347966648,0.5662974466715608,0.012111647482743838,9,8,0.2,3,1.0,1.0,27.2,58,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,participants_only,,,30,2,1,27,2,0,0.1616758359000506,0.13517664805649449,0.5662974466715608,0.011367288639001605,9,8,0.26666666666666666,3,1.0,1.0,24.6,58,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,nonparticipants_only,,,10,0,10,0,0,0,0.1789086391996649,0.1569758608796647,0.5436797492365469,0.014121996881798144,0,0,0.0,0,0.0,0.0,35.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,step_totals,,,,,,,,,,,,,,,,,,,,,88.2,20.0,0.22675736961451246,3.800000000000002,0.04308390022675739,0.0,0.0,60.0,0.6802721088435374,0.015943720504093466,0.03333333333333333,0.36585365853658547,3,2,25,19,40,38,33,60,3.800000000000001,0.04308390022675738,0.6000000000000001,0.006802721088435375,19,3,
3,B,all_agents,,,40,4,11,25,4,0,0.17191935785800824,0.14731389339759488,0.5836455488046983,0.012059162110759188,18,15,0.375,8,1.5,1.25,28.725,88,,,,,,,,,,,,,,,,,,,,,,,,,,,
