step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_practice,time_share_practice,time_observe,time_share_observe,time_idle,time_share_idle,time_make,time_share_make,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_missing_asset,reject_time_budget_exceeded,count_practice,count_observe,count_idle,count_make,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
0,C,reachability,0.625,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,all_agents,,,40,0,13,27,0,0,0.1606824664264466,0.13585592769496932,0.5482265069495424,0.012242120588563242,4,4,0.1,0,0.0,0.0,26.1,35,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,participants_only,,,30,0,3,27,0,0,0.1548482873218716,0.13220260534072875,0.5482265069495424,0.011310805110462117,4,4,0.13333333333333333,0,0.0,0.0,24.8,35,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,nonparticipants_only,,,10,0,10,0,0,0,0.17818500374017143,0.15776468430117052,0.5464118082779367,0.014627615272975505,0,0,0.0,0,0.0,0.0,30.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,step_totals,,,,,,,,,,,,,,,,,,,,,83.99999999999997,20.0,0.23809523809523817,4.000000000000002,0.04761904761904766,0.0,0.0,60.0,0.7142857142857145,0.020851648866701353,0.06666666666666667,0.0,0,4,26,30,40,40,33,60,,,,,,,
2,C,all_agents,,,40,2,11,27,2,0,0.16621800989198848,0.137202347966648,0.5662974466715608,0.012064340377171875,5,5,0.125,0,0.0,0.0,27.2,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,participants_only,,,30,2,1,27,2,0,0.16198780012276304,0.13517664805649449,0.5662974466715608,0.011306876176863183,5,5,0.16666666666666666,0,0.0,0.0,24.6,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,nonparticipants_only,,,10,0,10,0,0,0,0.1789086391996649,0.1569758608796647,0.5436797492365469,0.014121996881798144,0,0,0.0,0,0.0,0.0,35.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,step_totals,,,,,,,,,,,,,,,,,,,,,88.0,20.0,0.22727272727272727,3.800000000000002,0.0431818181818182,0.0,0.0,60.0,0.6818181818181818,0.016618064869878123,0.016666666666666666,0.0,0,1,25,20,40,38,33,60,3.600000000000001,0.04090909090909092,0.6000000000000001,0.00681818181818182,18,3,
3,C,all_agents,,,40,4,10,26,4,0,0.17215436717784977,0.1464554868600883,0.5836455488046983,0.012014644408987328,8,7,0.175,0,0.0,0.0,28.725,90,,,,,,,,,,,,,,,,,,,,,,,,,,,
