step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_practice,time_share_practice,time_idle,time_share_idle,time_make,time_share_make,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_observe,count_practice,count_idle,count_make,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
0,A,reachability,0.65,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,all_agents,,,40,0,19,21,0,0,0.17053683874937603,0.15294666894219788,0.5744262151231754,0.014080309699379713,5,4,0.1,0,0.0,0.0,25.75,32,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,participants_only,,,30,0,9,21,0,0,0.17478925465528825,0.1554396697175433,0.5744262151231754,0.014137021734438145,5,4,0.13333333333333333,0,0.0,0.0,24.333333333333332,32,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,nonparticipants_only,,,10,0,10,0,0,0,0.15777959103163938,0.1375731147006098,0.5074319283450508,0.013693177101762152,0,0,0.0,0,0.0,0.0,30.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,step_totals,,,,,,,,,,,,,,,,,,,,,83.49999999999997,4.000000000000002,0.047904191616766505,19.5,0.23353293413173662,0.0,0.0,60.0,0.7185628742514972,0.019094729400025844,0.08333333333333333,0.0,0,5,30,5,40,39,29,60,,,,,,,
2,A,all_agents,,,40,4,10,26,4,0,0.17811251184312366,0.15571061654734647,0.5914491665182484,0.014062979162320587,18,16,0.4,3,0.6666666666666666,1.0,26.5,79,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A,participants_only,,,30,4,0,26,4,0,0.18460898903043435,0.16050074117101387,0.5914491665182484,0.01418495793460732,18,16,0.5333333333333333,3,0.6666666666666666,1.0,23.666666666666668,79,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A,nonparticipants_only,,,10,0,10,0,0,0,0.1586230802811916,0.13688524912710673,0.5048947687033255,0.01319059225531741,0,0,0.0,0,0.0,0.0,35.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A,step_totals,,,,,,,,,,,,,,,,,,,,,87.20000000000002,3.900000000000002,0.04472477064220185,19.5,0.22362385321100914,0.0,0.0,60.0,0.6880733944954127,0.022357430193547398,0.16666666666666666,0.38961038961038974,3,10,23,5,39,39,29,60,3.2000000000000006,0.03669724770642202,0.6000000000000001,0.006880733944954128,16,3,
3,A,all_agents,,,40,7,10,23,7,0,0.18511768257996958,0.15958858002391796,0.6077911998575185,0.014438488544577924,30,21,0.525,10,1.2,1.1,27.875,124,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,A,participants_only,,,30,7,0,23,7,0,0.19367180994380553,0.16390472398278438,0.6077911998575185,0.01471889989114915,30,21,0.7,10,1.2,1.1,23.833333333333332,124,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,A,nonparticipants_only,,,10,0,10,0,0,0,0.15945530048846177,0.13620082288147117,0.5023702948598089,0.012719177365383525,0,0,0.0,0,0.0,0.0,40.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,A,step_totals,,,,,,,,,,,,,,,,,,,,,88.20000000000002,3.900000000000002,0.044217687074829946,19.5,0.22108843537414963,0.0,0.0,59.0,0.6689342403628117,0.02054324919845294,0.0847457627118644,0.721649484536083,7,5,16,4,39,39,28,59,2.8000000000000003,0.031746031746031744,3.0000000000000004,0.03401360544217687,14,15,
4,A,all_agents,,,40,7,10,23,7,0,0.19069985283720114,0.16245806413707564,0.6234795518632178,0.014567755592432736,47,28,0.7,19,1.631578947368421,1.2105263157894737,29.6,156,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,A,participants_only,,,30,7,0,23,7,0,0.20084074936867316,0.16681941379219128,0.6234795518632178,0.014920676279968752,47,28,0.9333333333333333,19,1.631578947368421,1.2105263157894737,24.466666666666665,156,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,A,nonparticipants_only,,,10,0,10,0,0,0,0.16027716324278496,0.13551981876706382,0.49985844338550983,0.012274940140280428,0,0,0.0,0,0.0,0.0,45.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,A,step_totals,,,,,,,,,,,,,,,,,,,,,85.90000000000005,3.600000000000002,0.04190919674039581,19.5,0.22700814901047717,0.0,0.0,55.0,0.6402793946449357,0.017316010703009713,0.14545454545454545,0.7894736842105271,9,8,10,14,36,39,34,55,3.800000000000001,0.044237485448195564,4.000000000000001,0.046565774155995325,19,20,23
5,A,all_agents,,,40,6,10,24,6,0,0.1953617793772245,0.16537002195685196,0.6385403697886891,0.014645107362435687,58,29,0.725,25,1.8,1.24,32.125,182,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,A,participants_only,,,30,6,0,24,6,0,0.20678602643730745,0.18321564922083242,0.6385403697886891,0.015052675469858145,58,29,0.9666666666666667,25,1.8,1.24,26.166666666666668,182,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,A,nonparticipants_only,,,10,0,10,0,0,0,0.16108903819697554,0.1348422196732285,0.49735915116858226,0.011856241989490538,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,A,step_totals,,,,,,,,,,,,,,,,,,,,,80.30000000000008,3.4000000000000017,0.04234122042341218,19.5,0.24283935242839327,0.0,0.0,47.0,0.5853051058530505,0.015896501258470783,0.10638297872340426,0.4347826086956528,6,5,6,15,34,39,37,47,4.800000000000002,0.05977584059775837,5.600000000000002,0.06973848069738477,24,28,33
6,A,all_agents,,,40,6,10,24,6,0,0.20122488252270407,0.1755362063262499,0.6529987549971416,0.014801449374652909,71,30,0.75,30,2.2,1.2666666666666666,32.45,218,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,A,participants_only,,,30,6,0,24,6,0,0.21433583765495096,0.18866604121431774,0.6529987549971416,0.015228192575294128,71,30,1.0,30,2.2,1.2666666666666666,26.6,218,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,A,nonparticipants_only,,,10,0,10,0,0,0,0.16189201712596335,0.13416800857486239,0.49487235541273933,0.011458454038971756,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,A,step_totals,,,,,,,,,,,,,,,,,,,,,86.30000000000004,2.9000000000000012,0.033603707995365,20.0,0.231749710312862,0.0,0.0,54.0,0.6257242178447274,0.018067011553777913,0.14814814814814814,0.40650406504065084,5,8,6,15,29,40,39,54,3.800000000000001,0.04403244495944379,5.600000000000002,0.06488991888760139,19,28,30
7,A,all_agents,,,40,8,10,22,8,0,0.206297644109296,0.1812862314045672,0.6668788047972559,0.015193231611255228,77,30,0.75,31,2.225806451612903,1.2580645161290323,32.825,248,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,A,participants_only,,,30,8,0,22,8,0,0.22083459228149485,0.19104022043997676,0.6668788047972559,0.01571943222892697,77,30,1.0,31,2.225806451612903,1.2580645161290323,27.1,248,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,A,nonparticipants_only,,,10,0,10,0,0,0,0.16268679959269944,0.13349716853198806,0.49239799363567566,0.011078755412305654,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,A,step_totals,,,,,,,,,,,,,,,,,,,,,88.00000000000009,1.0999999999999999,0.012499999999999987,19.5,0.22159090909090887,0.0,0.0,56.0,0.6363636363636358,0.015537358991804988,0.08928571428571429,0.08000000000000008,1,5,6,21,11,39,38,56,5.400000000000002,0.06136363636363633,6.000000000000003,0.06818181818181815,27,30,36
8,A,all_agents,,,40,10,10,20,10,0,0.2117795376511848,0.1822081452271599,0.6802036526053656,0.015646536173495332,83,30,0.75,32,2.28125,1.25,33.3,282,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,A,participants_only,,,30,10,0,20,10,0,0.2278816164493391,0.20495164997840573,0.6802036526053656,0.016252493930188964,83,30,1.0,32,2.28125,1.25,27.733333333333334,282,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,A,nonparticipants_only,,,10,0,10,0,0,0,0.16347330125672185,0.13282968268932813,0.4899360036674973,0.01071733960395079,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,A,step_totals,,,,,,,,,,,,,,,,,,,,,89.8000000000001,0.4,0.004454342984409795,20.0,0.22271714922048974,0.0,0.0,58.0,0.6458797327394202,0.016304069909860504,0.08620689655172414,0.08474576271186447,1,5,11,20,4,40,39,58,5.400000000000002,0.06013363028953225,6.000000000000003,0.06681514476614694,27,30,33
9,A,all_agents,,,40,12,10,18,12,0,0.21671742890141632,0.18241249188801617,0.692995506501151,0.01619898090508694,87,30,0.75,32,2.28125,1.25,33.15,313,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,A,participants_only,,,30,12,0,18,12,0,0.23420551516400845,0.2039268917285137,0.692995506501151,0.016919425027036864,87,30,1.0,32,2.28125,1.25,27.533333333333335,313,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,A,nonparticipants_only,,,10,0,10,0,0,0,0.16425317011363996,0.1336374807318867,0.4874863236491598,0.010367650605702813,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,A,step_totals,,,,,,,,,,,,,,,,,,,,,87.90000000000008,0.4,0.004550625711035264,19.5,0.2218430034129691,0.0,0.0,56.0,0.6370875995449369,0.015193844397980943,0.07142857142857142,0.0,0,4,9,22,4,39,37,56,6.000000000000003,0.06825938566552898,6.000000000000003,0.06825938566552898,30,30,41
