step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_practice,time_share_practice,time_idle,time_share_idle,time_make,time_share_make,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_observe,count_practice,count_idle,count_make,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
0,C,reachability,0.65,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,all_agents,,,40,0,19,21,0,0,0.17053683874937603,0.15294666894219788,0.5744262151231754,0.014080309699379713,5,4,0.1,0,0.0,0.0,25.75,32,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,participants_only,,,30,0,9,21,0,0,0.17478925465528825,0.1554396697175433,0.5744262151231754,0.014137021734438145,5,4,0.13333333333333333,0,0.0,0.0,24.333333333333332,32,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,nonparticipants_only,,,10,0,10,0,0,0,0.15777959103163938,0.1375731147006098,0.5074319283450508,0.013693177101762152,0,0,0.0,0,0.0,0.0,30.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,step_totals,,,,,,,,,,,,,,,,,,,,,83.49999999999997,4.000000000000002,0.047904191616766505,19.5,0.23353293413173662,0.0,0.0,60.0,0.7185628742514972,0.019094729400025844,0.08333333333333333,0.0,0,5,30,5,40,39,29,60,,,,,,,
2,C,all_agents,,,40,4,10,26,4,0,0.17811251184312366,0.15571061654734647,0.5914491665182484,0.014062979162320587,15,14,0.35,0,0.0,0.0,26.5,79,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,participants_only,,,30,4,0,26,4,0,0.18460898903043435,0.16050074117101387,0.5914491665182484,0.01418495793460732,15,14,0.4666666666666667,0,0.0,0.0,23.666666666666668,79,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,nonparticipants_only,,,10,0,10,0,0,0,0.1586230802811916,0.13688524912710673,0.5048947687033255,0.01319059225531741,0,0,0.0,0,0.0,0.0,35.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,step_totals,,,,,,,,,,,,,,,,,,,,,87.20000000000002,3.900000000000002,0.04472477064220185,19.5,0.22362385321100914,0.0,0.0,60.0,0.6880733944954127,0.022357430193547398,0.16666666666666666,0.0,0,10,23,5,39,39,29,60,3.2000000000000006,0.03669724770642202,0.6000000000000001,0.006880733944954128,16,3,
3,C,all_agents,,,40,6,10,24,6,0,0.18477517608392616,0.1631685469276168,0.6077911998575185,0.014328307909903346,22,18,0.45,0,0.0,0.0,27.875,120,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,C,participants_only,,,30,6,0,24,6,0,0.1932151346157476,0.16854112993722237,0.6077911998575185,0.014579753158001156,22,18,0.6,0,0.0,0.0,23.833333333333332,120,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,C,nonparticipants_only,,,10,0,10,0,0,0,0.15945530048846177,0.13620082288147117,0.5023702948598089,0.012719177365383525,0,0,0.0,0,0.0,0.0,40.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,C,step_totals,,,,,,,,,,,,,,,,,,,,,87.80000000000003,3.900000000000002,0.044419134396355364,19.5,0.2220956719817767,0.0,0.0,59.0,0.6719817767653756,0.019700603875320324,0.11864406779661017,0.0,0,7,17,4,39,39,28,59,3.0000000000000004,0.03416856492027334,2.4,0.02733485193621867,15,12,
4,C,all_agents,,,40,6,10,24,6,0,0.18996384011954978,0.16308520036287044,0.6234795518632178,0.014338931389359504,27,20,0.5,0,0.0,0.0,29.6,147,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,C,participants_only,,,30,6,0,24,6,0,0.19985939907847142,0.1769690684997189,0.6234795518632178,0.014635240123947887,27,20,0.6666666666666666,0,0.0,0.0,24.466666666666665,147,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,C,nonparticipants_only,,,10,0,10,0,0,0,0.16027716324278496,0.13551981876706382,0.49985844338550983,0.012274940140280428,0,0,0.0,0,0.0,0.0,45.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,C,step_totals,,,,,,,,,,,,,,,,,,,,,86.80000000000004,3.700000000000002,0.04262672811059908,19.5,0.22465437788018422,0.0,0.0,56.0,0.6451612903225803,0.016040173405349887,0.08928571428571429,0.0,0,5,10,16,37,39,35,56,4.000000000000001,0.04608294930875575,3.600000000000001,0.04147465437788018,20,18,24
5,C,all_agents,,,40,6,10,24,6,0,0.19474857994421305,0.1691014356356167,0.6385403697886891,0.01432997257709848,31,21,0.525,0,0.0,0.0,31.775,171,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,C,participants_only,,,30,6,0,24,6,0,0.2059684271932922,0.18599723445154454,0.6385403697886891,0.014651009550463783,31,21,0.7,0,0.0,0.0,25.7,171,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,C,nonparticipants_only,,,10,0,10,0,0,0,0.16108903819697554,0.1348422196732285,0.49735915116858226,0.011856241989490538,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,C,step_totals,,,,,,,,,,,,,,,,,,,,,86.20000000000005,3.5000000000000018,0.04060324825986079,19.5,0.2262180974477957,0.0,0.0,54.0,0.6264501160092805,0.01509111988865083,0.07407407407407407,0.0,0,4,4,19,35,39,37,54,5.200000000000002,0.06032482598607888,4.000000000000001,0.04640371229698374,26,20,32
6,C,all_agents,,,40,7,10,23,7,0,0.20048417553583686,0.17726049488861717,0.6529987549971416,0.014399037927362779,37,22,0.55,0,0.0,0.0,32.225,205,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,C,participants_only,,,30,7,0,23,7,0,0.21334822833912803,0.1931450883817706,0.6529987549971416,0.014717297138722999,37,22,0.7333333333333333,0,0.0,0.0,26.3,205,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,C,nonparticipants_only,,,10,0,10,0,0,0,0.16189201712596335,0.13416800857486239,0.49487235541273933,0.011458454038971756,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,C,step_totals,,,,,,,,,,,,,,,,,,,,,85.40000000000006,2.800000000000001,0.03278688524590163,20.0,0.2341920374707258,0.0,0.0,54.0,0.6323185011709598,0.017894954736007402,0.1111111111111111,0.0,0,6,8,20,28,40,39,54,4.400000000000001,0.05152224824355969,4.200000000000001,0.04918032786885244,22,21,30
