step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_practice,time_share_practice,time_idle,time_share_idle,time_make,time_share_make,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_observe,count_practice,count_idle,count_make,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
0,D,reachability,0.575,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,all_agents,,,40,0,19,21,0,0,0.17053683874937603,0.15294666894219788,0.5744262151231754,0.014080309699379713,5,4,0.1,0,0.0,0.0,25.75,32,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,participants_only,,,30,0,9,21,0,0,0.17478925465528825,0.1554396697175433,0.5744262151231754,0.014137021734438145,5,4,0.13333333333333333,0,0.0,0.0,24.333333333333332,32,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,nonparticipants_only,,,10,0,10,0,0,0,0.15777959103163938,0.1375731147006098,0.5074319283450508,0.013693177101762152,0,0,0.0,0,0.0,0.0,30.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,step_totals,,,,,,,,,,,,,,,,,,,,,83.49999999999997,4.000000000000002,0.047904191616766505,19.5,0.23353293413173662,0.0,0.0,60.0,0.7185628742514972,0.019094729400025844,0.08333333333333333,0.0,0,5,30,5,40,39,29,60,,,,,,,
2,D,all_agents,,,40,4,13,23,4,0,0.17713820733240748,0.1529671373207493,0.5914491665182484,0.014127209329170392,13,12,0.3,0,0.0,0.0,26.5,70,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D,participants_only,,,30,4,3,23,4,0,0.18330991634947943,0.1586861104482276,0.5914491665182484,0.01428705505168909,13,12,0.4,0,0.0,0.0,23.666666666666668,70,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D,nonparticipants_only,,,10,0,10,0,0,0,0.1586230802811916,0.13688524912710673,0.5048947687033255,0.01319059225531741,0,0,0.0,0,0.0,0.0,35.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D,step_totals,,,,,,,,,,,,,,,,,,,,,86.80000000000001,3.900000000000002,0.04493087557603689,19.5,0.2246543778801843,0.0,0.0,60.0,0.6912442396313363,0.019766530303058204,0.13333333333333333,0.0,0,8,25,5,39,39,29,60,2.8000000000000003,0.03225806451612903,0.6000000000000001,0.0069124423963133645,14,3,
3,D,all_agents,,,40,5,12,23,5,0,0.1837563156742192,0.15958858002391796,0.6077911998575185,0.014416457886859956,25,18,0.45,0,0.0,0.0,27.775,110,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,D,participants_only,,,30,5,2,23,5,0,0.1918566540694717,0.16390472398278438,0.6077911998575185,0.014719756132215028,25,18,0.6,0,0.0,0.0,23.7,110,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,D,nonparticipants_only,,,10,0,10,0,0,0,0.15945530048846177,0.13620082288147117,0.5023702948598089,0.012719177365383525,0,0,0.0,0,0.0,0.0,40.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,D,step_totals,,,,,,,,,,,,,,,,,,,,,89.2,3.900000000000002,0.043721973094170426,19.5,0.218609865470852,0.0,0.0,61.0,0.6838565022421524,0.019268235299596575,0.19672131147540983,0.0,0,12,18,5,39,39,29,61,2.8000000000000003,0.03139013452914798,1.9999999999999998,0.022421524663677125,14,10,
4,D,all_agents,,,40,6,11,23,6,0,0.1898012957402746,0.16245806413707564,0.6234795518632178,0.014425570564187343,31,20,0.5,0,0.0,0.0,29.45,145,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,D,participants_only,,,30,6,1,23,6,0,0.1996426732394378,0.16791613943371453,0.6234795518632178,0.014755036527832171,31,20,0.6666666666666666,0,0.0,0.0,24.266666666666666,145,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,D,nonparticipants_only,,,10,0,10,0,0,0,0.16027716324278496,0.13551981876706382,0.49985844338550983,0.012274940140280428,0,0,0.0,0,0.0,0.0,45.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
