step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_practice,time_share_practice,time_observe,time_share_observe,time_make,time_share_make,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_practice,count_observe,count_make,count_idle,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
0,B,reachability,0.625,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,all_agents,,,40,0,17,23,0,0,0.16996585818697815,0.14493107608945974,0.6781302533691556,0.015757607062339588,2,2,0.05,0,0.0,0.0,26.0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,participants_only,,,30,0,7,23,0,0,0.16985173498976827,0.13792030141516864,0.6781302533691556,0.01726406587628932,2,2,0.06666666666666667,0,0.0,0.0,24.666666666666668,32,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,nonparticipants_only,,,10,0,10,0,0,0,0.17030822777860777,0.16203726149981448,0.4077767250178753,0.011238074331240685,0,0,0.0,0,0.0,0.0,30.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,step_totals,,,,,,,,,,,,,,,,,,,,,83.49999999999997,19.5,0.23353293413173662,4.000000000000002,0.047904191616766505,60.0,0.7185628742514972,0.0,0.0,0.018657419109995008,0.03333333333333333,0.0,0,2,30,18,39,40,60,29,,,,,,,
2,B,all_agents,,,40,4,11,25,4,0,0.17667718149014042,0.15195311734712602,0.6910050432343894,0.015857363201023687,10,9,0.225,0,0.0,0.0,27.0,72,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,participants_only,,,30,4,1,25,4,0,0.17854391243170287,0.14645491332989125,0.6910050432343894,0.017540130461993382,10,9,0.3,0,0.0,0.0,24.333333333333332,72,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,nonparticipants_only,,,10,0,10,0,0,0,0.17107698866545298,0.1612270751923154,0.40573784139278596,0.010767245205216366,0,0,0.0,0,0.0,0.0,35.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,step_totals,,,,,,,,,,,,,,,,,,,,,86.3,19.5,0.22595596755504058,4.000000000000002,0.046349942062572445,60.0,0.6952491309385863,0.0,0.0,0.020131968475259165,0.13333333333333333,0.0,0,8,26,17,39,40,60,29,2.6,0.030127462340672075,0.2,0.0023174971031286215,13,1,
3,B,all_agents,,,40,10,11,19,10,0,0.18244372288028557,0.15554082247869122,0.7033648415050138,0.016284942311899125,27,19,0.475,8,1.125,1.0,28.475,106,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,B,participants_only,,,30,10,1,19,10,0,0.18597954136129546,0.15408377290857675,0.7033648415050138,0.018222733545705187,27,19,0.6333333333333333,8,1.125,1.0,24.633333333333333,106,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,B,nonparticipants_only,,,10,0,10,0,0,0,0.1718362674372559,0.16042093981635383,0.40370915218582204,0.010321544462513122,0,0,0.0,0,0.0,0.0,40.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,B,step_totals,,,,,,,,,,,,,,,,,,,,,86.89999999999999,19.5,0.22439585730724973,4.000000000000002,0.04602991944764099,59.0,0.6789413118527043,0.0,0.0,0.017370302703565918,0.15254237288135594,0.9523809523809528,8,9,20,15,39,40,59,29,2.8000000000000003,0.032220943613348686,1.5999999999999999,0.018411967779056387,14,8,
4,B,all_agents,,,40,10,10,20,10,0,0.18772078556392602,0.1582380720756107,0.7063311930899636,0.016423509932316567,42,24,0.6,20,1.25,1.0,30.275,136,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,B,participants_only,,,30,10,0,20,10,0,0.19276560423568898,0.15455139514108118,0.7063311930899636,0.018496329067021103,42,24,0.8,20,1.25,1.0,25.366666666666667,136,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,B,nonparticipants_only,,,10,0,10,0,0,0,0.17258632954863712,0.15961883511727207,0.4016906064248929,0.009899650183031345,0,0,0.0,0,0.0,0.0,45.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,B,step_totals,,,,,,,,,,,,,,,,,,,,,84.60000000000005,20.0,0.23640661938534266,3.800000000000002,0.044917257683215125,53.0,0.626477541371158,0.0,0.0,0.016652972978330415,0.05660377358490566,1.0344827586206908,12,3,9,28,40,38,53,34,4.600000000000001,0.05437352245862882,3.2000000000000006,0.03782505910165483,23,16,17
5,B,all_agents,,,40,10,10,20,10,0,0.19243675466990579,0.15852129091019393,0.718077945366365,0.016679437699270622,56,27,0.675,31,1.5161290322580645,1.096774193548387,32.425,163,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,B,participants_only,,,30,10,0,20,10,0,0.19880674789050193,0.1537786381653758,0.718077945366365,0.018909207370759587,56,27,0.9,31,1.5161290322580645,1.096774193548387,26.566666666666666,163,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,B,nonparticipants_only,,,10,0,10,0,0,0,0.17332677500811727,0.1590165121652461,0.3996821533927684,0.009503206921238438,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,B,step_totals,,,,,,,,,,,,,,,,,,,,,82.80000000000007,19.5,0.2355072463768114,3.3000000000000016,0.039855072463768106,51.0,0.6159420289855068,0.0,0.0,0.015395229206647092,0.058823529411764705,0.894308943089432,11,3,8,25,39,33,51,34,4.400000000000001,0.05314009661835746,4.600000000000001,0.055555555555555525,22,23,22
6,B,all_agents,,,40,10,10,20,10,0,0.19668581906014732,0.1605048326822418,0.7144875556395333,0.01661128430249729,68,28,0.7,40,1.9,1.175,32.775,185,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,B,participants_only,,,30,10,0,20,10,0,0.2042280840921575,0.16790103279743973,0.7144875556395333,0.018878738944528396,68,28,0.9333333333333333,40,1.9,1.175,27.033333333333335,185,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,B,nonparticipants_only,,,10,0,10,0,0,0,0.17405902396411665,0.15921186195849574,0.3976837426258046,0.009126291234646963,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,B,step_totals,,,,,,,,,,,,,,,,,,,,,80.70000000000006,19.5,0.24163568773234184,3.0000000000000013,0.037174721189591066,47.0,0.5824039653035932,0.0,0.0,0.014615222456440867,0.06382978723404255,0.6338028169014094,9,3,4,35,39,30,47,38,5.8000000000000025,0.0718711276332094,5.400000000000002,0.06691449814126392,29,27,33
7,B,all_agents,,,40,12,10,18,12,0,0.2017534862719063,0.164657147876149,0.7259080534139519,0.016700986653131803,78,30,0.75,48,2.3333333333333335,1.25,32.6,213,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,B,participants_only,,,30,12,0,18,12,0,0.21074368541950309,0.16805971238200076,0.7259080534139519,0.01902146077793833,78,30,1.0,48,2.3333333333333335,1.25,26.8,213,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,B,nonparticipants_only,,,10,0,10,0,0,0,0.1747828888291159,0.15966845177680508,0.39569532391267553,0.008769680110150826,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,B,step_totals,,,,,,,,,,,,,,,,,,,,,90.00000000000009,19.5,0.21666666666666645,0.5,0.0055555555555555506,59.0,0.6555555555555549,0.0,0.0,0.01513545585454138,0.03389830508474576,0.6956521739130439,8,2,12,26,39,5,59,34,5.400000000000002,0.05999999999999997,5.600000000000002,0.062222222222222186,27,28,29
8,B,all_agents,,,40,12,10,18,12,0,0.20675590685632794,0.16851112995958442,0.732081728762432,0.01672508298082262,86,30,0.75,54,2.6296296296296298,1.2592592592592593,32.6,241,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,B,participants_only,,,30,12,0,18,12,0,0.21717508654697965,0.17214961512883484,0.732081728762432,0.019054788704035847,86,30,1.0,54,2.6296296296296298,1.2592592592592593,26.8,241,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,B,nonparticipants_only,,,10,0,10,0,0,0,0.17549836778437264,0.16015990150120418,0.3937168472931122,0.00843325414606986,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,B,step_totals,,,,,,,,,,,,,,,,,,,,,88.3000000000001,19.5,0.22083805209513,0.4,0.004530011325028308,56.0,0.6342015855039631,0.0,0.0,0.015401841690796787,0.03571428571428571,0.4687500000000005,6,2,5,40,39,4,56,38,6.400000000000003,0.07248018120045295,6.000000000000003,0.06795016987542464,32,30,36
9,B,all_agents,,,40,13,10,17,13,0,0.21196187797470092,0.17215462117977448,0.7427984596119348,0.017055193651498973,94,30,0.75,58,2.896551724137931,1.2758620689655173,32.225,273,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,B,participants_only,,,30,13,0,17,13,0,0.22388045488583375,0.1786013474412449,0.7427984596119348,0.019467337626596727,94,30,1.0,58,2.896551724137931,1.2758620689655173,26.3,273,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,B,nonparticipants_only,,,10,0,10,0,0,0,0.17620614724130235,0.1636869184719664,0.3917482630566466,0.008114132019166631,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,B,step_totals,,,,,,,,,,,,,,,,,,,,,90.20000000000009,19.5,0.2161862527716184,0.1,0.0011086474501108637,59.0,0.6541019955654096,0.0,0.0,0.015503766522853436,0.06779661016949153,0.3418803418803421,4,4,12,28,39,1,59,36,5.600000000000002,0.06208425720620839,6.000000000000003,0.06651884700665185,28,30,35
10,B,all_agents,,,40,14,10,16,14,0,0.21758953508715476,0.17533220111341746,0.7530865212274575,0.017256476798220337,101,30,0.75,61,3.1311475409836067,1.2950819672131149,32.0,310,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,B,participants_only,,,30,14,0,16,14,0,0.23115023477231136,0.19082612776570707,0.7530865212274575,0.01967052639826645,101,30,1.0,61,3.1311475409836067,1.2950819672131149,26.0,310,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,B,nonparticipants_only,,,10,0,10,0,0,0,0.1769074360316849,0.16558369501964904,0.3897895217413634,0.007807617086669927,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,B,step_totals,,,,,,,,,,,,,,,,,,,,,87.2000000000001,19.5,0.22362385321100892,0.30000000000000004,0.0034403669724770605,55.0,0.6307339449541277,0.0,0.0,0.017329748624490878,0.07272727272727272,0.23622047244094513,3,4,6,42,39,3,55,37,6.400000000000003,0.07339449541284399,6.000000000000003,0.06880733944954123,32,30,39
10,B,reachability,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,B,all_agents,,,40,14,10,16,14,0,0.2222096691232111,0.17922630447664661,0.7629630603783591,0.017702083817530627,107,30,0.75,63,3.3015873015873014,1.3333333333333333,31.75,339,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,B,participants_only,,,30,14,0,16,14,0,0.23707905105336397,0.2011476739633853,0.7629630603783591,0.02021289811769967,107,30,1.0,63,3.3015873015873014,1.3333333333333333,25.666666666666668,339,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,B,nonparticipants_only,,,10,0,10,0,0,0,0.17760152333275264,0.16519942174959207,0.38784057413265655,0.007516458689206437,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,B,step_totals,,,,,,,,,,,,,,,,,,,,,88.00000000000009,19.0,0.2159090909090907,0.2,0.0022727272727272704,57.0,0.6477272727272722,0.0,0.0,0.01431691704408277,0.07017543859649122,0.16666666666666682,2,4,10,31,38,2,57,36,5.8000000000000025,0.06590909090909088,6.000000000000003,0.06818181818181815,29,30,40
12,B,all_agents,,,40,15,10,15,15,0,0.22676468817375345,0.17909462269791737,0.7724445379632248,0.01813268065437688,111,30,0.75,64,3.40625,1.34375,31.625,369,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,B,participants_only,,,30,15,0,15,15,0,0.2429229620465658,0.20613079823070407,0.7724445379632248,0.020720958646038776,111,30,1.0,64,3.40625,1.34375,25.5,369,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,B,nonparticipants_only,,,10,0,10,0,0,0,0.17828986655531648,0.16460142726477825,0.38590137126199325,0.007234768904805482,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,B,step_totals,,,,,,,,,,,,,,,,,,,,,84.00000000000009,19.5,0.2321428571428569,0.1,0.0011904761904761893,52.0,0.6190476190476184,0.0,0.0,0.014941554853376211,0.057692307692307696,0.08000000000000008,1,3,8,48,39,1,52,35,6.400000000000003,0.07619047619047616,6.000000000000003,0.07142857142857138,32,30,37
13,B,all_agents,,,40,17,10,13,17,0,0.2314649669489442,0.1841508323831635,0.7815467564446957,0.01881597307473721,115,30,0.75,64,3.40625,1.34375,31.3,402,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,B,participants_only,,,30,17,0,13,17,0,0.2489629070766685,0.21016430015141851,0.7815467564446957,0.021540684679118457,115,30,1.0,64,3.40625,1.34375,25.066666666666666,402,,,,,,,,,,,,,,,,,,,,,,,,,,,
