step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_make,time_share_make,time_practice,time_share_practice,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_observe,count_make,count_practice,count_idle,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
0,B,reachability,0.65,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,all_agents,,,40,0,15,25,0,0,0.17174181139502023,0.15486028185926132,0.703806889395482,0.0131047579845198,6,5,0.125,0,0.0,0.0,26.1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,participants_only,,,30,0,5,25,0,0,0.17635687063127686,0.15769651266871765,0.703806889395482,0.014271912024800009,6,5,0.16666666666666666,0,0.0,0.0,24.8,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,nonparticipants_only,,,10,0,10,0,0,0,0.15789663368625023,0.14345107581329203,0.4355221934548329,0.009347710602629278,0,0,0.0,0,0.0,0.0,30.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,step_totals,,,,,,,,,,,,,,,,,,,,,84.0,4.000000000000002,0.04761904761904764,60.0,0.7142857142857143,20.0,0.23809523809523808,0.0,0.0,0.018339667615389105,0.1,0.0,0,6,30,23,40,60,40,35,,,,,,,
2,B,all_agents,,,40,2,11,27,2,0,0.17798550602636937,0.16066700487666646,0.7156546138196627,0.013223166620362102,17,14,0.35,7,1.0,1.0,27.2,65,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,participants_only,,,30,2,1,27,2,0,0.1844037428937365,0.16444945518344872,0.7156546138196627,0.014491517629317078,17,14,0.4666666666666667,7,1.0,1.0,24.6,65,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,nonparticipants_only,,,10,0,10,0,0,0,0.15873079542426802,0.14273382043422556,0.43334458248755875,0.008923788419669607,0,0,0.0,0,0.0,0.0,35.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,step_totals,,,,,,,,,,,,,,,,,,,,,88.60000000000001,4.000000000000002,0.0451467268623025,60.0,0.6772009029345372,20.0,0.2257336343115124,0.0,0.0,0.018398877479876573,0.06666666666666667,0.8139534883720936,7,4,20,22,40,60,40,35,3.600000000000001,0.04063205417607224,1.0,0.01128668171557562,18,5,
3,B,all_agents,,,40,7,11,22,7,0,0.1834804663501461,0.16413467826657308,0.7270284292668762,0.013462698591817791,27,21,0.525,15,1.4,1.2666666666666666,28.925,95,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,B,participants_only,,,30,7,1,22,7,0,0.19145575117497637,0.16660145546859018,0.7270284292668762,0.014853692057808433,27,21,0.7,15,1.4,1.2666666666666666,25.233333333333334,95,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,B,nonparticipants_only,,,10,0,10,0,0,0,0.1595546118756553,0.14202015133205442,0.43117785957512095,0.00852645617739985,0,0,0.0,0,0.0,0.0,40.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,B,step_totals,,,,,,,,,,,,,,,,,,,,,87.10000000000001,3.900000000000002,0.04477611940298509,57.0,0.6544202066590126,20.0,0.22962112514351318,0.0,0.0,0.01664477484992072,0.03508771929824561,0.7920792079207928,8,2,16,18,39,57,40,35,3.600000000000001,0.041331802525832385,2.6,0.029850746268656716,18,13,
4,B,all_agents,,,40,8,11,21,8,0,0.18901778417645568,0.16861933556043907,0.7233932871205417,0.013581685998312191,45,28,0.7,26,1.8461538461538463,1.4615384615384615,30.975,127,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,B,participants_only,,,30,8,1,21,8,0,0.1985674615179326,0.1760339091400902,0.7233932871205417,0.015026519941752064,45,28,0.9333333333333333,26,1.8461538461538463,1.4615384615384615,26.3,127,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,B,nonparticipants_only,,,10,0,10,0,0,0,0.16036875215202498,0.14131005057539414,0.42902197027724537,0.008152828120076762,0,0,0.0,0,0.0,0.0,45.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
