step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_make,time_share_make,time_practice,time_share_practice,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_observe,count_make,count_practice,count_idle,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
0,C,reachability,0.675,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,all_agents,,,40,0,15,25,0,0,0.17174181139502023,0.15486028185926132,0.703806889395482,0.0131047579845198,6,5,0.125,0,0.0,0.0,26.1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,participants_only,,,30,0,5,25,0,0,0.17635687063127686,0.15769651266871765,0.703806889395482,0.014271912024800009,6,5,0.16666666666666666,0,0.0,0.0,24.8,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,nonparticipants_only,,,10,0,10,0,0,0,0.15789663368625023,0.14345107581329203,0.4355221934548329,0.009347710602629278,0,0,0.0,0,0.0,0.0,30.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,step_totals,,,,,,,,,,,,,,,,,,,,,84.0,4.000000000000002,0.04761904761904764,60.0,0.7142857142857143,20.0,0.23809523809523808,0.0,0.0,0.018339667615389105,0.1,0.0,0,6,30,23,40,60,40,35,,,,,,,
2,C,all_agents,,,40,4,13,23,4,0,0.1776999666734625,0.15898635722563903,0.7156546138196627,0.01317455887116841,8,7,0.175,0,0.0,0.0,27.2,62,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,participants_only,,,30,4,3,23,4,0,0.18402302375652732,0.16444945518344872,0.7156546138196627,0.014431558151498557,8,7,0.23333333333333334,0,0.0,0.0,24.6,62,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,nonparticipants_only,,,10,0,10,0,0,0,0.15873079542426802,0.14273382043422556,0.43334458248755875,0.008923788419669607,0,0,0.0,0,0.0,0.0,35.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,step_totals,,,,,,,,,,,,,,,,,,,,,88.80000000000001,4.000000000000002,0.04504504504504506,60.0,0.6756756756756755,20.0,0.2252252252252252,0.0,0.0,0.01758571058580416,0.03333333333333333,0.0,0,2,19,22,40,60,40,35,3.800000000000001,0.0427927927927928,1.0,0.011261261261261259,19,5,
3,C,all_agents,,,40,7,11,22,7,0,0.18311669084708948,0.16413467826657308,0.7270284292668762,0.013389747237412737,9,7,0.175,0,0.0,0.0,28.75,90,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,C,participants_only,,,30,7,1,22,7,0,0.1909707171709009,0.1658054416577793,0.7270284292668762,0.014764101339436545,9,7,0.23333333333333334,0,0.0,0.0,25.0,90,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,C,nonparticipants_only,,,10,0,10,0,0,0,0.1595546118756553,0.14202015133205442,0.43117785957512095,0.00852645617739985,0,0,0.0,0,0.0,0.0,40.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,C,step_totals,,,,,,,,,,,,,,,,,,,,,89.10000000000001,3.900000000000002,0.043771043771043794,60.0,0.6734006734006733,20.0,0.22446689113355778,0.0,0.0,0.01605365181574055,0.016666666666666666,0.0,0,1,18,20,39,60,40,34,3.800000000000001,0.04264870931537599,1.4,0.015712682379349044,19,7,
