step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_make,time_share_make,time_practice,time_share_practice,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_observe,count_make,count_practice,count_idle,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
0,D,reachability,0.65,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,all_agents,,,40,0,15,25,0,0,0.17174181139502023,0.15486028185926132,0.703806889395482,0.0131047579845198,6,5,0.125,0,0.0,0.0,26.1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,participants_only,,,30,0,5,25,0,0,0.17635687063127686,0.15769651266871765,0.703806889395482,0.014271912024800009,6,5,0.16666666666666666,0,0.0,0.0,24.8,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,nonparticipants_only,,,10,0,10,0,0,0,0.15789663368625023,0.14345107581329203,0.4355221934548329,0.009347710602629278,0,0,0.0,0,0.0,0.0,30.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,step_totals,,,,,,,,,,,,,,,,,,,,,84.0,4.000000000000002,0.04761904761904764,60.0,0.7142857142857143,20.0,0.23809523809523808,0.0,0.0,0.018339667615389105,0.1,0.0,0,6,30,23,40,60,40,35,,,,,,,
2,D,all_agents,,,40,2,11,27,2,0,0.17798550602636937,0.16066700487666646,0.7156546138196627,0.013223166620362102,10,8,0.2,0,0.0,0.0,27.2,65,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D,participants_only,,,30,2,1,27,2,0,0.1844037428937365,0.16444945518344872,0.7156546138196627,0.014491517629317078,10,8,0.26666666666666666,0,0.0,0.0,24.6,65,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D,nonparticipants_only,,,10,0,10,0,0,0,0.15873079542426802,0.14273382043422556,0.43334458248755875,0.008923788419669607,0,0,0.0,0,0.0,0.0,35.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D,step_totals,,,,,,,,,,,,,,,,,,,,,88.60000000000001,4.000000000000002,0.0451467268623025,60.0,0.6772009029345372,20.0,0.2257336343115124,0.0,0.0,0.018398877479876573,0.06666666666666667,0.0,0,4,20,22,40,60,40,35,3.600000000000001,0.04063205417607224,1.0,0.01128668171557562,18,5,
3,D,all_agents,,,40,7,10,23,7,0,0.184139392981195,0.16413467826657308,0.7270284292668762,0.013508664610335579,16,11,0.275,0,0.0,0.0,28.8,101,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,D,participants_only,,,30,7,0,23,7,0,0.19233432001637488,0.16660145546859018,0.7270284292668762,0.0149007734381998,16,11,0.36666666666666664,0,0.0,0.0,25.066666666666666,101,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,D,nonparticipants_only,,,10,0,10,0,0,0,0.1595546118756553,0.14202015133205442,0.43117785957512095,0.00852645617739985,0,0,0.0,0,0.0,0.0,40.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
