step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_make,time_share_make,time_practice,time_share_practice,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_observe,count_make,count_practice,count_idle,time_share,time_share_share,time_ask,time_share_ask,count_share,count_ask,reject_insufficient_material
0,A,reachability,0.875,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,all_agents,,,40,0,14,26,0,0,0.16710516447472426,0.14191069505100587,0.6347843751449279,0.012687464794181822,9,9,0.225,0,0.0,0.0,25.8,39,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,participants_only,,,30,0,4,26,0,0,0.16752096716341225,0.1404464078687081,0.6347843751449279,0.012984496660155356,9,9,0.3,0,0.0,0.0,24.4,39,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,nonparticipants_only,,,10,0,10,0,0,0,0.16585775640866027,0.14989143868275367,0.5156527693880186,0.011794294493750178,0,0,0.0,0,0.0,0.0,30.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,step_totals,,,,,,,,,,,,,,,,,,,,,83.99999999999994,4.000000000000002,0.04761904761904767,60.0,0.7142857142857147,20.0,0.23809523809523825,0.0,0.0,0.021168919083507532,0.15,0.0,0,9,30,9,40,60,40,32,,,,,,,
2,A,all_agents,,,40,5,13,22,5,0,0.17300693807882261,0.14812758739410714,0.6384365313934787,0.012873478143067739,27,22,0.55,16,1.0,1.0,26.6,70,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A,participants_only,,,30,5,3,22,5,0,0.17512418040477631,0.1477546772746391,0.6384365313934787,0.013377711626055177,27,22,0.7333333333333333,16,1.0,1.0,23.8,70,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A,nonparticipants_only,,,10,0,10,0,0,0,0.1666552111009615,0.14914198148933994,0.5130745055410786,0.011306985113303705,0,0,0.0,0,0.0,0.0,35.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A,step_totals,,,,,,,,,,,,,,,,,,,,,88.4,4.000000000000002,0.04524886877828056,60.0,0.6787330316742081,20.0,0.2262443438914027,0.0,0.0,0.01745078300159594,0.03333333333333333,1.9047619047619055,16,2,21,8,40,60,40,31,1.5999999999999999,0.018099547511312215,2.8000000000000003,0.03167420814479638,8,14,
3,A,all_agents,,,40,7,11,22,7,0,0.1798481969063366,0.1505706768916248,0.6528990701377395,0.013226423723701116,43,26,0.65,23,1.3043478260869565,1.2173913043478262,28.0,112,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,A,participants_only,,,30,7,1,22,7,0,0.1839838134793587,0.15145698384294054,0.6528990701377395,0.013949498914195668,43,26,0.8666666666666667,23,1.3043478260869565,1.2173913043478262,24.0,112,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,A,nonparticipants_only,,,10,0,10,0,0,0,0.1674413471872703,0.14839627158189322,0.5105091330133732,0.0108519582589488,0,0,0.0,0,0.0,0.0,40.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,A,step_totals,,,,,,,,,,,,,,,,,,,,,89.9,3.900000000000002,0.04338153503893217,60.0,0.6674082313681868,20.0,0.22246941045606228,0.0,0.0,0.019656707063443857,0.15,0.7070707070707076,7,9,16,7,39,60,40,31,3.800000000000001,0.04226918798665184,2.1999999999999997,0.024471635150166846,19,11,
4,A,all_agents,,,40,7,11,22,7,0,0.18523561568290914,0.15759360169412262,0.6496345747870508,0.013247966483591613,55,28,0.7,31,1.6774193548387097,1.2580645161290323,29.9,141,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,A,participants_only,,,30,7,1,22,7,0,0.19090832524480525,0.15845504656003398,0.6496345747870508,0.01406069202203796,55,28,0.9333333333333333,31,1.6774193548387097,1.2580645161290323,24.866666666666667,141,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,A,nonparticipants_only,,,10,0,10,0,0,0,0.16821748699722075,0.14765429022398374,0.5079565873483063,0.01042363426296904,0,0,0.0,0,0.0,0.0,45.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,A,step_totals,,,,,,,,,,,,,,,,,,,,,86.00000000000004,4.000000000000002,0.046511627906976744,53.0,0.6162790697674415,20.0,0.2325581395348836,0.0,0.0,0.016723825176998292,0.07547169811320754,0.6153846153846162,8,4,3,16,40,53,40,38,5.200000000000002,0.06046511627906976,3.800000000000001,0.0441860465116279,26,19,24
5,A,all_agents,,,40,6,10,24,6,0,0.19044205831039623,0.16258961121807536,0.6463864019131155,0.013359061542906793,69,30,0.75,40,2.025,1.325,32.275,170,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,A,participants_only,,,30,6,0,24,6,0,0.19759505623747223,0.166731180988398,0.6463864019131155,0.014266076725607946,69,30,1.0,40,2.025,1.325,26.366666666666667,170,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,A,nonparticipants_only,,,10,0,10,0,0,0,0.16898306452916842,0.14691601877286384,0.5054168044115648,0.010024031442666299,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,A,step_totals,,,,,,,,,,,,,,,,,,,,,84.50000000000006,3.700000000000002,0.043786982248520706,51.0,0.6035502958579878,20.0,0.23668639053254423,0.0,0.0,0.01654009718466924,0.09803921568627451,0.6666666666666676,9,5,3,17,37,51,40,38,5.600000000000002,0.06627218934911241,4.200000000000001,0.0497041420118343,28,21,31
6,A,all_agents,,,40,9,10,21,9,0,0.19528654321087557,0.1648597764460622,0.6431544699035499,0.01352062483067623,75,30,0.75,44,2.227272727272727,1.3863636363636365,32.95,197,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,A,participants_only,,,30,9,0,21,9,0,0.20380193813275704,0.1770360250006755,0.6431544699035499,0.014522832063516272,75,30,1.0,44,2.227272727272727,1.3863636363636365,27.266666666666666,197,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,A,nonparticipants_only,,,10,0,10,0,0,0,0.1697403584452312,0.14618143867899952,0.502889720389507,0.009643859724048846,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,A,step_totals,,,,,,,,,,,,,,,,,,,,,83.00000000000006,2.800000000000001,0.03373493975903614,49.0,0.5903614457831321,20.0,0.24096385542168658,0.0,0.0,0.015845559900260035,0.04081632653061224,0.2857142857142861,4,2,5,17,28,49,40,38,6.000000000000003,0.07228915662650601,5.200000000000002,0.06265060240963853,30,26,29
7,A,all_agents,,,40,11,10,19,11,0,0.20037037758905427,0.16660823260086557,0.6574282911074079,0.013962063141229126,85,30,0.75,46,2.391304347826087,1.4130434782608696,33.45,227,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,A,participants_only,,,30,11,0,19,11,0,0.2103309965021582,0.17905706257471204,0.6574282911074079,0.015123780114266126,85,30,1.0,46,2.391304347826087,1.4130434782608696,27.933333333333334,227,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,A,nonparticipants_only,,,10,0,10,0,0,0,0.17048852084974253,0.14545053148560452,0.5003752717875595,0.009286345072533123,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,A,step_totals,,,,,,,,,,,,,,,,,,,,,86.50000000000009,0.8999999999999999,0.010404624277456635,54.0,0.6242774566473982,20.0,0.23121387283236972,0.0,0.0,0.015758688834335573,0.14814814814814814,0.16000000000000017,2,8,10,18,9,54,40,38,6.000000000000003,0.06936416184971095,5.600000000000002,0.06473988439306355,30,28,32
8,A,all_agents,,,40,14,10,16,14,0,0.20599532967925377,0.16862868914012086,0.6541411496518709,0.014311688299498661,90,30,0.75,47,2.4893617021276597,1.4042553191489362,33.85,261,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,A,participants_only,,,30,14,0,16,14,0,0.21758412975974928,0.18248402113237006,0.6541411496518709,0.015563059172974725,90,30,1.0,47,2.4893617021276597,1.4042553191489362,28.466666666666665,261,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,A,nonparticipants_only,,,10,0,10,0,0,0,0.1712289294377672,0.1447232788281765,0.4978733954286217,0.008945972231402154,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
