step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_make,time_share_make,time_practice,time_share_practice,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_observe,count_make,count_practice,count_idle,time_share,time_share_share,time_ask,time_share_ask,count_share,count_ask,reject_insufficient_material
0,B,reachability,0.85,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,all_agents,,,40,0,14,26,0,0,0.16710516447472426,0.14191069505100587,0.6347843751449279,0.012687464794181822,9,9,0.225,0,0.0,0.0,25.8,39,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,participants_only,,,30,0,4,26,0,0,0.16752096716341225,0.1404464078687081,0.6347843751449279,0.012984496660155356,9,9,0.3,0,0.0,0.0,24.4,39,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,nonparticipants_only,,,10,0,10,0,0,0,0.16585775640866027,0.14989143868275367,0.5156527693880186,0.011794294493750178,0,0,0.0,0,0.0,0.0,30.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,step_totals,,,,,,,,,,,,,,,,,,,,,83.99999999999994,4.000000000000002,0.04761904761904767,60.0,0.7142857142857147,20.0,0.23809523809523825,0.0,0.0,0.021168919083507532,0.15,0.0,0,9,30,9,40,60,40,32,,,,,,,
2,B,all_agents,,,40,4,13,23,4,0,0.1726424301125627,0.14570326961626556,0.6384365313934787,0.012813948970127999,25,18,0.45,15,1.0,1.0,26.6,66,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,participants_only,,,30,4,3,23,4,0,0.17463816978309643,0.14331920912043522,0.6384365313934787,0.01330033834840593,25,18,0.6,15,1.0,1.0,23.8,66,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,nonparticipants_only,,,10,0,10,0,0,0,0.1666552111009615,0.14914198148933994,0.5130745055410786,0.011306985113303705,0,0,0.0,0,0.0,0.0,35.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,step_totals,,,,,,,,,,,,,,,,,,,,,88.39999999999999,4.000000000000002,0.04524886877828057,60.0,0.6787330316742082,20.0,0.22624434389140274,0.0,0.0,0.01646116861355994,0.016666666666666666,1.7857142857142867,15,1,21,8,40,60,40,31,1.5999999999999999,0.01809954751131222,2.8000000000000003,0.031674208144796386,8,14,
3,B,all_agents,,,40,5,11,24,5,0,0.1792418500926796,0.14995709890674483,0.6528990701377395,0.013188022572789605,34,22,0.55,22,1.2727272727272727,1.0454545454545454,28.0,106,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,B,participants_only,,,30,5,1,24,5,0,0.18317535106114932,0.1505706768916248,0.6528990701377395,0.013904820957927395,34,22,0.7333333333333333,22,1.2727272727272727,1.0454545454545454,24.0,106,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,B,nonparticipants_only,,,10,0,10,0,0,0,0.1674413471872703,0.14839627158189322,0.5105091330133732,0.0108519582589488,0,0,0.0,0,0.0,0.0,40.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,B,step_totals,,,,,,,,,,,,,,,,,,,,,88.90000000000002,3.800000000000002,0.04274465691788528,60.0,0.6749156355455567,19.5,0.2193475815523059,0.0,0.0,0.019230822626902504,0.03333333333333333,0.7446808510638302,7,2,17,7,38,60,39,30,2.8000000000000003,0.03149606299212598,2.8000000000000003,0.03149606299212598,14,14,
4,B,all_agents,,,40,6,11,23,6,0,0.18447225349035767,0.15368480791972677,0.6496345747870508,0.013176684427945647,50,28,0.7,32,1.75,1.1875,29.9,133,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,B,participants_only,,,30,6,1,23,6,0,0.18989050898806997,0.15464175882856235,0.6496345747870508,0.013976937845717224,50,28,0.9333333333333333,32,1.75,1.1875,24.866666666666667,133,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,B,nonparticipants_only,,,10,0,10,0,0,0,0.16821748699722075,0.14765429022398374,0.5079565873483063,0.01042363426296904,0,0,0.0,0,0.0,0.0,45.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,B,step_totals,,,,,,,,,,,,,,,,,,,,,85.50000000000003,3.900000000000002,0.04561403508771931,53.0,0.6198830409356723,20.0,0.2339181286549707,0.0,0.0,0.016350841606248903,0.11320754716981132,0.800000000000001,10,6,6,17,39,53,40,37,4.400000000000001,0.05146198830409356,4.200000000000001,0.04912280701754385,22,21,24
5,B,all_agents,,,40,5,10,25,5,0,0.18931708902626582,0.15819122026776855,0.6463864019131155,0.013189860111482387,62,30,0.75,41,2.1463414634146343,1.2926829268292683,32.45,159,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,B,participants_only,,,30,5,0,25,5,0,0.19609509719196497,0.16099329004139518,0.6463864019131155,0.014061370755643947,62,30,1.0,41,2.1463414634146343,1.2926829268292683,26.6,159,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,B,nonparticipants_only,,,10,0,10,0,0,0,0.16898306452916842,0.14691601877286384,0.5054168044115648,0.010024031442666299,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,B,step_totals,,,,,,,,,,,,,,,,,,,,,81.30000000000008,3.700000000000002,0.045510455104551026,47.0,0.57810578105781,20.0,0.2460024600246,0.0,0.0,0.016152828128486705,0.06382978723404255,0.6293706293706304,9,3,3,16,37,47,40,38,5.600000000000002,0.06888068880688802,5.000000000000002,0.06150061500615002,28,25,31
6,B,all_agents,,,40,7,10,23,7,0,0.19377211822474147,0.1611420339131619,0.6431544699035499,0.013348212443448564,68,30,0.75,42,2.2142857142857144,1.3095238095238095,33.225,183,,,,,,,,,,,,,,,,,,,,,,,,,,,
