step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_make,time_share_make,time_practice,time_share_practice,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_observe,count_make,count_practice,count_idle,time_share,time_share_share,time_ask,time_share_ask,count_share,count_ask,reject_insufficient_material
0,C,reachability,0.875,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,all_agents,,,40,0,14,26,0,0,0.16710516447472426,0.14191069505100587,0.6347843751449279,0.012687464794181822,9,9,0.225,0,0.0,0.0,25.8,39,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,participants_only,,,30,0,4,26,0,0,0.16752096716341225,0.1404464078687081,0.6347843751449279,0.012984496660155356,9,9,0.3,0,0.0,0.0,24.4,39,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,nonparticipants_only,,,10,0,10,0,0,0,0.16585775640866027,0.14989143868275367,0.5156527693880186,0.011794294493750178,0,0,0.0,0,0.0,0.0,30.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,step_totals,,,,,,,,,,,,,,,,,,,,,83.99999999999994,4.000000000000002,0.04761904761904767,60.0,0.7142857142857147,20.0,0.23809523809523825,0.0,0.0,0.021168919083507532,0.15,0.0,0,9,30,9,40,60,40,32,,,,,,,
2,C,all_agents,,,40,5,13,22,5,0,0.17300693807882261,0.14812758739410714,0.6384365313934787,0.012873478143067739,11,10,0.25,0,0.0,0.0,26.6,70,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,participants_only,,,30,5,3,22,5,0,0.17512418040477631,0.1477546772746391,0.6384365313934787,0.013377711626055177,11,10,0.3333333333333333,0,0.0,0.0,23.8,70,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,nonparticipants_only,,,10,0,10,0,0,0,0.1666552111009615,0.14914198148933994,0.5130745055410786,0.011306985113303705,0,0,0.0,0,0.0,0.0,35.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,step_totals,,,,,,,,,,,,,,,,,,,,,88.4,4.000000000000002,0.04524886877828056,60.0,0.6787330316742081,20.0,0.2262443438914027,0.0,0.0,0.01745078300159594,0.03333333333333333,0.0,0,2,21,8,40,60,40,31,1.5999999999999999,0.018099547511312215,2.8000000000000003,0.03167420814479638,8,14,
3,C,all_agents,,,40,6,11,23,6,0,0.18001890005524449,0.15145698384294054,0.6528990701377395,0.013162289250037991,20,16,0.4,0,0.0,0.0,28.0,113,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,C,participants_only,,,30,6,1,23,6,0,0.1842114176779025,0.15282515015689718,0.6528990701377395,0.01386209076433586,20,16,0.5333333333333333,0,0.0,0.0,24.0,113,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,C,nonparticipants_only,,,10,0,10,0,0,0,0.1674413471872703,0.14839627158189322,0.5105091330133732,0.0108519582589488,0,0,0.0,0,0.0,0.0,40.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,C,step_totals,,,,,,,,,,,,,,,,,,,,,88.5,3.900000000000002,0.04406779661016952,60.0,0.6779661016949152,20.0,0.22598870056497175,0.0,0.0,0.020430584415158107,0.15,0.0,0,9,21,7,39,60,40,31,1.7999999999999998,0.020338983050847456,2.8000000000000003,0.03163841807909605,9,14,
4,C,all_agents,,,40,6,10,24,6,0,0.1850585531732005,0.15464175882856235,0.6496345747870508,0.013159701873700198,22,17,0.425,0,0.0,0.0,29.675,137,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,C,participants_only,,,30,6,0,24,6,0,0.19067224189852713,0.1549256270071717,0.6496345747870508,0.013945670406191149,22,17,0.5666666666666667,0,0.0,0.0,24.566666666666666,137,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,C,nonparticipants_only,,,10,0,10,0,0,0,0.16821748699722075,0.14765429022398374,0.5079565873483063,0.01042363426296904,0,0,0.0,0,0.0,0.0,45.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,C,step_totals,,,,,,,,,,,,,,,,,,,,,88.60000000000004,4.000000000000002,0.045146726862302484,57.0,0.6433408577878101,20.0,0.22573363431151233,0.0,0.0,0.015255594811169783,0.03508771929824561,0.0,0,2,7,20,40,57,40,38,3.2000000000000006,0.036117381489841976,4.400000000000001,0.04966139954853273,16,22,24
5,C,all_agents,,,40,5,10,25,5,0,0.1893434764699967,0.15854573127737437,0.6463864019131155,0.013194597335576088,25,18,0.45,0,0.0,0.0,32.025,156,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,C,participants_only,,,30,5,0,25,5,0,0.19613028045027275,0.16227124313199398,0.6463864019131155,0.014067209800145919,25,18,0.6,0,0.0,0.0,26.033333333333335,156,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,C,nonparticipants_only,,,10,0,10,0,0,0,0.16898306452916842,0.14691601877286384,0.5054168044115648,0.010024031442666299,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,C,step_totals,,,,,,,,,,,,,,,,,,,,,84.70000000000006,3.700000000000002,0.04368358913813458,52.0,0.6139315230224317,20.0,0.23612750885478143,0.0,0.0,0.013885050958256923,0.057692307692307696,0.0,0,3,6,20,37,52,40,38,3.400000000000001,0.04014167650531285,5.600000000000002,0.06611570247933882,17,28,32
6,C,all_agents,,,40,9,10,21,9,0,0.1941088442645877,0.16195037056835854,0.6605309458365909,0.013433303425652188,29,20,0.5,0,0.0,0.0,32.65,182,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,C,participants_only,,,30,9,0,21,9,0,0.20223167287103985,0.17029617569917027,0.6605309458365909,0.014432529947907443,29,20,0.6666666666666666,0,0.0,0.0,26.866666666666667,182,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,C,nonparticipants_only,,,10,0,10,0,0,0,0.1697403584452312,0.14618143867899952,0.502889720389507,0.009643859724048846,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,C,step_totals,,,,,,,,,,,,,,,,,,,,,83.30000000000005,2.9000000000000012,0.03481392557022808,51.0,0.6122448979591832,20.0,0.240096038415366,0.0,0.0,0.015507197766093299,0.0784313725490196,0.0,0,4,8,24,29,51,40,39,3.400000000000001,0.04081632653061223,6.000000000000003,0.07202881152460983,17,30,29
7,C,all_agents,,,40,10,10,20,10,0,0.19947513143294596,0.1619158059539348,0.6572282911074079,0.013743408524617123,33,21,0.525,0,0.0,0.0,33.025,213,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,C,participants_only,,,30,10,0,20,10,0,0.20913733496068043,0.17905706257471204,0.6572282911074079,0.014855663633932998,33,21,0.7,0,0.0,0.0,27.366666666666667,213,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,C,nonparticipants_only,,,10,0,10,0,0,0,0.17048852084974253,0.14545053148560452,0.5003752717875595,0.009286345072533123,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,C,step_totals,,,,,,,,,,,,,,,,,,,,,86.80000000000005,0.7999999999999999,0.009216589861751145,56.0,0.6451612903225803,20.0,0.23041474654377866,0.0,0.0,0.016524309529845217,0.07142857142857142,0.0,0,4,13,20,8,56,40,38,4.000000000000001,0.04608294930875574,6.000000000000003,0.06912442396313363,20,30,33
