step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_make,time_share_make,time_practice,time_share_practice,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_observe,count_make,count_practice,count_idle,time_share,time_share_share,time_ask,time_share_ask,count_share,count_ask,reject_insufficient_material
0,D,reachability,0.85,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,all_agents,,,40,0,14,26,0,0,0.16710516447472426,0.14191069505100587,0.6347843751449279,0.012687464794181822,9,9,0.225,0,0.0,0.0,25.8,39,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,participants_only,,,30,0,4,26,0,0,0.16752096716341225,0.1404464078687081,0.6347843751449279,0.012984496660155356,9,9,0.3,0,0.0,0.0,24.4,39,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,nonparticipants_only,,,10,0,10,0,0,0,0.16585775640866027,0.14989143868275367,0.5156527693880186,0.011794294493750178,0,0,0.0,0,0.0,0.0,30.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,step_totals,,,,,,,,,,,,,,,,,,,,,83.99999999999994,4.000000000000002,0.04761904761904767,60.0,0.7142857142857147,20.0,0.23809523809523825,0.0,0.0,0.021168919083507532,0.15,0.0,0,9,30,9,40,60,40,32,,,,,,,
2,D,all_agents,,,40,4,13,23,4,0,0.1726424301125627,0.14570326961626556,0.6384365313934787,0.012813948970127999,10,10,0.25,0,0.0,0.0,26.6,66,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D,participants_only,,,30,4,3,23,4,0,0.17463816978309643,0.14331920912043522,0.6384365313934787,0.01330033834840593,10,10,0.3333333333333333,0,0.0,0.0,23.8,66,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D,nonparticipants_only,,,10,0,10,0,0,0,0.1666552111009615,0.14914198148933994,0.5130745055410786,0.011306985113303705,0,0,0.0,0,0.0,0.0,35.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D,step_totals,,,,,,,,,,,,,,,,,,,,,88.39999999999999,4.000000000000002,0.04524886877828057,60.0,0.6787330316742082,20.0,0.22624434389140274,0.0,0.0,0.01646116861355994,0.016666666666666666,0.0,0,1,21,8,40,60,40,31,1.5999999999999999,0.01809954751131222,2.8000000000000003,0.031674208144796386,8,14,
3,D,all_agents,,,40,6,11,23,6,0,0.17960851906571626,0.15282515015689718,0.6528990701377395,0.01315994189235098,17,14,0.35,0,0.0,0.0,28.0,109,,,,,,,,,,,,,,,,,,,,,,,,,,,
