step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_practice,time_share_practice,time_make,time_share_make,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_observe,count_practice,count_make,count_idle,time_share,time_share_share,time_ask,time_share_ask,count_share,count_ask,reject_insufficient_material
0,C,reachability,0.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,all_agents,,,40,0,14,26,0,0,0.1771355640816152,0.16356704663431057,0.5357759776498592,0.0114937669464667,7,7,0.175,0,0.0,0.0,26.0,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,participants_only,,,30,0,4,26,0,0,0.1759443534613297,0.16327671169542793,0.5357759776498592,0.010748673222967853,7,7,0.23333333333333334,0,0.0,0.0,24.666666666666668,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,nonparticipants_only,,,10,0,10,0,0,0,0.18070919594247178,0.1640373642086024,0.47832254810714336,0.01371202032406066,0,0,0.0,0,0.0,0.0,30.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,step_totals,,,,,,,,,,,,,,,,,,,,,84.0,4.000000000000002,0.04761904761904764,20.0,0.23809523809523808,60.0,0.7142857142857143,0.0,0.0,0.01983448059723453,0.11666666666666667,0.0,0,7,30,10,40,40,60,33,,,,,,,
2,C,all_agents,,,40,1,12,27,1,0,0.1835137637451037,0.17018689915044713,0.5407909957150634,0.011696053309379947,13,11,0.275,0,0.0,0.0,27.05,71,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,participants_only,,,30,1,2,27,1,0,0.18420909606812327,0.17048544879680494,0.5407909957150634,0.011200725723384682,13,11,0.36666666666666664,0,0.0,0.0,24.4,71,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,nonparticipants_only,,,10,0,10,0,0,0,0.18142776677604502,0.1632171773875594,0.47593093536660763,0.013176234222892508,0,0,0.0,0,0.0,0.0,35.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,step_totals,,,,,,,,,,,,,,,,,,,,,87.19999999999999,4.000000000000002,0.045871559633027546,20.0,0.22935779816513766,59.0,0.6766055045871561,0.0,0.0,0.0191404737064913,0.1016949152542373,0.0,0,6,20,8,40,40,59,32,1.2,0.013761467889908258,3.0000000000000004,0.03440366972477065,6,15,
3,C,all_agents,,,40,3,10,27,3,0,0.19055621545468426,0.17198525852015356,0.5591593558864608,0.012191474291870223,24,17,0.425,0,0.0,0.0,28.575,117,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,C,participants_only,,,30,3,0,27,3,0,0.19336285632278838,0.18201183056718123,0.5591593558864608,0.012000466035472715,24,17,0.5666666666666667,0,0.0,0.0,24.766666666666666,117,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,C,nonparticipants_only,,,10,0,10,0,0,0,0.1821362928503719,0.1624010915006216,0.4735512806897746,0.0126699722655126,0,0,0.0,0,0.0,0.0,40.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,C,step_totals,,,,,,,,,,,,,,,,,,,,,87.4,4.000000000000002,0.04576659038901604,20.0,0.22883295194508008,59.0,0.6750572082379862,0.0,0.0,0.02091450936881566,0.1864406779661017,0.0,0,11,19,7,40,40,59,31,1.4,0.016018306636155603,3.0000000000000004,0.034324942791762014,7,15,
4,C,all_agents,,,40,5,10,25,5,0,0.1965752650832165,0.1792248052903564,0.5724199289147506,0.012378068986601173,34,21,0.525,0,0.0,0.0,30.275,153,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,C,participants_only,,,30,5,0,25,5,0,0.20115532095804006,0.18759255396584162,0.5724199289147506,0.012356350742286134,34,21,0.7,0,0.0,0.0,25.366666666666667,153,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,C,nonparticipants_only,,,10,0,10,0,0,0,0.18283509745874585,0.1615890860431185,0.4711835242863257,0.012191500777748221,0,0,0.0,0,0.0,0.0,45.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,C,step_totals,,,,,,,,,,,,,,,,,,,,,87.20000000000002,4.000000000000002,0.04587155963302753,20.0,0.22935779816513757,56.0,0.6422018348623852,0.0,0.0,0.018258250681255302,0.17857142857142858,0.0,0,10,9,19,40,40,56,37,3.2000000000000006,0.03669724770642202,4.000000000000001,0.045871559633027525,16,20,19
5,C,all_agents,,,40,6,10,24,6,0,0.20163970840366593,0.17893506860033248,0.5895231317581605,0.012611902524932864,38,21,0.525,0,0.0,0.0,32.475,182,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,C,participants_only,,,30,6,0,24,6,0,0.20767755466112867,0.19101018797239727,0.5895231317581605,0.012759179344806497,38,21,0.7,0,0.0,0.0,26.633333333333333,182,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,C,nonparticipants_only,,,10,0,10,0,0,0,0.1835261696312778,0.1607811406129029,0.4688276066648941,0.011732605016166886,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,C,step_totals,,,,,,,,,,,,,,,,,,,,,85.40000000000005,3.600000000000002,0.04215456674473068,20.0,0.23419203747072587,53.0,0.6206088992974236,0.0,0.0,0.01602939218138794,0.07547169811320754,0.0,0,4,5,22,36,40,53,36,4.000000000000001,0.04683840749414518,4.800000000000002,0.056206088992974225,20,24,27
6,C,all_agents,,,40,6,10,24,6,0,0.20687201611722708,0.1849927522613523,0.6059422064878341,0.012779829739142209,47,26,0.65,0,0.0,0.0,32.7,213,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,C,participants_only,,,30,6,0,24,6,0,0.2144268104263969,0.19615082755372637,0.6059422064878341,0.013044576306165274,47,26,0.8666666666666667,0,0.0,0.0,26.933333333333334,213,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,C,nonparticipants_only,,,10,0,10,0,0,0,0.18420763318971745,0.1599772349098384,0.46648346863156964,0.01130069103342663,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,C,step_totals,,,,,,,,,,,,,,,,,,,,,84.00000000000004,3.0000000000000013,0.03571428571428571,20.0,0.23809523809523797,52.0,0.6190476190476187,0.0,0.0,0.016825463642207064,0.17307692307692307,0.0,0,9,5,28,30,40,52,40,4.000000000000001,0.0476190476190476,5.000000000000002,0.059523809523809514,20,25,32
7,C,all_agents,,,40,7,10,23,7,0,0.2120207783154099,0.18581425707290228,0.6217045182283207,0.012884721358207712,52,27,0.675,0,0.0,0.0,32.95,242,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,C,participants_only,,,30,7,0,23,7,0,0.22106717045778737,0.19818252416504625,0.6217045182283207,0.013223245608283526,52,27,0.9,0,0.0,0.0,27.266666666666666,242,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,C,nonparticipants_only,,,10,0,10,0,0,0,0.18488160188827749,0.15917734873528921,0.4641510512884118,0.01088710207845624,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,C,step_totals,,,,,,,,,,,,,,,,,,,,,88.40000000000009,0.7999999999999999,0.009049773755656099,20.0,0.2262443438914025,56.0,0.6334841628959269,0.0,0.0,0.015759383286265447,0.08928571428571429,0.0,0,5,8,24,8,40,56,38,5.000000000000002,0.05656108597285064,6.600000000000003,0.07466063348416285,25,33,33
8,C,all_agents,,,40,8,10,22,8,0,0.21723226821598812,0.18688548961774093,0.6368363374991879,0.013291113770632551,57,27,0.675,0,0.0,0.0,33.325,274,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,C,participants_only,,,30,8,0,22,8,0,0.22779430357132113,0.1975523806039294,0.6368363374991879,0.013775474381704159,57,27,0.9,0,0.0,0.0,27.766666666666666,274,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,C,nonparticipants_only,,,10,0,10,0,0,0,0.18554616214998898,0.15838146199161277,0.46183029603196973,0.010499352847250064,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,C,step_totals,,,,,,,,,,,,,,,,,,,,,88.10000000000012,0.30000000000000004,0.0034052213393870557,20.0,0.22701475595913703,56.0,0.6356413166855837,0.0,0.0,0.015948389966396796,0.08928571428571429,0.0,0,5,10,29,3,40,56,39,5.400000000000002,0.06129398410896702,6.400000000000003,0.07264472190692388,27,32,34
9,C,all_agents,,,40,9,10,21,9,0,0.22204590491961038,0.19335062388523336,0.6513628839992204,0.013569859372383282,60,27,0.675,0,0.0,0.0,33.15,301,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,C,participants_only,,,30,9,0,21,9,0,0.23399324640782046,0.20177401831969782,0.6513628839992204,0.014146474995141264,60,27,0.9,0,0.0,0.0,27.533333333333335,301,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,C,nonparticipants_only,,,10,0,10,0,0,0,0.18620388045498004,0.1614013452817452,0.45952114455180987,0.010127144880478462,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,C,step_totals,,,,,,,,,,,,,,,,,,,,,90.70000000000009,0.1,0.0011025358324145524,20.0,0.2205071664829105,59.0,0.6504961411245859,0.0,0.0,0.014473094123546157,0.05084745762711865,0.0,0,3,11,25,1,40,59,38,5.200000000000002,0.05733186328555675,6.400000000000003,0.07056229327453138,26,32,36
10,C,all_agents,,,40,10,10,20,10,0,0.22714820148145715,0.19622366958329998,0.6653083686392516,0.01408430932089227,65,27,0.675,0,0.0,0.0,32.825,333,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,C,participants_only,,,30,10,0,20,10,0,0.24057975975901735,0.20999213748623036,0.6653083686392516,0.014799019415586196,65,27,0.9,0,0.0,0.0,27.1,333,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,C,nonparticipants_only,,,10,0,10,0,0,0,0.1868535266487766,0.16075963215565492,0.4572235388290508,0.009775297943648547,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,C,step_totals,,,,,,,,,,,,,,,,,,,,,89.20000000000009,,,20.0,0.2242152466367711,58.0,0.6502242152466361,0.0,0.0,0.015439801019303156,0.08620689655172414,0.0,0,5,14,31,,40,58,39,5.400000000000002,0.06053811659192822,5.8000000000000025,0.06502242152466364,27,29,31
10,C,reachability,0.225,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,C,all_agents,,,40,12,10,18,12,0,0.23179630251703204,0.197468712602843,0.6686552849528591,0.014599581641496462,70,27,0.675,0,0.0,0.0,32.525,361,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,C,participants_only,,,30,12,0,18,12,0,0.2465626821230972,0.21417116046916826,0.6686552849528591,0.01544870204209794,70,27,0.9,0,0.0,0.0,26.7,361,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,C,nonparticipants_only,,,10,0,10,0,0,0,0.18749716369883657,0.16169184133346698,0.45493742113490554,0.009435668839647022,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,C,step_totals,,,,,,,,,,,,,,,,,,,,,90.70000000000009,0.1,0.0011025358324145524,20.0,0.2205071664829105,59.0,0.6504961411245859,0.0,0.0,0.01405539570285632,0.0847457627118644,0.0,0,5,10,26,1,40,59,38,5.200000000000002,0.05733186328555675,6.400000000000003,0.07056229327453138,26,32,37
12,C,all_agents,,,40,15,10,15,15,0,0.2363912736643046,0.19685355683702518,0.6819090735547447,0.01536726008684579,75,28,0.7,0,0.0,0.0,32.6,394,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C,participants_only,,,30,15,0,15,15,0,0.25247711516102106,0.21573045609618274,0.6819090735547447,0.01641719125014337,75,28,0.9333333333333333,0,0.0,0.0,26.8,394,,,,,,,,,,,,,,,,,,,,,,,,,,,
