step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_practice,time_share_practice,time_make,time_share_make,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_observe,count_practice,count_make,count_idle,time_share,time_share_share,time_ask,time_share_ask,count_share,count_ask,reject_insufficient_material
0,D,reachability,0.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,all_agents,,,40,0,14,26,0,0,0.1771355640816152,0.16356704663431057,0.5357759776498592,0.0114937669464667,7,7,0.175,0,0.0,0.0,26.0,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,participants_only,,,30,0,4,26,0,0,0.1759443534613297,0.16327671169542793,0.5357759776498592,0.010748673222967853,7,7,0.23333333333333334,0,0.0,0.0,24.666666666666668,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,nonparticipants_only,,,10,0,10,0,0,0,0.18070919594247178,0.1640373642086024,0.47832254810714336,0.01371202032406066,0,0,0.0,0,0.0,0.0,30.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,step_totals,,,,,,,,,,,,,,,,,,,,,84.0,4.000000000000002,0.04761904761904764,20.0,0.23809523809523808,60.0,0.7142857142857143,0.0,0.0,0.01983448059723453,0.11666666666666667,0.0,0,7,30,10,40,40,60,33,,,,,,,
2,D,all_agents,,,40,1,11,28,1,0,0.1830839638089901,0.17048544879680494,0.5407909957150634,0.01155707239546968,15,14,0.35,0,0.0,0.0,27.05,66,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D,participants_only,,,30,1,1,28,1,0,0.18363602948663846,0.17642298447150773,0.5407909957150634,0.011016132680278986,15,14,0.4666666666666667,0,0.0,0.0,24.4,66,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D,nonparticipants_only,,,10,0,10,0,0,0,0.18142776677604502,0.1632171773875594,0.47593093536660763,0.013176234222892508,0,0,0.0,0,0.0,0.0,35.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D,step_totals,,,,,,,,,,,,,,,,,,,,,87.4,4.000000000000002,0.04576659038901604,20.0,0.22883295194508008,59.0,0.6750572082379862,0.0,0.0,0.017916445337972254,0.13559322033898305,0.0,0,8,19,8,40,40,59,32,1.2,0.013729977116704805,3.2000000000000006,0.03661327231121282,6,16,
3,D,all_agents,,,40,3,11,26,3,0,0.1896508412633251,0.1719149479106456,0.5591593558864608,0.011852883074204255,28,20,0.5,0,0.0,0.0,28.575,106,,,,,,,,,,,,,,,,,,,,,,,,,,,
