step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_practice,time_share_practice,time_make,time_share_make,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_missing_asset,reject_time_budget_exceeded,count_observe,count_practice,count_make,count_idle,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
0,A,reachability,0.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,all_agents,,,40,0,21,19,0,0,0.17610650056846716,0.14823662288754635,0.619601430133386,0.014391736778383422,5,5,0.125,0,0.0,0.0,25.8,23,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,participants_only,,,30,0,11,19,0,0,0.1724328460065307,0.14615826588323955,0.5097937716022602,0.011942478386702402,5,5,0.16666666666666666,0,0.0,0.0,24.4,23,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,nonparticipants_only,,,10,0,10,0,0,0,0.18712746425427665,0.15399985758642537,0.619601430133386,0.02157756309934124,0,0,0.0,0,0.0,0.0,30.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,step_totals,,,,,,,,,,,,,,,,,,,,,84.39999999999998,3.900000000000002,0.046208530805687244,19.5,0.23104265402843607,61.0,0.722748815165877,0.0,0.0,0.01658870948879057,0.08196721311475409,0.0,0,5,16,30,39,39,61,31,,,,,,,
2,A,all_agents,,,40,1,14,25,1,0,0.18216687926543293,0.15497599043007118,0.6165034229827191,0.014180851081541403,14,12,0.3,5,1.0,1.0,26.6,54,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A,participants_only,,,30,1,4,25,1,0,0.1802839216365236,0.15765850266825593,0.507244802744249,0.01191567944072839,14,12,0.4,5,1.0,1.0,23.8,54,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A,nonparticipants_only,,,10,0,10,0,0,0,0.18781575215216095,0.15322985829849323,0.6165034229827191,0.020933819650793228,0,0,0.0,0,0.0,0.0,35.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A,step_totals,,,,,,,,,,,,,,,,,,,,,88.4,3.900000000000002,0.04411764705882355,19.5,0.22058823529411764,61.0,0.6900452488687783,0.0,0.0,0.018023414359726847,0.06557377049180328,0.6329113924050636,5,4,16,21,39,39,61,31,3.400000000000001,0.03846153846153847,0.6000000000000001,0.006787330316742082,17,3,
3,A,all_agents,,,40,4,11,25,4,0,0.18833503407212274,0.16151414734710742,0.6134209058678055,0.014411842515793692,27,19,0.475,12,1.4166666666666667,1.1666666666666667,28.0,90,,,,,,,,,,,,,,,,,,,,,,,,,,,
