step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_practice,time_share_practice,time_make,time_share_make,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_missing_asset,reject_time_budget_exceeded,count_observe,count_practice,count_make,count_idle,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
0,C,reachability,0.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,all_agents,,,40,0,21,19,0,0,0.17610650056846716,0.14823662288754635,0.619601430133386,0.014391736778383422,5,5,0.125,0,0.0,0.0,25.8,23,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,participants_only,,,30,0,11,19,0,0,0.1724328460065307,0.14615826588323955,0.5097937716022602,0.011942478386702402,5,5,0.16666666666666666,0,0.0,0.0,24.4,23,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,nonparticipants_only,,,10,0,10,0,0,0,0.18712746425427665,0.15399985758642537,0.619601430133386,0.02157756309934124,0,0,0.0,0,0.0,0.0,30.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,step_totals,,,,,,,,,,,,,,,,,,,,,84.39999999999998,3.900000000000002,0.046208530805687244,19.5,0.23104265402843607,61.0,0.722748815165877,0.0,0.0,0.01658870948879057,0.08196721311475409,0.0,0,5,16,30,39,39,61,31,,,,,,,
2,C,all_agents,,,40,1,14,25,1,0,0.18216687926543293,0.15497599043007118,0.6165034229827191,0.014180851081541403,9,8,0.2,0,0.0,0.0,26.6,54,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,participants_only,,,30,1,4,25,1,0,0.1802839216365236,0.15765850266825593,0.507244802744249,0.01191567944072839,9,8,0.26666666666666666,0,0.0,0.0,23.8,54,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,nonparticipants_only,,,10,0,10,0,0,0,0.18781575215216095,0.15322985829849323,0.6165034229827191,0.020933819650793228,0,0,0.0,0,0.0,0.0,35.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,step_totals,,,,,,,,,,,,,,,,,,,,,88.4,3.900000000000002,0.04411764705882355,19.5,0.22058823529411764,61.0,0.6900452488687783,0.0,0.0,0.018023414359726847,0.06557377049180328,0.0,0,4,16,21,39,39,61,31,3.400000000000001,0.03846153846153847,0.6000000000000001,0.006787330316742082,17,3,
3,C,all_agents,,,40,4,11,25,4,0,0.18897196132610464,0.1585525386776225,0.6134209058678055,0.01447381234641131,14,11,0.275,0,0.0,0.0,27.95,96,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,C,participants_only,,,30,4,1,25,4,0,0.1891315824274938,0.16734544116429034,0.5047085787305278,0.012523239636728476,14,11,0.36666666666666664,0,0.0,0.0,23.933333333333334,96,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,C,nonparticipants_only,,,10,0,10,0,0,0,0.18849309802193712,0.1524637090070008,0.6134209058678055,0.020325224728707708,0,0,0.0,0,0.0,0.0,40.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,C,step_totals,,,,,,,,,,,,,,,,,,,,,89.4,3.900000000000002,0.043624161073825524,19.5,0.2181208053691275,61.0,0.6823266219239373,0.0,0.0,0.019807098361381545,0.08196721311475409,0.0,0,5,14,18,39,39,61,31,3.800000000000001,0.04250559284116332,1.2,0.013422818791946307,19,6,
4,C,all_agents,,,40,6,10,24,6,0,0.1944316643509149,0.1665087139584689,0.6103538013384665,0.014446406281651837,17,12,0.3,0,0.0,0.0,29.675,125,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,C,participants_only,,,30,6,0,24,6,0,0.19618882878934307,0.17106027188413497,0.5245202355813067,0.012666547193451068,17,12,0.4,0,0.0,0.0,24.566666666666666,125,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,C,nonparticipants_only,,,10,0,10,0,0,0,0.1891601710356304,0.15170139046196576,0.6103538013384665,0.01974893202389003,0,0,0.0,0,0.0,0.0,45.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,C,step_totals,,,,,,,,,,,,,,,,,,,,,88.10000000000004,3.700000000000002,0.041997729852440414,20.0,0.22701475595913725,57.0,0.6469920544835411,0.0,0.0,0.0165710674562003,0.05263157894736842,0.0,0,3,25,7,37,40,57,37,5.200000000000002,0.05902383654937571,2.1999999999999997,0.024971623155505093,26,11,22
5,C,all_agents,,,40,7,10,23,7,0,0.19881842570900796,0.16995613293405124,0.6073020323317742,0.01439773780316286,20,14,0.35,0,0.0,0.0,31.65,144,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,C,participants_only,,,30,7,0,23,7,0,0.20181875712630862,0.175673841077654,0.5292750332254936,0.012760115268128598,20,14,0.4666666666666667,0,0.0,0.0,25.533333333333335,144,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,C,nonparticipants_only,,,10,0,10,0,0,0,0.189817431457106,0.15094288350965593,0.6073020323317742,0.01920258154490195,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,C,step_totals,,,,,,,,,,,,,,,,,,,,,87.30000000000003,3.700000000000002,0.04238258877434136,20.0,0.22909507445589913,56.0,0.6414662084765176,0.0,0.0,0.013781834052649475,0.05357142857142857,0.0,0,3,25,7,37,40,56,37,5.400000000000002,0.06185567010309279,2.1999999999999997,0.025200458190148902,27,11,25
6,C,all_agents,,,40,8,10,22,8,0,0.20315555953780332,0.16910635226938098,0.6042655221701153,0.01448967084843914,21,15,0.375,0,0.0,0.0,32.175,166,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,C,participants_only,,,30,8,0,22,8,0,0.20738558100975513,0.18075370264133775,0.5339822828932387,0.013020099987976359,21,15,0.5,0,0.0,0.0,26.233333333333334,166,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,C,nonparticipants_only,,,10,0,10,0,0,0,0.19046549512194783,0.15018816909210764,0.6042655221701153,0.0186836664499894,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,C,step_totals,,,,,,,,,,,,,,,,,,,,,83.30000000000008,3.1000000000000014,0.03721488595438173,20.0,0.24009603841536592,51.0,0.612244897959183,0.0,0.0,0.014408847910209258,0.0196078431372549,0.0,0,1,34,6,31,40,51,39,6.400000000000003,0.07683073229291713,2.8000000000000003,0.03361344537815123,32,14,33
7,C,all_agents,,,40,9,10,21,9,0,0.20826194424988745,0.1765719825000182,0.6012441945592647,0.014695599362165428,26,18,0.45,0,0.0,0.0,32.45,194,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,C,participants_only,,,30,9,0,21,9,0,0.21398084303283957,0.18431826692265957,0.5405159880576754,0.013400524714775652,26,18,0.6,0,0.0,0.0,26.6,194,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,C,nonparticipants_only,,,10,0,10,0,0,0,0.19110524790103114,0.14943722824664712,0.6012441945592647,0.018188353664858943,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,C,step_totals,,,,,,,,,,,,,,,,,,,,,88.40000000000005,0.7999999999999999,0.009049773755656102,20.0,0.2262443438914026,59.0,0.6674208144796376,0.0,0.0,0.015575662799040262,0.0847457627118644,0.0,0,5,24,18,8,40,59,38,5.8000000000000025,0.06561085972850678,2.8000000000000003,0.031674208144796365,29,14,30
8,C,all_agents,,,40,10,10,20,10,0,0.2126235593221987,0.1824789047313108,0.5982379735864684,0.014791369385164623,30,19,0.475,0,0.0,0.0,32.95,216,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,C,participants_only,,,30,10,0,20,10,0,0.219586086581239,0.19607919874766638,0.55151430242539,0.01362151288500581,30,19,0.6333333333333333,0,0.0,0.0,27.266666666666666,216,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,C,nonparticipants_only,,,10,0,10,0,0,0,0.19173597754507782,0.14869004210541387,0.5982379735864684,0.017719217455646512,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,C,step_totals,,,,,,,,,,,,,,,,,,,,,84.60000000000008,0.4,0.004728132387706851,20.0,0.23640661938534258,54.0,0.6382978723404249,0.0,0.0,0.014250902780741044,0.07407407407407407,0.0,0,4,35,14,4,40,54,37,6.600000000000003,0.07801418439716308,3.600000000000001,0.04255319148936167,33,18,36
9,C,all_agents,,,40,11,10,19,11,0,0.2179035328118949,0.18376600497400042,0.595246783718536,0.015193122080165176,36,20,0.5,0,0.0,0.0,32.575,248,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,C,participants_only,,,30,11,0,19,11,0,0.2264182481507536,0.19509880275392807,0.5694537303283744,0.01421107204798712,36,20,0.6666666666666666,0,0.0,0.0,26.766666666666666,248,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,C,nonparticipants_only,,,10,0,10,0,0,0,0.19235938679531886,0.1479465918948868,0.595246783718536,0.017269267649077803,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,C,step_totals,,,,,,,,,,,,,,,,,,,,,89.40000000000008,0.2,0.002237136465324383,20.0,0.22371364653243828,59.0,0.6599552572706929,0.0,0.0,0.015871720062470326,0.1016949152542373,0.0,0,6,25,15,2,40,59,37,6.600000000000003,0.07382550335570467,3.600000000000001,0.0402684563758389,33,18,32
10,C,all_agents,,,40,12,10,18,12,0,0.22260648659842724,0.1865715481401003,0.5922705497999433,0.015561820636363704,39,21,0.525,0,0.0,0.0,32.3,276,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,C,participants_only,,,30,12,0,18,12,0,0.23248313210131433,0.20123204264685873,0.5866755811152394,0.014747490230998328,39,21,0.7,0,0.0,0.0,26.4,276,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,C,nonparticipants_only,,,10,0,10,0,0,0,0.192976550089766,0.14720685893541235,0.5922705497999433,0.016834234335783432,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,C,step_totals,,,,,,,,,,,,,,,,,,,,,85.50000000000009,0.1,0.0011695906432748527,20.0,0.23391812865497053,55.0,0.643274853801169,0.0,0.0,0.015054253431014701,0.05454545454545454,0.0,0,3,36,14,1,40,55,36,6.600000000000003,0.07719298245614031,3.800000000000001,0.04444444444444441,33,19,35
10,C,reachability,0.325,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,C,all_agents,,,40,14,10,16,14,0,0.2277442838173209,0.18919972130902155,0.6032085578706299,0.015992324181287446,45,22,0.55,0,0.0,0.0,31.9,308,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,C,participants_only,,,30,14,0,16,14,0,0.2391299787170088,0.20834232629454325,0.6032085578706299,0.015332901828002721,45,22,0.7333333333333333,0,0.0,0.0,25.866666666666667,308,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,C,nonparticipants_only,,,10,0,10,0,0,0,0.19358719911825728,0.1464708246407353,0.5893091970509436,0.016414982660956274,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
