step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_practice,time_share_practice,time_make,time_share_make,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_missing_asset,reject_time_budget_exceeded,count_observe,count_practice,count_make,count_idle,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
0,D,reachability,0.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,all_agents,,,40,0,21,19,0,0,0.17610650056846716,0.14823662288754635,0.619601430133386,0.014391736778383422,5,5,0.125,0,0.0,0.0,25.8,23,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,participants_only,,,30,0,11,19,0,0,0.1724328460065307,0.14615826588323955,0.5097937716022602,0.011942478386702402,5,5,0.16666666666666666,0,0.0,0.0,24.4,23,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,nonparticipants_only,,,10,0,10,0,0,0,0.18712746425427665,0.15399985758642537,0.619601430133386,0.02157756309934124,0,0,0.0,0,0.0,0.0,30.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,step_totals,,,,,,,,,,,,,,,,,,,,,84.39999999999998,3.900000000000002,0.046208530805687244,19.5,0.23104265402843607,61.0,0.722748815165877,0.0,0.0,0.01658870948879057,0.08196721311475409,0.0,0,5,16,30,39,39,61,31,,,,,,,
2,D,all_agents,,,40,1,11,28,1,0,0.18231112655926032,0.15262912593190658,0.6165034229827191,0.01438636748692068,12,10,0.25,0,0.0,0.0,26.6,57,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D,participants_only,,,30,1,1,28,1,0,0.1804762513616268,0.15168704570000124,0.5094200599683687,0.012190416364332933,12,10,0.3333333333333333,0,0.0,0.0,23.8,57,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D,nonparticipants_only,,,10,0,10,0,0,0,0.18781575215216095,0.15322985829849323,0.6165034229827191,0.020933819650793228,0,0,0.0,0,0.0,0.0,35.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D,step_totals,,,,,,,,,,,,,,,,,,,,,89.00000000000003,3.900000000000002,0.04382022471910113,19.5,0.21910112359550554,61.0,0.6853932584269661,0.0,0.0,0.018290889662004785,0.11475409836065574,0.0,0,7,16,18,39,39,61,31,4.000000000000001,0.0449438202247191,0.6000000000000001,0.006741573033707864,20,3,
3,D,all_agents,,,40,4,10,26,4,0,0.18859654807261386,0.16236041575431637,0.6134209058678055,0.014433083171352676,17,13,0.325,0,0.0,0.0,28.0,93,,,,,,,,,,,,,,,,,,,,,,,,,,,
