step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_practice,time_share_practice,time_idle,time_share_idle,time_make,time_share_make,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_observe,count_practice,count_idle,count_make,time_share,time_share_share,time_ask,time_share_ask,count_share,count_ask,reject_insufficient_material
0,A,reachability,0.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,all_agents,,,40,0,17,23,0,0,0.14856264905417538,0.12179033210023901,0.5119314454368956,0.01144946511681818,3,3,0.075,0,0.0,0.0,25.95,31,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,participants_only,,,30,0,7,23,0,0,0.14847102600231782,0.1213773257433752,0.4637560850856411,0.011323204557267279,3,3,0.1,0,0.0,0.0,24.6,31,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,nonparticipants_only,,,10,0,10,0,0,0,0.148837518209748,0.12380058086630222,0.5119314454368956,0.011828146058067302,0,0,0.0,0,0.0,0.0,30.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,step_totals,,,,,,,,,,,,,,,,,,,,,84.0,4.000000000000002,0.04761904761904764,20.0,0.23809523809523808,0.0,0.0,60.0,0.7142857142857143,0.019760270562153244,0.05,0.0,0,3,30,17,40,40,36,60,,,,,,,
2,A,all_agents,,,40,3,13,24,3,0,0.15485274461800733,0.12496515455287988,0.5093717882097112,0.011494238846896184,6,6,0.15,2,1.0,1.0,26.95,63,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A,participants_only,,,30,3,3,24,3,0,0.1565627984455245,0.1255109934713582,0.48519173756673634,0.011518759309817984,6,6,0.2,2,1.0,1.0,24.266666666666666,63,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A,nonparticipants_only,,,10,0,10,0,0,0,0.14972258313545572,0.1231815779619707,0.5093717882097112,0.011385586049014705,0,0,0.0,0,0.0,0.0,35.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A,step_totals,,,,,,,,,,,,,,,,,,,,,86.80000000000001,4.000000000000002,0.046082949308755776,20.0,0.23041474654377878,0.0,0.0,59.0,0.6797235023041474,0.018752235171353868,0.01694915254237288,0.2564102564102565,2,1,22,16,40,40,35,59,0.4,0.004608294930875576,3.400000000000001,0.0391705069124424,2,17,
3,A,all_agents,,,40,3,10,27,3,0,0.1623450208468558,0.12748007119386878,0.5068249292686626,0.011689715468291981,17,13,0.325,7,1.7142857142857142,1.4285714285714286,28.45,108,,,,,,,,,,,,,,,,,,,,,,,,,,,
