step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_practice,time_share_practice,time_idle,time_share_idle,time_make,time_share_make,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_observe,count_practice,count_idle,count_make,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
0,B,reachability,0.675,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,all_agents,,,40,0,17,23,0,0,0.14856264905417538,0.12179033210023901,0.5119314454368956,0.01144946511681818,3,3,0.075,0,0.0,0.0,25.95,31,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,participants_only,,,30,0,7,23,0,0,0.14847102600231782,0.1213773257433752,0.4637560850856411,0.011323204557267279,3,3,0.1,0,0.0,0.0,24.6,31,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,nonparticipants_only,,,10,0,10,0,0,0,0.148837518209748,0.12380058086630222,0.5119314454368956,0.011828146058067302,0,0,0.0,0,0.0,0.0,30.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,step_totals,,,,,,,,,,,,,,,,,,,,,84.0,4.000000000000002,0.04761904761904764,20.0,0.23809523809523808,0.0,0.0,60.0,0.7142857142857143,0.019760270562153244,0.05,0.0,0,3,30,17,40,40,36,60,,,,,,,
2,B,all_agents,,,40,3,13,24,3,0,0.15490986549105495,0.12342869402208487,0.5093717882097112,0.011465006910090053,7,6,0.15,1,1.0,1.0,26.9,63,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,participants_only,,,30,3,3,24,3,0,0.15663895960958804,0.12361292453713094,0.48519173756673634,0.011479521464565521,7,6,0.2,1,1.0,1.0,24.2,63,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,nonparticipants_only,,,10,0,10,0,0,0,0.14972258313545572,0.1231815779619707,0.5093717882097112,0.011385586049014705,0,0,0.0,0,0.0,0.0,35.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,step_totals,,,,,,,,,,,,,,,,,,,,,87.6,4.000000000000002,0.04566210045662103,20.0,0.22831050228310504,0.0,0.0,60.0,0.6849315068493151,0.018728568178634466,0.05,0.1315789473684211,1,3,22,16,40,40,35,60,3.2000000000000006,0.036529680365296816,0.4,0.004566210045662101,16,2,
3,B,all_agents,,,40,3,11,26,3,0,0.16127978433373732,0.125674609643567,0.5068249292686626,0.01169558575723113,19,13,0.325,10,1.4,1.1,28.325,97,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,B,participants_only,,,30,3,1,26,3,0,0.16484078635205143,0.13953637596222146,0.5057840680640668,0.011886483952254397,19,13,0.43333333333333335,10,1.4,1.1,24.433333333333334,97,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,B,nonparticipants_only,,,10,0,10,0,0,0,0.15059677827879492,0.12256567007216085,0.5068249292686626,0.010970722347668082,0,0,0.0,0,0.0,0.0,40.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,B,step_totals,,,,,,,,,,,,,,,,,,,,,88.19999999999999,4.000000000000002,0.04535147392290252,20.0,0.2267573696145125,0.0,0.0,60.0,0.6802721088435375,0.01864832195693114,0.05,1.0975609756097564,9,3,20,15,40,40,34,60,3.2000000000000006,0.03628117913832201,1.0,0.011337868480725625,16,5,
4,B,all_agents,,,40,5,10,25,5,0,0.16714480436413906,0.12777142818512105,0.5042908046223193,0.011638917871874911,33,20,0.5,19,1.736842105263158,1.263157894736842,29.95,127,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,B,participants_only,,,30,5,0,25,5,0,0.17237271476106364,0.14239421953840514,0.5032551477237465,0.011882761740672421,33,20,0.6666666666666666,19,1.736842105263158,1.263157894736842,24.933333333333334,127,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,B,nonparticipants_only,,,10,0,10,0,0,0,0.1514610731733653,0.12195284172180004,0.5042908046223193,0.010579413700063118,0,0,0.0,0,0.0,0.0,45.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,B,step_totals,,,,,,,,,,,,,,,,,,,,,87.20000000000002,4.000000000000002,0.04587155963302753,20.0,0.22935779816513757,0.0,0.0,56.0,0.6422018348623852,0.01769576281245565,0.08928571428571429,0.8035714285714294,9,5,8,24,40,40,38,56,4.800000000000002,0.05504587155963304,2.4,0.02752293577981651,24,12,19
5,B,all_agents,,,40,5,10,25,5,0,0.17186475518212668,0.1343992032661217,0.5017693505992078,0.011658087133396807,40,21,0.525,24,1.75,1.3333333333333333,31.975,148,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,B,participants_only,,,30,5,0,25,5,0,0.17838059031165507,0.14706482114786606,0.5007388719851277,0.011972751940810466,40,21,0.7,24,1.75,1.3333333333333333,25.966666666666665,148,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,B,nonparticipants_only,,,10,0,10,0,0,0,0.1523172497935415,0.12134307751319104,0.5017693505992078,0.01020461942193347,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,B,step_totals,,,,,,,,,,,,,,,,,,,,,85.40000000000005,3.600000000000002,0.04215456674473068,20.0,0.23419203747072587,0.0,0.0,53.0,0.6206088992974236,0.014853281919275544,0.03773584905660377,0.4032258064516134,5,2,7,23,36,40,38,53,5.200000000000002,0.06088992974238875,3.600000000000001,0.042154566744730664,26,18,24
6,B,all_agents,,,40,5,10,25,5,0,0.17693511796711167,0.14059469691403703,0.5071118059903673,0.011660289961030424,55,28,0.7,35,2.342857142857143,1.3428571428571427,32.525,174,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,B,participants_only,,,30,5,0,25,5,0,0.18485868947034564,0.15461504110064017,0.5071118059903673,0.012012683176028804,55,28,0.9333333333333333,35,2.342857142857143,1.3428571428571427,26.7,174,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,B,nonparticipants_only,,,10,0,10,0,0,0,0.1531644034574097,0.12073636212562508,0.49926050384621173,0.009849714491632945,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,B,step_totals,,,,,,,,,,,,,,,,,,,,,81.90000000000006,3.3000000000000016,0.04029304029304028,20.0,0.24420024420024403,0.0,0.0,49.0,0.5982905982905978,0.01661120280104468,0.08163265306122448,0.8527131782945747,11,4,4,29,33,40,40,49,5.600000000000002,0.06837606837606836,4.000000000000001,0.04884004884004881,28,20,29
7,B,all_agents,,,40,5,10,25,5,0,0.1824115318946846,0.1494057174732474,0.5268273337507526,0.0118252785728927,68,29,0.725,44,2.772727272727273,1.3863636363636365,32.825,203,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,B,participants_only,,,30,5,0,25,5,0,0.19188091732003276,0.1639944715499687,0.5268273337507526,0.012237893739762246,68,29,0.9666666666666667,44,2.772727272727273,1.3863636363636365,27.1,203,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,B,nonparticipants_only,,,10,0,10,0,0,0,0.1540033756186402,0.12013268031499695,0.4967642013269807,0.009511401948278512,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
