step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_practice,time_share_practice,time_idle,time_share_idle,time_make,time_share_make,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_observe,count_practice,count_idle,count_make,time_share,time_share_share,time_ask,time_share_ask,count_share,count_ask,reject_insufficient_material
0,C,reachability,0.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,all_agents,,,40,0,17,23,0,0,0.14856264905417538,0.12179033210023901,0.5119314454368956,0.01144946511681818,3,3,0.075,0,0.0,0.0,25.95,31,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,participants_only,,,30,0,7,23,0,0,0.14847102600231782,0.1213773257433752,0.4637560850856411,0.011323204557267279,3,3,0.1,0,0.0,0.0,24.6,31,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,nonparticipants_only,,,10,0,10,0,0,0,0.148837518209748,0.12380058086630222,0.5119314454368956,0.011828146058067302,0,0,0.0,0,0.0,0.0,30.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,step_totals,,,,,,,,,,,,,,,,,,,,,84.0,4.000000000000002,0.04761904761904764,20.0,0.23809523809523808,0.0,0.0,60.0,0.7142857142857143,0.019760270562153244,0.05,0.0,0,3,30,17,40,40,36,60,,,,,,,
2,C,all_agents,,,40,3,13,24,3,0,0.15485274461800733,0.12496515455287988,0.5093717882097112,0.011494238846896184,4,4,0.1,0,0.0,0.0,26.95,63,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,participants_only,,,30,3,3,24,3,0,0.1565627984455245,0.1255109934713582,0.48519173756673634,0.011518759309817984,4,4,0.13333333333333333,0,0.0,0.0,24.266666666666666,63,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,nonparticipants_only,,,10,0,10,0,0,0,0.14972258313545572,0.1231815779619707,0.5093717882097112,0.011385586049014705,0,0,0.0,0,0.0,0.0,35.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,step_totals,,,,,,,,,,,,,,,,,,,,,86.80000000000001,4.000000000000002,0.046082949308755776,20.0,0.23041474654377878,0.0,0.0,59.0,0.6797235023041474,0.018752235171353868,0.01694915254237288,0.0,0,1,22,16,40,40,35,59,0.4,0.004608294930875576,3.400000000000001,0.0391705069124424,2,17,
3,C,all_agents,,,40,3,10,27,3,0,0.1609577669973342,0.12534271816688175,0.5068249292686626,0.011588809203977639,9,6,0.15,0,0.0,0.0,28.4,94,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,C,participants_only,,,30,3,0,27,3,0,0.16441142990351396,0.13104422447275943,0.5057840680640668,0.011747127006202738,9,6,0.2,0,0.0,0.0,24.533333333333335,94,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,C,nonparticipants_only,,,10,0,10,0,0,0,0.15059677827879492,0.12256567007216085,0.5068249292686626,0.010970722347668082,0,0,0.0,0,0.0,0.0,40.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,C,step_totals,,,,,,,,,,,,,,,,,,,,,87.60000000000001,4.000000000000002,0.04566210045662102,20.0,0.228310502283105,0.0,0.0,59.0,0.6735159817351597,0.018059171154141546,0.0847457627118644,0.0,0,5,18,16,40,40,35,59,0.6000000000000001,0.006849315068493151,4.000000000000001,0.04566210045662101,3,20,
4,C,all_agents,,,40,4,10,26,4,0,0.16577040954995714,0.1274788763109046,0.5042908046223193,0.011448617061411176,12,9,0.225,0,0.0,0.0,29.975,113,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,C,participants_only,,,30,4,0,26,4,0,0.1705401883421544,0.13920104489431967,0.5032551477237465,0.011647348356287881,12,9,0.3,0,0.0,0.0,24.966666666666665,113,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,C,nonparticipants_only,,,10,0,10,0,0,0,0.1514610731733653,0.12195284172180004,0.5042908046223193,0.010579413700063118,0,0,0.0,0,0.0,0.0,45.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,C,step_totals,,,,,,,,,,,,,,,,,,,,,88.00000000000001,4.000000000000002,0.04545454545454547,20.0,0.22727272727272724,0.0,0.0,57.0,0.6477272727272726,0.014645844432043895,0.05263157894736842,0.0,0,3,8,27,40,40,38,57,1.0,0.011363636363636362,6.000000000000003,0.0681818181818182,5,30,18
5,C,all_agents,,,40,4,10,26,4,0,0.17108727960898448,0.13731629929986522,0.5017693505992078,0.01144886870844014,19,12,0.3,0,0.0,0.0,31.85,138,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,C,participants_only,,,30,4,0,26,4,0,0.17734395621413213,0.1470648211478661,0.5007388719851277,0.011707034462043422,19,12,0.4,0,0.0,0.0,25.8,138,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,C,nonparticipants_only,,,10,0,10,0,0,0,0.1523172497935415,0.12134307751319104,0.5017693505992078,0.01020461942193347,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,C,step_totals,,,,,,,,,,,,,,,,,,,,,88.00000000000003,3.600000000000002,0.040909090909090916,20.0,0.2272727272727272,0.0,0.0,57.0,0.6477272727272725,0.01601888078317926,0.12280701754385964,0.0,0,7,8,28,36,40,38,57,1.5999999999999999,0.018181818181818174,5.8000000000000025,0.06590909090909092,8,29,24
6,C,all_agents,,,40,4,10,26,4,0,0.176190264684672,0.1473603716305843,0.5071118059903673,0.011386342562642638,25,14,0.35,0,0.0,0.0,32.15,163,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,C,participants_only,,,30,4,0,26,4,0,0.18386555176042607,0.158173955678941,0.5071118059903673,0.011662911792864918,25,14,0.4666666666666667,0,0.0,0.0,26.2,163,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,C,nonparticipants_only,,,10,0,10,0,0,0,0.1531644034574097,0.12073636212562508,0.49926050384621173,0.009849714491632945,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,C,step_totals,,,,,,,,,,,,,,,,,,,,,83.70000000000005,3.3000000000000016,0.03942652329749104,20.0,0.2389486260454001,0.0,0.0,52.0,0.6212664277180403,0.0163523561502964,0.11538461538461539,0.0,0,6,5,38,33,40,40,52,2.4,0.02867383512544801,6.000000000000003,0.07168458781362007,12,30,32
7,C,all_agents,,,40,4,10,26,4,0,0.18088779154558254,0.14957956163983352,0.5268273337507526,0.011380471373388655,28,16,0.4,0,0.0,0.0,32.4,183,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,C,participants_only,,,30,4,0,26,4,0,0.18984926352122997,0.16402800200133905,0.5268273337507526,0.011682262595210779,28,16,0.5333333333333333,0,0.0,0.0,26.533333333333335,183,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,C,nonparticipants_only,,,10,0,10,0,0,0,0.1540033756186402,0.12013268031499695,0.4967642013269807,0.009511401948278512,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,C,step_totals,,,,,,,,,,,,,,,,,,,,,86.30000000000004,0.7,0.00811123986095017,20.0,0.231749710312862,0.0,0.0,57.0,0.6604866743916568,0.014686625108637746,0.05263157894736842,0.0,0,3,20,27,7,40,40,57,2.4,0.02780996523754344,6.200000000000003,0.07184241019698726,12,31,31
8,C,all_agents,,,40,3,10,27,3,0,0.18608600898345615,0.1552906730580368,0.5457542404007225,0.011424506654714596,31,18,0.45,0,0.0,0.0,32.85,209,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,C,participants_only,,,30,3,0,27,3,0,0.19650322851574176,0.17519417215139388,0.5457542404007225,0.011735649604784478,31,18,0.6,0,0.0,0.0,27.133333333333333,209,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,C,nonparticipants_only,,,10,0,10,0,0,0,0.15483435038659935,0.11953201691342197,0.49428038032034577,0.00918885625109896,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
