step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_practice,time_share_practice,time_make,time_share_make,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_observe,count_practice,count_make,count_idle,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
0,B,reachability,0.875,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,all_agents,,,40,0,19,21,0,0,0.1619022347920243,0.1385246914331097,0.5912058301830839,0.011490901399829785,5,5,0.125,0,0.0,0.0,25.7,28,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,participants_only,,,30,0,9,21,0,0,0.15031454479455703,0.12350124182784061,0.5912058301830839,0.011052796167217946,5,5,0.16666666666666666,0,0.0,0.0,24.266666666666666,28,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,nonparticipants_only,,,10,0,10,0,0,0,0.19666530478442618,0.1887078588318021,0.5802469307275154,0.011193922383936461,0,0,0.0,0,0.0,0.0,30.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,step_totals,,,,,,,,,,,,,,,,,,,,,83.99999999999997,4.000000000000002,0.04761904761904766,20.0,0.23809523809523817,60.0,0.7142857142857145,0.0,0.0,0.01877224214069165,0.08333333333333333,0.0,0,5,30,14,40,40,60,35,,,,,,,
2,B,all_agents,,,40,1,13,26,1,0,0.16772734471411863,0.14333770980546834,0.6075575969757606,0.011342534076447185,11,8,0.2,4,1.0,1.0,26.45,56,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,participants_only,,,30,1,3,26,1,0,0.1578778068970145,0.13119346676966132,0.6075575969757606,0.011153732553882972,11,8,0.26666666666666666,4,1.0,1.0,23.6,56,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,nonparticipants_only,,,10,0,10,0,0,0,0.19727595816543092,0.1888922662453903,0.5773456960738779,0.010744777901613054,0,0,0.0,0,0.0,0.0,35.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,step_totals,,,,,,,,,,,,,,,,,,,,,86.6,4.000000000000002,0.046189376443418036,20.0,0.2309468822170901,59.0,0.6812933025404158,0.0,0.0,0.017655926751554946,0.03389830508474576,0.5263157894736845,4,2,24,10,40,40,59,34,2.8000000000000003,0.03233256351039261,0.8,0.009237875288683604,14,4,
3,B,all_agents,,,40,1,11,28,1,0,0.17425661324074104,0.15151229851511372,0.6232552930967302,0.01129056440730857,25,18,0.45,12,1.5,1.0833333333333333,27.825,92,,,,,,,,,,,,,,,,,,,,,,,,,,,
