step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_practice,time_share_practice,time_make,time_share_make,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_missing_asset,reject_time_budget_exceeded,count_observe,count_practice,count_make,count_idle,time_share,time_share_share,time_ask,time_share_ask,count_share,count_ask,reject_insufficient_material
0,A,reachability,0.65,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,all_agents,,,40,0,16,24,0,0,0.166903267042518,0.14310248351244953,0.6505021143668505,0.012561321147853544,5,5,0.125,0,0.0,0.0,25.9,35,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,participants_only,,,30,0,6,24,0,0,0.17090997412921588,0.15463685828617404,0.6505021143668505,0.011944683632199722,5,5,0.16666666666666666,0,0.0,0.0,24.533333333333335,35,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,nonparticipants_only,,,10,0,10,0,0,0,0.1548831457824245,0.12666313641082355,0.6220349607134991,0.014218589274671872,0,0,0.0,0,0.0,0.0,30.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,step_totals,,,,,,,,,,,,,,,,,,,,,83.49999999999999,4.000000000000002,0.0479041916167665,19.5,0.23353293413173656,60.0,0.7185628742514971,0.0,0.0,0.01982683661618299,0.08333333333333333,0.0,0,5,12,30,40,39,60,31,,,,,,,
2,A,all_agents,,,40,1,12,27,1,0,0.17291199222856443,0.14877775576288035,0.6644820297921764,0.01282446450958191,11,9,0.225,2,1.0,1.0,26.85,68,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A,participants_only,,,30,1,2,27,1,0,0.178636876169844,0.1588847765855176,0.6644820297921764,0.012389630094946157,11,9,0.3,2,1.0,1.0,24.133333333333333,68,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A,nonparticipants_only,,,10,0,10,0,0,0,0.15573734040472584,0.12602982072876942,0.6189247859099316,0.013735676199795724,0,0,0.0,0,0.0,0.0,35.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A,step_totals,,,,,,,,,,,,,,,,,,,,,86.3,4.000000000000002,0.046349942062572445,19.5,0.22595596755504058,59.0,0.6836616454229433,0.0,0.0,0.01814158134932878,0.06779661016949153,0.2564102564102565,2,4,12,23,40,39,59,31,0.8,0.009269988412514486,3.0000000000000004,0.034762456546929325,4,15,
3,A,all_agents,,,40,4,10,26,4,0,0.17960217076413396,0.15200201646743564,0.6779027486004894,0.01322813186500604,24,17,0.425,8,1.625,1.375,28.325,109,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,A,participants_only,,,30,4,0,26,4,0,0.18727600155469445,0.1642161987686654,0.6779027486004894,0.012974730242154363,24,17,0.5666666666666667,8,1.625,1.375,24.433333333333334,109,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,A,nonparticipants_only,,,10,0,10,0,0,0,0.1565806783924524,0.12539967162512558,0.615830161980382,0.013281684585535216,0,0,0.0,0,0.0,0.0,40.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,A,step_totals,,,,,,,,,,,,,,,,,,,,,87.3,3.600000000000002,0.041237113402061876,19.5,0.22336769759450173,59.0,0.6758304696449027,0.0,0.0,0.01980278068380888,0.11864406779661017,0.6818181818181822,6,7,11,17,36,39,59,31,1.4,0.016036655211912942,3.800000000000001,0.04352806414662086,7,19,
4,A,all_agents,,,40,4,10,26,4,0,0.18458653239614062,0.15303260048977885,0.6745132348574869,0.01332103402683111,39,24,0.6,19,1.894736842105263,1.4210526315789473,30.225,134,,,,,,,,,,,,,,,,,,,,,,,,,,,
