step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_practice,time_share_practice,time_make,time_share_make,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_missing_asset,reject_time_budget_exceeded,count_observe,count_practice,count_make,count_idle,time_share,time_share_share,time_ask,time_share_ask,count_share,count_ask,reject_insufficient_material
0,B,reachability,0.625,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,all_agents,,,40,0,16,24,0,0,0.166903267042518,0.14310248351244953,0.6505021143668505,0.012561321147853544,5,5,0.125,0,0.0,0.0,25.9,35,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,participants_only,,,30,0,6,24,0,0,0.17090997412921588,0.15463685828617404,0.6505021143668505,0.011944683632199722,5,5,0.16666666666666666,0,0.0,0.0,24.533333333333335,35,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,nonparticipants_only,,,10,0,10,0,0,0,0.1548831457824245,0.12666313641082355,0.6220349607134991,0.014218589274671872,0,0,0.0,0,0.0,0.0,30.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,step_totals,,,,,,,,,,,,,,,,,,,,,83.49999999999999,4.000000000000002,0.0479041916167665,19.5,0.23353293413173656,60.0,0.7185628742514971,0.0,0.0,0.01982683661618299,0.08333333333333333,0.0,0,5,12,30,40,39,60,31,,,,,,,
2,B,all_agents,,,40,0,11,29,0,0,0.17299907181895888,0.14877775576288035,0.6644820297921764,0.012863274773820236,10,9,0.225,2,1.0,1.0,26.85,69,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,participants_only,,,30,0,1,29,0,0,0.17875298229036993,0.15627307458491263,0.6644820297921764,0.01244004435564302,10,9,0.3,2,1.0,1.0,24.133333333333333,69,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,nonparticipants_only,,,10,0,10,0,0,0,0.15573734040472584,0.12602982072876942,0.6189247859099316,0.013735676199795724,0,0,0.0,0,0.0,0.0,35.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,step_totals,,,,,,,,,,,,,,,,,,,,,87.10000000000001,4.000000000000002,0.04592422502870266,19.5,0.22388059701492535,59.0,0.6773823191733639,0.0,0.0,0.018214897498757078,0.05084745762711865,0.23255813953488388,2,3,12,19,40,39,59,31,0.8,0.009184845005740528,3.800000000000001,0.043628013777267514,4,19,
3,B,all_agents,,,40,2,11,27,2,0,0.17896307346598384,0.1526243668533895,0.6779027486004894,0.013301929237747534,20,15,0.375,6,1.6666666666666667,1.1666666666666667,28.325,103,,,,,,,,,,,,,,,,,,,,,,,,,,,
