step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_practice,time_share_practice,time_make,time_share_make,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_missing_asset,reject_time_budget_exceeded,count_observe,count_practice,count_make,count_idle,time_share,time_share_share,time_ask,time_share_ask,count_share,count_ask,reject_insufficient_material
0,C,reachability,0.65,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,all_agents,,,40,0,16,24,0,0,0.166903267042518,0.14310248351244953,0.6505021143668505,0.012561321147853544,5,5,0.125,0,0.0,0.0,25.9,35,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,participants_only,,,30,0,6,24,0,0,0.17090997412921588,0.15463685828617404,0.6505021143668505,0.011944683632199722,5,5,0.16666666666666666,0,0.0,0.0,24.533333333333335,35,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,nonparticipants_only,,,10,0,10,0,0,0,0.1548831457824245,0.12666313641082355,0.6220349607134991,0.014218589274671872,0,0,0.0,0,0.0,0.0,30.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,step_totals,,,,,,,,,,,,,,,,,,,,,83.49999999999999,4.000000000000002,0.0479041916167665,19.5,0.23353293413173656,60.0,0.7185628742514971,0.0,0.0,0.01982683661618299,0.08333333333333333,0.0,0,5,12,30,40,39,60,31,,,,,,,
2,C,all_agents,,,40,1,12,27,1,0,0.17291199222856443,0.14877775576288035,0.6644820297921764,0.01282446450958191,9,7,0.175,0,0.0,0.0,26.85,68,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,participants_only,,,30,1,2,27,1,0,0.178636876169844,0.1588847765855176,0.6644820297921764,0.012389630094946157,9,7,0.23333333333333334,0,0.0,0.0,24.133333333333333,68,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,nonparticipants_only,,,10,0,10,0,0,0,0.15573734040472584,0.12602982072876942,0.6189247859099316,0.013735676199795724,0,0,0.0,0,0.0,0.0,35.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,step_totals,,,,,,,,,,,,,,,,,,,,,86.3,4.000000000000002,0.046349942062572445,19.5,0.22595596755504058,59.0,0.6836616454229433,0.0,0.0,0.01814158134932878,0.06779661016949153,0.0,0,4,12,23,40,39,59,31,0.8,0.009269988412514486,3.0000000000000004,0.034762456546929325,4,15,
3,C,all_agents,,,40,4,10,26,4,0,0.17903196133576535,0.14803386698406595,0.6779027486004894,0.013324909906194017,15,11,0.275,0,0.0,0.0,28.325,104,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,C,participants_only,,,30,4,0,26,4,0,0.18651572231686966,0.15809035270259003,0.6779027486004894,0.01311529163272442,15,11,0.36666666666666664,0,0.0,0.0,24.433333333333334,104,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,C,nonparticipants_only,,,10,0,10,0,0,0,0.1565806783924524,0.12539967162512558,0.615830161980382,0.013281684585535216,0,0,0.0,0,0.0,0.0,40.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
