step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_practice,time_share_practice,time_make,time_share_make,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_missing_asset,reject_time_budget_exceeded,count_observe,count_practice,count_make,count_idle,time_share,time_share_share,time_ask,time_share_ask,count_share,count_ask,reject_insufficient_material
0,D,reachability,0.625,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,all_agents,,,40,0,16,24,0,0,0.166903267042518,0.14310248351244953,0.6505021143668505,0.012561321147853544,5,5,0.125,0,0.0,0.0,25.9,35,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,participants_only,,,30,0,6,24,0,0,0.17090997412921588,0.15463685828617404,0.6505021143668505,0.011944683632199722,5,5,0.16666666666666666,0,0.0,0.0,24.533333333333335,35,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,nonparticipants_only,,,10,0,10,0,0,0,0.1548831457824245,0.12666313641082355,0.6220349607134991,0.014218589274671872,0,0,0.0,0,0.0,0.0,30.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,step_totals,,,,,,,,,,,,,,,,,,,,,83.49999999999999,4.000000000000002,0.0479041916167665,19.5,0.23353293413173656,60.0,0.7185628742514971,0.0,0.0,0.01982683661618299,0.08333333333333333,0.0,0,5,12,30,40,39,60,31,,,,,,,
2,D,all_agents,,,40,0,11,29,0,0,0.17299907181895888,0.14877775576288035,0.6644820297921764,0.012863274773820236,8,7,0.175,0,0.0,0.0,26.85,69,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D,participants_only,,,30,0,1,29,0,0,0.17875298229036993,0.15627307458491263,0.6644820297921764,0.01244004435564302,8,7,0.23333333333333334,0,0.0,0.0,24.133333333333333,69,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D,nonparticipants_only,,,10,0,10,0,0,0,0.15573734040472584,0.12602982072876942,0.6189247859099316,0.013735676199795724,0,0,0.0,0,0.0,0.0,35.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D,step_totals,,,,,,,,,,,,,,,,,,,,,87.10000000000001,4.000000000000002,0.04592422502870266,19.5,0.22388059701492535,59.0,0.6773823191733639,0.0,0.0,0.018214897498757078,0.05084745762711865,0.0,0,3,12,19,40,39,59,31,0.8,0.009184845005740528,3.800000000000001,0.043628013777267514,4,19,
3,D,all_agents,,,40,2,10,28,2,0,0.1791334484356492,0.1511170079943468,0.6779027486004894,0.013226549336782314,12,11,0.275,0,0.0,0.0,28.325,104,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,D,participants_only,,,30,2,0,28,2,0,0.18665103845004813,0.16016335328657974,0.6779027486004894,0.012982114282032987,12,11,0.36666666666666664,0,0.0,0.0,24.433333333333334,104,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,D,nonparticipants_only,,,10,0,10,0,0,0,0.1565806783924524,0.12539967162512558,0.615830161980382,0.013281684585535216,0,0,0.0,0,0.0,0.0,40.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,D,step_totals,,,,,,,,,,,,,,,,,,,,,87.60000000000001,3.800000000000002,0.04337899543378997,20.0,0.228310502283105,59.0,0.6735159817351597,0.0,0.0,0.018209960964970212,0.06779661016949153,0.0,0,4,12,18,38,40,59,32,1.0,0.01141552511415525,3.800000000000001,0.043378995433789966,5,19,
4,D,all_agents,,,40,2,10,28,2,0,0.1845534606812778,0.15715782420068264,0.6745132348574869,0.013239456555081703,21,17,0.425,0,0.0,0.0,30.15,132,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,D,participants_only,,,30,2,0,28,2,0,0.19359981741459112,0.1740246416242039,0.6745132348574869,0.013041432739292645,21,17,0.5666666666666667,0,0.0,0.0,25.2,132,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,D,nonparticipants_only,,,10,0,10,0,0,0,0.1574143904813377,0.12477267326699995,0.61275101117048,0.01285148916069251,0,0,0.0,0,0.0,0.0,45.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,D,step_totals,,,,,,,,,,,,,,,,,,,,,86.80000000000001,4.000000000000002,0.046082949308755776,20.0,0.23041474654377878,55.0,0.6336405529953916,0.0,0.0,0.016611982683699397,0.16363636363636364,0.0,0,9,27,6,40,40,55,39,1.9999999999999998,0.023041474654377874,5.8000000000000025,0.06682027649769587,10,29,21
