step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_practice,time_share_practice,time_observe,time_share_observe,time_idle,time_share_idle,time_make,time_share_make,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_practice,count_observe,count_idle,count_make,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
0,B,reachability,0.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,all_agents,,,40,0,19,21,0,0,0.16698212484732203,0.14201494622033778,0.4692302811419631,0.010964964504836286,7,7,0.175,0,0.0,0.0,25.85,26,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,participants_only,,,30,0,9,21,0,0,0.16602227577380255,0.1524245932003408,0.4692302811419631,0.010308296971887189,7,7,0.23333333333333334,0,0.0,0.0,24.466666666666665,26,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,nonparticipants_only,,,10,0,10,0,0,0,0.16986167206788033,0.12460603654725383,0.46010645567195807,0.012923911380756346,0,0,0.0,0,0.0,0.0,30.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,step_totals,,,,,,,,,,,,,,,,,,,,,84.39999999999998,19.5,0.23104265402843607,3.900000000000002,0.046208530805687244,0.0,0.0,61.0,0.722748815165877,0.017840860586562295,0.11475409836065574,0.0,0,7,30,14,39,39,34,61,,,,,,,
2,B,all_agents,,,40,2,13,25,2,0,0.17386484156126306,0.14832793061442917,0.46688412973625326,0.010944138736216856,19,15,0.375,5,1.0,1.0,26.7,65,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,participants_only,,,30,2,3,25,2,0,0.17494659635801305,0.15804912946334637,0.46688412973625326,0.01042356317452353,19,15,0.5,5,1.0,1.0,23.933333333333334,65,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,nonparticipants_only,,,10,0,10,0,0,0,0.17061957717101306,0.12398300636451756,0.45780592339359827,0.012491823100013334,0,0,0.0,0,0.0,0.0,35.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,step_totals,,,,,,,,,,,,,,,,,,,,,88.39999999999999,19.5,0.22058823529411767,3.900000000000002,0.04411764705882356,0.0,0.0,61.0,0.6900452488687784,0.020220562573424493,0.11475409836065574,0.6329113924050637,5,7,22,13,39,39,34,61,2.8000000000000003,0.031674208144796386,1.2,0.013574660633484163,14,6,
3,B,all_agents,,,40,2,12,26,2,0,0.17963475158819575,0.1538944831336102,0.48500680889498,0.0110356359151472,39,24,0.6,16,1.3125,1.125,28.175,95,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,B,participants_only,,,30,2,2,26,2,0,0.1823905976950754,0.16266780982577134,0.48500680889498,0.010654632759738143,39,24,0.8,16,1.3125,1.125,24.233333333333334,95,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,B,nonparticipants_only,,,10,0,10,0,0,0,0.17136721326755674,0.126725278903799,0.4555168937766303,0.012087509128196724,0,0,0.0,0,0.0,0.0,40.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,B,step_totals,,,,,,,,,,,,,,,,,,,,,89.40000000000002,19.5,0.21812080536912748,3.900000000000002,0.04362416107382552,0.0,0.0,60.0,0.6711409395973152,0.017003794572738738,0.15,1.111111111111112,11,9,15,13,39,39,34,60,3.0000000000000004,0.03355704697986577,3.0000000000000004,0.03355704697986577,15,15,
4,B,all_agents,,,40,3,12,25,3,0,0.18515385744038002,0.15731890183310954,0.4825817748505051,0.011211000330525129,58,30,0.75,30,1.8666666666666667,1.3333333333333333,30.25,126,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,B,participants_only,,,30,3,2,25,3,0,0.18950319800895568,0.1681671215735968,0.4825817748505051,0.010970399175816277,58,30,1.0,30,1.8666666666666667,1.3333333333333333,25.333333333333332,126,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,B,nonparticipants_only,,,10,0,10,0,0,0,0.1721058357346529,0.12609165250928,0.45323930930774714,0.011705802634074185,0,0,0.0,0,0.0,0.0,45.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,B,step_totals,,,,,,,,,,,,,,,,,,,,,84.80000000000004,20.0,0.23584905660377348,4.000000000000002,0.04716981132075471,0.0,0.0,52.0,0.6132075471698111,0.017294791746711974,0.09615384615384616,1.0937500000000016,14,5,5,24,40,40,39,52,4.000000000000001,0.047169811320754707,4.800000000000002,0.056603773584905655,20,24,21
5,B,all_agents,,,40,6,10,24,6,0,0.19027059541648972,0.16140315417951112,0.48740473869643547,0.011514137858033985,69,30,0.75,38,2.1315789473684212,1.3157894736842106,32.5,155,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,B,participants_only,,,30,6,0,24,6,0,0.19608183444914828,0.17132335408420585,0.48740473869643547,0.01143679041519026,69,30,1.0,38,2.1315789473684212,1.3157894736842106,26.666666666666668,155,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,B,nonparticipants_only,,,10,0,10,0,0,0,0.17283687831851394,0.1254611942467336,0.4509731127612084,0.011340934197428822,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,B,step_totals,,,,,,,,,,,,,,,,,,,,,84.90000000000005,20.0,0.2355712603062425,3.900000000000002,0.045936395759717315,0.0,0.0,51.0,0.6007067137809183,0.01616288531369815,0.058823529411764705,0.5755395683453246,8,3,,23,40,39,40,51,4.000000000000001,0.04711425206124851,6.000000000000003,0.07067137809187278,20,30,25
6,B,all_agents,,,40,8,10,22,8,0,0.19483426990431849,0.1667632491165823,0.5079085491485781,0.011800908644929754,79,30,0.75,45,2.4444444444444446,1.4666666666666666,33.0,180,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,B,participants_only,,,30,8,0,22,8,0,0.20192593523253666,0.17723809503087362,0.5079085491485781,0.011867721799006822,79,30,1.0,45,2.4444444444444446,1.4666666666666666,27.333333333333332,180,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,B,nonparticipants_only,,,10,0,10,0,0,0,0.1735592739196639,0.12483388827549993,0.44871824719740233,0.010996968577169128,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,B,step_totals,,,,,,,,,,,,,,,,,,,,,82.60000000000008,19.5,0.23607748184019348,2.700000000000001,0.03268765133171911,0.0,0.0,49.0,0.5932203389830503,0.015050570727343395,0.061224489795918366,0.4964539007092206,7,3,5,31,39,27,39,49,5.400000000000002,0.06537530266343822,6.000000000000003,0.07263922518159803,27,30,28
7,B,all_agents,,,40,8,10,22,8,0,0.19978900593585294,0.1691492740297252,0.5128294636570923,0.01221458839833021,85,30,0.75,46,2.5217391304347827,1.4565217391304348,33.225,207,,,,,,,,,,,,,,,,,,,,,,,,,,,
