step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_practice,time_share_practice,time_observe,time_share_observe,time_idle,time_share_idle,time_make,time_share_make,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_practice,count_observe,count_idle,count_make,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
0,C,reachability,0.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,all_agents,,,40,0,19,21,0,0,0.16698212484732203,0.14201494622033778,0.4692302811419631,0.010964964504836286,7,7,0.175,0,0.0,0.0,25.85,26,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,participants_only,,,30,0,9,21,0,0,0.16602227577380255,0.1524245932003408,0.4692302811419631,0.010308296971887189,7,7,0.23333333333333334,0,0.0,0.0,24.466666666666665,26,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,nonparticipants_only,,,10,0,10,0,0,0,0.16986167206788033,0.12460603654725383,0.46010645567195807,0.012923911380756346,0,0,0.0,0,0.0,0.0,30.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,step_totals,,,,,,,,,,,,,,,,,,,,,84.39999999999998,19.5,0.23104265402843607,3.900000000000002,0.046208530805687244,0.0,0.0,61.0,0.722748815165877,0.017840860586562295,0.11475409836065574,0.0,0,7,30,14,39,39,34,61,,,,,,,
2,C,all_agents,,,40,2,11,27,2,0,0.1738242431662202,0.14691907337579307,0.46688412973625326,0.010852417345944429,14,12,0.3,0,0.0,0.0,26.7,64,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,participants_only,,,30,2,1,27,2,0,0.1748924651646226,0.15804912946334637,0.46688412973625326,0.010301384368303312,14,12,0.4,0,0.0,0.0,23.933333333333334,64,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,nonparticipants_only,,,10,0,10,0,0,0,0.17061957717101306,0.12398300636451756,0.45780592339359827,0.012491823100013334,0,0,0.0,0,0.0,0.0,35.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,step_totals,,,,,,,,,,,,,,,,,,,,,88.8,19.5,0.2195945945945946,3.900000000000002,0.04391891891891894,0.0,0.0,61.0,0.6869369369369369,0.02001975356622113,0.11475409836065574,0.0,0,7,20,13,39,39,34,61,3.2000000000000006,0.03603603603603604,1.2,0.013513513513513514,16,6,
3,C,all_agents,,,40,2,11,27,2,0,0.17994593340605644,0.15246111057123393,0.48500680889498,0.010919193666041861,21,14,0.35,0,0.0,0.0,28.15,97,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,C,participants_only,,,30,2,1,27,2,0,0.18280550678555632,0.16266780982577134,0.48500680889498,0.01049704653900593,21,14,0.4666666666666667,0,0.0,0.0,24.2,97,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,C,nonparticipants_only,,,10,0,10,0,0,0,0.17136721326755674,0.126725278903799,0.4555168937766303,0.012087509128196724,0,0,0.0,0,0.0,0.0,40.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,C,step_totals,,,,,,,,,,,,,,,,,,,,,88.80000000000001,19.5,0.21959459459459457,3.900000000000002,0.043918918918918935,0.0,0.0,60.0,0.6756756756756755,0.018057850098447004,0.11666666666666667,0.0,0,7,17,12,39,39,33,60,3.400000000000001,0.03828828828828829,1.9999999999999998,0.022522522522522518,17,10,
4,C,all_agents,,,40,2,11,27,2,0,0.1853760376216219,0.1612061838379658,0.4825817748505051,0.011111068485160382,25,17,0.425,0,0.0,0.0,30.1,126,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,C,participants_only,,,30,2,1,27,2,0,0.18979943825061155,0.16829432980953718,0.4825817748505051,0.010834557876357597,25,17,0.5666666666666667,0,0.0,0.0,25.133333333333333,126,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,C,nonparticipants_only,,,10,0,10,0,0,0,0.1721058357346529,0.12609165250928,0.45323930930774714,0.011705802634074185,0,0,0.0,0,0.0,0.0,45.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,C,step_totals,,,,,,,,,,,,,,,,,,,,,88.00000000000001,20.0,0.22727272727272724,4.000000000000002,0.04545454545454547,0.0,0.0,56.0,0.6363636363636362,0.016421509785064035,0.07142857142857142,0.0,0,4,4,27,40,40,40,56,5.200000000000002,0.059090909090909104,2.8000000000000003,0.031818181818181815,26,14,23
