step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_practice,time_share_practice,time_observe,time_share_observe,time_idle,time_share_idle,time_make,time_share_make,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_practice,count_observe,count_idle,count_make,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
0,D,reachability,0.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,all_agents,,,40,0,19,21,0,0,0.16698212484732203,0.14201494622033778,0.4692302811419631,0.010964964504836286,7,7,0.175,0,0.0,0.0,25.85,26,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,participants_only,,,30,0,9,21,0,0,0.16602227577380255,0.1524245932003408,0.4692302811419631,0.010308296971887189,7,7,0.23333333333333334,0,0.0,0.0,24.466666666666665,26,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,nonparticipants_only,,,10,0,10,0,0,0,0.16986167206788033,0.12460603654725383,0.46010645567195807,0.012923911380756346,0,0,0.0,0,0.0,0.0,30.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,step_totals,,,,,,,,,,,,,,,,,,,,,84.39999999999998,19.5,0.23104265402843607,3.900000000000002,0.046208530805687244,0.0,0.0,61.0,0.722748815165877,0.017840860586562295,0.11475409836065574,0.0,0,7,30,14,39,39,34,61,,,,,,,
2,D,all_agents,,,40,2,13,25,2,0,0.17386484156126306,0.14832793061442917,0.46688412973625326,0.010944138736216856,14,11,0.275,0,0.0,0.0,26.7,65,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D,participants_only,,,30,2,3,25,2,0,0.17494659635801305,0.15804912946334637,0.46688412973625326,0.01042356317452353,14,11,0.36666666666666664,0,0.0,0.0,23.933333333333334,65,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D,nonparticipants_only,,,10,0,10,0,0,0,0.17061957717101306,0.12398300636451756,0.45780592339359827,0.012491823100013334,0,0,0.0,0,0.0,0.0,35.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D,step_totals,,,,,,,,,,,,,,,,,,,,,88.39999999999999,19.5,0.22058823529411767,3.900000000000002,0.04411764705882356,0.0,0.0,61.0,0.6900452488687784,0.020220562573424493,0.11475409836065574,0.0,0,7,22,13,39,39,34,61,2.8000000000000003,0.031674208144796386,1.2,0.013574660633484163,14,6,
3,D,all_agents,,,40,2,10,28,2,0,0.18030590579674838,0.1551594010720583,0.48500680889498,0.010992994162827443,16,13,0.325,0,0.0,0.0,28.175,101,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,D,participants_only,,,30,2,0,28,2,0,0.1832854699731456,0.16302937216687574,0.48500680889498,0.010592644630312604,16,13,0.43333333333333335,0,0.0,0.0,24.233333333333334,101,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,D,nonparticipants_only,,,10,0,10,0,0,0,0.17136721326755674,0.126725278903799,0.4555168937766303,0.012087509128196724,0,0,0.0,0,0.0,0.0,40.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,D,step_totals,,,,,,,,,,,,,,,,,,,,,88.60000000000001,19.5,0.22009029345372458,3.900000000000002,0.04401805869074494,0.0,0.0,60.0,0.6772009029345372,0.018975352650738995,0.03333333333333333,0.0,0,2,19,13,39,39,34,60,3.0000000000000004,0.033860045146726865,2.1999999999999997,0.02483069977426636,15,11,
4,D,all_agents,,,40,3,10,27,3,0,0.18580022852346184,0.15814988590473156,0.4825817748505051,0.011139842257384366,20,15,0.375,0,0.0,0.0,30.0,130,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,D,participants_only,,,30,3,0,27,3,0,0.19036502611973147,0.1708376778185374,0.4825817748505051,0.010867839290108124,20,15,0.5,0,0.0,0.0,25.0,130,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,D,nonparticipants_only,,,10,0,10,0,0,0,0.1721058357346529,0.12609165250928,0.45323930930774714,0.011705802634074185,0,0,0.0,0,0.0,0.0,45.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,D,step_totals,,,,,,,,,,,,,,,,,,,,,88.80000000000001,20.0,0.2252252252252252,4.000000000000002,0.04504504504504506,0.0,0.0,57.0,0.6418918918918918,0.0164340596497602,0.07017543859649122,0.0,0,4,5,24,40,40,39,57,5.200000000000002,0.05855855855855857,2.6,0.029279279279279275,26,13,22
5,D,all_agents,,,40,5,10,25,5,0,0.19146133326117631,0.16642846159190655,0.48740473869643547,0.011419302083647448,23,16,0.4,0,0.0,0.0,31.95,162,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,D,participants_only,,,30,5,0,25,5,0,0.19766948490873043,0.17618081381071263,0.48740473869643547,0.011291260124870871,23,16,0.5333333333333333,0,0.0,0.0,25.933333333333334,162,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,D,nonparticipants_only,,,10,0,10,0,0,0,0.17283687831851394,0.1254611942467336,0.4509731127612084,0.011340934197428822,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,D,step_totals,,,,,,,,,,,,,,,,,,,,,88.70000000000003,20.0,0.22547914317925585,3.900000000000002,0.04396843291995491,0.0,0.0,57.0,0.6426155580608791,0.016900268593322127,0.05263157894736842,0.0,0,3,5,27,40,39,40,57,4.800000000000002,0.05411499436302142,3.0000000000000004,0.03382187147688838,24,15,26
6,D,all_agents,,,40,7,10,23,7,0,0.19611295673718612,0.16632614867428047,0.5079085491485781,0.011795083523118425,30,16,0.4,0,0.0,0.0,32.425,188,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,D,participants_only,,,30,7,0,23,7,0,0.20363085100969355,0.17861676927499093,0.5079085491485781,0.011835046901264457,30,16,0.5333333333333333,0,0.0,0.0,26.566666666666666,188,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,D,nonparticipants_only,,,10,0,10,0,0,0,0.1735592739196639,0.12483388827549993,0.44871824719740233,0.010996968577169128,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,D,step_totals,,,,,,,,,,,,,,,,,,,,,82.30000000000007,19.5,0.23693803159173735,2.600000000000001,0.03159173754556499,0.0,0.0,51.0,0.6196840826245439,0.015355761551453009,0.13725490196078433,0.0,0,7,10,32,39,26,39,51,6.000000000000003,0.0729040097205346,3.2000000000000006,0.038882138517618445,30,16,30
7,D,all_agents,,,40,8,10,22,8,0,0.20122755514418042,0.17063286543994938,0.527592207182635,0.012202803579037422,35,19,0.475,0,0.0,0.0,32.625,216,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,D,participants_only,,,30,8,0,22,8,0,0.2102119998753651,0.18613646158106537,0.527592207182635,0.012391147970676789,35,19,0.6333333333333333,0,0.0,0.0,26.833333333333332,216,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,D,nonparticipants_only,,,10,0,10,0,0,0,0.17427422095062642,0.12420971883412243,0.44647465596141533,0.01066912743858678,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,D,step_totals,,,,,,,,,,,,,,,,,,,,,89.40000000000005,20.0,0.22371364653243836,0.9999999999999999,0.011185682326621916,0.0,0.0,59.0,0.6599552572706932,0.015307134276326477,0.0847457627118644,0.0,0,5,15,28,40,10,40,59,6.200000000000003,0.06935123042505592,3.2000000000000006,0.03579418344519014,31,16,29
8,D,all_agents,,,40,8,10,22,8,0,0.20585904433972707,0.17322335819686197,0.5464885188953296,0.012607244711974911,38,19,0.475,0,0.0,0.0,32.975,241,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,D,participants_only,,,30,8,0,22,8,0,0.2161513138432478,0.19014568995069406,0.5464885188953296,0.01293415260983353,38,19,0.6333333333333333,0,0.0,0.0,27.3,241,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,D,nonparticipants_only,,,10,0,10,0,0,0,0.1749822358291649,0.12440852743367929,0.44424228268160826,0.010355351280001824,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,D,step_totals,,,,,,,,,,,,,,,,,,,,,87.0000000000001,19.5,0.2241379310344825,0.30000000000000004,0.003448275862068962,0.0,0.0,57.0,0.6551724137931026,0.014468160428776293,0.05263157894736842,0.0,0,3,16,39,39,3,38,57,6.400000000000003,0.07356321839080456,3.800000000000001,0.043678160919540195,32,19,31
9,D,all_agents,,,40,10,10,20,10,0,0.21124775959141207,0.1803673723475554,0.5646289781395164,0.013181222990952993,44,21,0.525,0,0.0,0.0,32.6,274,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,D,participants_only,,,30,10,0,20,10,0,0.22310235187788144,0.19456615800422464,0.5646289781395164,0.013661843690899591,44,21,0.7,0,0.0,0.0,26.8,274,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,D,nonparticipants_only,,,10,0,10,0,0,0,0.17568398273200395,0.12578610296016016,0.4420210712682002,0.01005298459177217,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,D,step_totals,,,,,,,,,,,,,,,,,,,,,88.80000000000007,20.0,0.22522522522522506,0.2,0.0022522522522522505,0.0,0.0,59.0,0.664414414414414,0.016175087582216065,0.1016949152542373,0.0,0,6,15,28,40,2,40,59,6.000000000000003,0.06756756756756754,3.600000000000001,0.04054054054054052,30,18,35
10,D,all_agents,,,40,11,10,19,11,0,0.21634722850724586,0.1851268389963554,0.5820438190139358,0.01387485240843711,50,21,0.525,0,0.0,0.0,32.275,307,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,D,participants_only,,,30,11,0,19,11,0,0.2296699236184624,0.200211632824098,0.5820438190139358,0.014535391407217378,50,21,0.7,0,0.0,0.0,26.366666666666667,307,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,D,nonparticipants_only,,,10,0,10,0,0,0,0.1763791431735963,0.12703323914666598,0.4398109659118592,0.00976330495177912,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,D,step_totals,,,,,,,,,,,,,,,,,,,,,86.30000000000008,19.5,0.22595596755504033,,,0.0,0.0,57.0,0.6604866743916564,0.015858986172247194,0.10526315789473684,0.0,0,6,18,37,39,,38,57,5.8000000000000025,0.06720741599072998,4.000000000000001,0.04634994206257239,29,20,30
10,D,reachability,0.35,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,D,all_agents,,,40,12,10,18,12,0,0.22118165138469884,0.1870325113431706,0.5987620662533784,0.014611911640481609,52,21,0.525,0,0.0,0.0,31.9,337,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,D,participants_only,,,30,12,0,18,12,0,0.23588613476308698,0.20579650124874888,0.5987620662533784,0.015456199050032078,52,21,0.7,0,0.0,0.0,25.866666666666667,337,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,D,nonparticipants_only,,,10,0,10,0,0,0,0.17706820124953446,0.13101061508259826,0.4376119110822999,0.009484387434726687,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,D,step_totals,,,,,,,,,,,,,,,,,,,,,88.70000000000009,20.0,0.2254791431792557,0.1,0.0011273957158962785,0.0,0.0,59.0,0.6651634723788044,0.014668651589112253,0.03389830508474576,0.0,0,2,18,24,40,1,39,59,5.400000000000002,0.06087936865839906,4.200000000000001,0.047350620067643706,27,21,35
12,D,all_agents,,,40,15,10,15,15,0,0.22497766936259306,0.18659088515922895,0.6148115836032432,0.015223052631135766,55,22,0.55,0,0.0,0.0,32.0,361,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,D,participants_only,,,30,15,0,15,15,0,0.24071978556328671,0.20627299611908317,0.6148115836032432,0.016234289689591064,55,22,0.7333333333333333,0,0.0,0.0,26.0,361,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,D,nonparticipants_only,,,10,0,10,0,0,0,0.17775132076051214,0.13108563586683558,0.4354238515268884,0.009215570786056173,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,D,step_totals,,,,,,,,,,,,,,,,,,,,,78.60000000000008,19.5,0.24809160305343486,0.1,0.0012722646310432558,0.0,0.0,48.0,0.6106870229007627,0.013620836844773315,0.0625,0.0,0,3,9,54,39,1,37,48,6.800000000000003,0.08651399491094143,4.200000000000001,0.05343511450381675,34,21,40
13,D,all_agents,,,40,16,10,14,16,0,0.23011255689504312,0.18887397596995253,0.6302191202591134,0.01621947728386161,61,22,0.55,0,0.0,0.0,31.575,398,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,D,participants_only,,,30,16,0,14,16,0,0.24734059400343264,0.21001696126757327,0.6302191202591134,0.01745303898789003,61,22,0.7333333333333333,0,0.0,0.0,25.433333333333334,398,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,D,nonparticipants_only,,,10,0,10,0,0,0,0.1784284455698746,0.13135776889329887,0.433246732269254,0.008957129020479803,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,D,step_totals,,,,,,,,,,,,,,,,,,,,,88.00000000000009,19.5,0.22159090909090887,0.1,0.0011363636363636352,0.0,0.0,59.0,0.6704545454545449,0.015629804227198372,0.1016949152542373,0.0,0,6,19,24,39,1,38,59,5.000000000000002,0.05681818181818178,4.400000000000001,0.04999999999999997,25,22,33
