step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_practice,time_share_practice,time_observe,time_share_observe,time_idle,time_share_idle,time_make,time_share_make,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_practice,count_observe,count_idle,count_make,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
0,A,reachability,0.725,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,all_agents,,,40,0,15,25,0,0,0.1665246128232781,0.13874065638775757,0.7018317074583597,0.014120894711174512,4,4,0.1,0,0.0,0.0,25.65,35,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,participants_only,,,30,0,5,25,0,0,0.16275073416449798,0.13806498804369113,0.5120837102934693,0.011813665217216726,4,4,0.13333333333333333,0,0.0,0.0,24.2,35,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,nonparticipants_only,,,10,0,10,0,0,0,0.1778462487996184,0.1425975812632197,0.7018317074583597,0.020871677271473515,0,0,0.0,0,0.0,0.0,30.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,step_totals,,,,,,,,,,,,,,,,,,,,,83.99999999999997,20.0,0.23809523809523817,4.000000000000002,0.04761904761904766,0.0,0.0,60.0,0.7142857142857145,0.02022517238505584,0.06666666666666667,0.0,0,4,29,14,40,40,33,60,,,,,,,
2,A,all_agents,,,40,1,12,27,1,0,0.17330355807793138,0.1446852373922934,0.6983225489210678,0.014214026325854789,11,10,0.25,4,1.0,1.0,26.3,74,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A,participants_only,,,30,1,2,27,1,0,0.17154742433390682,0.1446852373922934,0.5316003618817305,0.012172634421239071,11,10,0.3333333333333333,4,1.0,1.0,23.4,74,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A,nonparticipants_only,,,10,0,10,0,0,0,0.1785719593100051,0.14188459335690362,0.6983225489210678,0.02030119397097912,0,0,0.0,0,0.0,0.0,35.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A,step_totals,,,,,,,,,,,,,,,,,,,,,88.00000000000001,20.0,0.22727272727272724,4.000000000000002,0.04545454545454547,0.0,0.0,60.0,0.6818181818181817,0.019978935099408023,0.05,0.5000000000000002,4,3,20,12,40,40,32,60,3.400000000000001,0.03863636363636364,0.6000000000000001,0.006818181818181818,17,3,
3,A,all_agents,,,40,3,10,27,3,0,0.17977094137168034,0.14798314465733625,0.6948309361764625,0.014476631867430553,20,16,0.4,8,1.25,1.0,27.625,112,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,A,participants_only,,,30,3,0,27,3,0,0.17993233242184944,0.1489680575216639,0.5503363474064613,0.012714222009415669,20,16,0.5333333333333333,8,1.25,1.0,23.5,112,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,A,nonparticipants_only,,,10,0,10,0,0,0,0.1792867682211731,0.1411751703901191,0.6948309361764625,0.01976354887662231,0,0,0.0,0,0.0,0.0,40.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,A,step_totals,,,,,,,,,,,,,,,,,,,,,88.00000000000001,20.0,0.22727272727272724,4.000000000000002,0.04545454545454547,0.0,0.0,59.0,0.6704545454545453,0.01911589967630383,0.0847457627118644,0.4444444444444448,4,5,16,11,40,40,31,59,3.2000000000000006,0.03636363636363636,1.7999999999999998,0.02045454545454545,16,9,
4,A,all_agents,,,40,3,10,27,3,0,0.18485538902670778,0.16107070016905833,0.6913567814955802,0.014487636642799562,37,28,0.7,20,1.65,1.3,29.775,139,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,A,participants_only,,,30,3,0,27,3,0,0.18647622276316542,0.16237335686397703,0.547584665669429,0.012889781386018893,37,28,0.9333333333333333,20,1.65,1.3,24.7,139,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,A,nonparticipants_only,,,10,0,10,0,0,0,0.17999288781733475,0.14046929453816848,0.6913567814955802,0.01924967718912669,0,0,0.0,0,0.0,0.0,45.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,A,step_totals,,,,,,,,,,,,,,,,,,,,,84.00000000000003,20.0,0.23809523809523803,4.000000000000002,0.04761904761904762,0.0,0.0,51.0,0.607142857142857,0.016306472324613002,0.09803921568627451,0.9230769230769243,12,5,5,27,40,40,38,51,6.000000000000003,0.07142857142857144,3.0000000000000004,0.035714285714285705,30,15,26
5,A,all_agents,,,40,6,10,24,6,0,0.1892871692347607,0.16223802600780726,0.6878999975881023,0.01463137855573747,58,29,0.725,38,2.289473684210526,1.631578947368421,32.375,163,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,A,participants_only,,,30,6,0,24,6,0,0.19215281734989886,0.16331724119524194,0.5470483581349596,0.013222415900847674,58,29,0.9666666666666667,38,2.289473684210526,1.631578947368421,26.5,163,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,A,nonparticipants_only,,,10,0,10,0,0,0,0.18069022488934622,0.13976694806547763,0.6878999975881023,0.01875972325096932,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,A,step_totals,,,,,,,,,,,,,,,,,,,,,79.90000000000006,20.0,0.25031289111389216,3.700000000000002,0.046307884856070076,0.0,0.0,45.0,0.5632040050062573,0.015230208287324364,0.06666666666666667,1.2080536912751698,18,3,2,24,40,37,38,45,5.8000000000000025,0.07259073842302877,5.400000000000002,0.06758448060075091,29,27,28
6,A,all_agents,,,40,8,10,22,8,0,0.19406344016776583,0.16413296875230338,0.6844604976001618,0.014790784165595356,65,30,0.75,43,2.5348837209302326,1.6744186046511629,33.275,191,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,A,participants_only,,,30,8,0,22,8,0,0.19829122975514635,0.17046402477632477,0.5651664238095612,0.013553410562600962,65,30,1.0,43,2.5348837209302326,1.6744186046511629,27.7,191,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,A,nonparticipants_only,,,10,0,10,0,0,0,0.18138007140562434,0.13906811332515023,0.6844604976001618,0.018288414517036576,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,A,step_totals,,,,,,,,,,,,,,,,,,,,,80.10000000000008,20.0,0.2496878901373281,3.1000000000000014,0.03870162297128587,0.0,0.0,45.0,0.5617977528089882,0.016234592377423793,0.044444444444444446,0.33112582781457006,5,2,3,28,40,31,39,45,6.200000000000003,0.07740324594257174,5.8000000000000025,0.07240948813982517,31,29,30
7,A,all_agents,,,40,10,10,20,10,0,0.19941095460378733,0.16886107026113895,0.681038195112161,0.014940665660111475,78,30,0.75,51,2.9019607843137254,1.7254901960784315,33.625,221,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,A,participants_only,,,30,10,0,20,10,0,0.20519375242856025,0.17630944668178578,0.5825597668571787,0.013842136532719557,78,30,1.0,51,2.9019607843137254,1.7254901960784315,28.166666666666668,221,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,A,nonparticipants_only,,,10,0,10,0,0,0,0.1820625611294685,0.1416749264230901,0.681038195112161,0.017834964034100842,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,A,step_totals,,,,,,,,,,,,,,,,,,,,,90.70000000000009,20.0,0.2205071664829105,0.8999999999999999,0.009922822491730971,0.0,0.0,57.0,0.6284454244762949,0.015832579065766964,0.08771929824561403,0.5839416058394168,8,5,4,33,40,9,39,57,6.800000000000003,0.0749724366041896,6.000000000000003,0.06615214994487317,34,30,32
8,A,all_agents,,,40,10,10,20,10,0,0.20431636021294644,0.17224471687169907,0.6776330041366002,0.01517525020851133,81,30,0.75,53,3.056603773584906,1.7169811320754718,34.05,247,,,,,,,,,,,,,,,,,,,,,,,,,,,
