step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_practice,time_share_practice,time_observe,time_share_observe,time_idle,time_share_idle,time_make,time_share_make,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_practice,count_observe,count_idle,count_make,time_share,time_share_share,time_ask,time_share_ask,count_share,count_ask,reject_insufficient_material
0,B,reachability,0.675,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,all_agents,,,40,0,15,25,0,0,0.1665246128232781,0.13874065638775757,0.7018317074583597,0.014120894711174512,4,4,0.1,0,0.0,0.0,25.65,35,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,participants_only,,,30,0,5,25,0,0,0.16275073416449798,0.13806498804369113,0.5120837102934693,0.011813665217216726,4,4,0.13333333333333333,0,0.0,0.0,24.2,35,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,nonparticipants_only,,,10,0,10,0,0,0,0.1778462487996184,0.1425975812632197,0.7018317074583597,0.020871677271473515,0,0,0.0,0,0.0,0.0,30.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,step_totals,,,,,,,,,,,,,,,,,,,,,83.99999999999997,20.0,0.23809523809523817,4.000000000000002,0.04761904761904766,0.0,0.0,60.0,0.7142857142857145,0.02022517238505584,0.06666666666666667,0.0,0,4,29,14,40,40,33,60,,,,,,,
2,B,all_agents,,,40,2,11,27,2,0,0.17259399971219042,0.1400341485403413,0.6983225489210678,0.014190126486821964,8,8,0.2,3,1.0,1.0,26.3,67,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,participants_only,,,30,2,1,27,2,0,0.17060134651291886,0.1400341485403413,0.5316003618817305,0.012137221325012644,8,8,0.26666666666666666,3,1.0,1.0,23.4,67,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,nonparticipants_only,,,10,0,10,0,0,0,0.1785719593100051,0.14188459335690362,0.6983225489210678,0.02030119397097912,0,0,0.0,0,0.0,0.0,35.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,step_totals,,,,,,,,,,,,,,,,,,,,,87.8,20.0,0.22779043280182232,4.000000000000002,0.04555808656036449,0.0,0.0,60.0,0.683371298405467,0.018084877915376715,0.016666666666666666,0.3846153846153848,3,1,20,12,40,40,32,60,0.6000000000000001,0.006833712984054671,3.2000000000000006,0.03644646924829158,3,16,
3,B,all_agents,,,40,3,10,27,3,0,0.17933130434036954,0.14798314465733625,0.6948309361764625,0.014426723002833432,20,14,0.35,8,1.5,1.25,27.6,107,,,,,,,,,,,,,,,,,,,,,,,,,,,
