step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_practice,time_share_practice,time_observe,time_share_observe,time_idle,time_share_idle,time_make,time_share_make,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_practice,count_observe,count_idle,count_make,time_share,time_share_share,time_ask,time_share_ask,count_share,count_ask,reject_insufficient_material
0,D,reachability,0.675,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,all_agents,,,40,0,15,25,0,0,0.1665246128232781,0.13874065638775757,0.7018317074583597,0.014120894711174512,4,4,0.1,0,0.0,0.0,25.65,35,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,participants_only,,,30,0,5,25,0,0,0.16275073416449798,0.13806498804369113,0.5120837102934693,0.011813665217216726,4,4,0.13333333333333333,0,0.0,0.0,24.2,35,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,nonparticipants_only,,,10,0,10,0,0,0,0.1778462487996184,0.1425975812632197,0.7018317074583597,0.020871677271473515,0,0,0.0,0,0.0,0.0,30.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,step_totals,,,,,,,,,,,,,,,,,,,,,83.99999999999997,20.0,0.23809523809523817,4.000000000000002,0.04761904761904766,0.0,0.0,60.0,0.7142857142857145,0.02022517238505584,0.06666666666666667,0.0,0,4,29,14,40,40,33,60,,,,,,,
2,D,all_agents,,,40,2,11,27,2,0,0.17259399971219042,0.1400341485403413,0.6983225489210678,0.014190126486821964,5,5,0.125,0,0.0,0.0,26.3,67,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D,participants_only,,,30,2,1,27,2,0,0.17060134651291886,0.1400341485403413,0.5316003618817305,0.012137221325012644,5,5,0.16666666666666666,0,0.0,0.0,23.4,67,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D,nonparticipants_only,,,10,0,10,0,0,0,0.1785719593100051,0.14188459335690362,0.6983225489210678,0.02030119397097912,0,0,0.0,0,0.0,0.0,35.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D,step_totals,,,,,,,,,,,,,,,,,,,,,87.8,20.0,0.22779043280182232,4.000000000000002,0.04555808656036449,0.0,0.0,60.0,0.683371298405467,0.018084877915376715,0.016666666666666666,0.0,0,1,20,12,40,40,32,60,0.6000000000000001,0.006833712984054671,3.2000000000000006,0.03644646924829158,3,16,
3,D,all_agents,,,40,3,10,27,3,0,0.17864050962414033,0.14694112381751895,0.6948309361764625,0.014368030142763295,9,8,0.2,0,0.0,0.0,27.6,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,D,participants_only,,,30,3,0,27,3,0,0.17842509009179605,0.1471531557960889,0.5503363474064613,0.012569338275843962,9,8,0.26666666666666666,0,0.0,0.0,23.466666666666665,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,D,nonparticipants_only,,,10,0,10,0,0,0,0.1792867682211731,0.1411751703901191,0.6948309361764625,0.01976354887662231,0,0,0.0,0,0.0,0.0,40.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,D,step_totals,,,,,,,,,,,,,,,,,,,,,88.6,20.0,0.22573363431151244,4.000000000000002,0.045146726862302505,0.0,0.0,60.0,0.6772009029345373,0.017846383294390034,0.06666666666666667,0.0,0,4,17,11,40,40,31,60,0.8,0.009029345372460498,3.800000000000001,0.04288939051918737,4,19,
4,D,all_agents,,,40,4,10,26,4,0,0.18382995886608194,0.15276280807405826,0.6913567814955802,0.014213232405827869,16,14,0.35,0,0.0,0.0,29.475,125,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,D,participants_only,,,30,4,0,26,4,0,0.18510898254899766,0.15699208151367589,0.547584665669429,0.012527873871735758,16,14,0.4666666666666667,0,0.0,0.0,24.3,125,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,D,nonparticipants_only,,,10,0,10,0,0,0,0.17999288781733475,0.14046929453816848,0.6913567814955802,0.01924967718912669,0,0,0.0,0,0.0,0.0,45.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,D,step_totals,,,,,,,,,,,,,,,,,,,,,87.80000000000003,20.0,0.22779043280182226,4.000000000000002,0.045558086560364475,0.0,0.0,56.0,0.6378132118451023,0.015856824220103212,0.125,0.0,0,7,5,33,40,40,38,56,1.4,0.015945330296127557,6.400000000000003,0.07289293849658315,7,32,26
