step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_practice,time_share_practice,time_observe,time_share_observe,time_make,time_share_make,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_practice,count_observe,count_make,count_idle,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
0,A,reachability,0.675,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,all_agents,,,40,0,17,23,0,0,0.16691752288677997,0.1363323920490882,0.6272793414086859,0.014464172452361089,4,4,0.1,0,0.0,0.0,25.9,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,participants_only,,,30,0,7,23,0,0,0.1610748495975265,0.13563931730460949,0.54363650256378,0.013352490864488439,4,4,0.13333333333333333,0,0.0,0.0,24.533333333333335,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,nonparticipants_only,,,10,0,10,0,0,0,0.18444554275454036,0.13836750657158628,0.6272793414086859,0.017389575241999564,0,0,0.0,0,0.0,0.0,30.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,step_totals,,,,,,,,,,,,,,,,,,,,,83.99999999999997,20.0,0.23809523809523817,4.000000000000002,0.04761904761904766,60.0,0.7142857142857145,0.0,0.0,0.020044099315849658,0.06666666666666667,0.0,0,4,30,9,40,40,60,31,,,,,,,
2,A,all_agents,,,40,3,13,24,3,0,0.17304070797323437,0.13754554735570385,0.6241429447016424,0.014402415336867692,12,10,0.25,4,1.0,1.0,26.8,66,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A,participants_only,,,30,3,3,24,3,0,0.16900955957063846,0.1371403400404266,0.5618910424612289,0.013521265419931604,12,10,0.3333333333333333,4,1.0,1.0,24.066666666666666,66,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A,nonparticipants_only,,,10,0,10,0,0,0,0.1851341531810221,0.14092574317569284,0.6241429447016424,0.016850863198350937,0,0,0.0,0,0.0,0.0,35.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A,step_totals,,,,,,,,,,,,,,,,,,,,,87.60000000000001,20.0,0.228310502283105,4.000000000000002,0.04566210045662102,60.0,0.684931506849315,0.0,0.0,0.01825351731686803,0.06666666666666667,0.5263157894736844,4,4,24,7,40,40,60,29,3.0000000000000004,0.03424657534246576,0.6000000000000001,0.006849315068493151,15,3,
3,A,all_agents,,,40,7,12,21,7,0,0.17939746610219542,0.1420846369930357,0.6210222299781343,0.014519164611951208,20,16,0.4,8,1.375,1.25,28.2,102,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,A,participants_only,,,30,7,2,21,7,0,0.17725861197679058,0.1420846369930357,0.5794154007627798,0.013894963605446765,20,16,0.5333333333333333,8,1.375,1.25,24.266666666666666,102,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,A,nonparticipants_only,,,10,0,10,0,0,0,0.18581402847841,0.1402211144598144,0.6210222299781343,0.0163368712678274,0,0,0.0,0,0.0,0.0,40.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
