seed,condition,topology,peer_learning_enabled,random_seed,agent_initial_states_sha256,participant_ids_sha256,base_graph_sha256,cultural_edge_count,network_density,assortativity_target,assortativity_swap_budget,assortativity_achieved_structured,assortativity_achieved_rewired,assortativity_target_reached,steps,final_state_sha256
1,A,structured,True,1,7c340814bcd876414ef4a1c52ce897193765bd7b16386697fb43d8b8444213e9,f7db358cd6669cef54376a567cba02ed91a86ecdb027c040c07c1db2a2b2b86f,eb94db93a6a3de38024516cc8d94345b6e269fed1e96d2b0b12fdb5e2d739996,60,0.15384615384615385,0.3,600,0.3455290102651168,-0.0698300266035665,True,156,5d54129b6f7d058209ba5217813c56ff26f06e3bb87044b0e1053a4352e0f529
1,B,rewired,True,1,7c340814bcd876414ef4a1c52ce897193765bd7b16386697fb43d8b8444213e9,f7db358cd6669cef54376a567cba02ed91a86ecdb027c040c07c1db2a2b2b86f,4a789dc592ac942598211dfe82577f53738a26172d739e2f258247c2fd7b4daf,67,0.15384615384615385,0.3,600,0.3455290102651168,-0.0698300266035665,True,156,8f57ac46bd1089c6b961eabe9d6e704bb8efd2ed8d935c156194ebab2ec5648e
1,C,structured,False,1,7c340814bcd876414ef4a1c52ce897193765bd7b16386697fb43d8b8444213e9,f7db358cd6669cef54376a567cba02ed91a86ecdb027c040c07c1db2a2b2b86f,eb94db93a6a3de38024516cc8d94345b6e269fed1e96d2b0b12fdb5e2d739996,60,0.15384615384615385,0.3,600,0.3455290102651168,-0.0698300266035665,True,156,9b24130f8e0e6e8345f6df49f355cfc9639a65a3abdd2d0943c6b3351ac471dc
1,D,rewired,False,1,7c340814bcd876414ef4a1c52ce897193765bd7b16386697fb43d8b8444213e9,f7db358cd6669cef54376a567cba02ed91a86ecdb027c040c07c1db2a2b2b86f,4a789dc592ac942598211dfe82577f53738a26172d739e2f258247c2fd7b4daf,67,0.15384615384615385,0.3,600,0.3455290102651168,-0.0698300266035665,True,156,9734c15ccf3034bec084fcd0ae9d27b07686a5c9fd706955e75c78895ee4ebd6
2,A,structured,True,2,1e46d3a1c01e5e96531874fc94f45c5debeca2ef3f130b42f55f95ff04215305,233acb79c2305c158b69e7a98faddd9c40333c6f3846e1e6fe3a4876d021db64,245427cb1ed6f61c86dd01b2a27cd2c156258c4d31cd20eeda8a57433338698b,66,0.15384615384615385,0.3,600,0.3378597692904275,-0.11374280651186365,True,156,f24869cdad458634ccb42c2b6786282f28ea01be4ea6ad423ecf02aec94fa739
2,B,rewired,True,2,1e46d3a1c01e5e96531874fc94f45c5debeca2ef3f130b42f55f95ff04215305,233acb79c2305c158b69e7a98faddd9c40333c6f3846e1e6fe3a4876d021db64,7e7ecb5c90ba386fb109a4f65a3f1d70a6d60654857fce49ceb458de64829481,65,0.15384615384615385,0.3,600,0.3378597692904275,-0.11374280651186365,True,156,c3b26dcfce9d74abbea593dfdd82dbc525f79d0b57840066d6989cadeeab6b3a
2,C,structured,False,2,1e46d3a1c01e5e96531874fc94f45c5debeca2ef3f130b42f55f95ff04215305,233acb79c2305c158b69e7a98faddd9c40333c6f3846e1e6fe3a4876d021db64,245427cb1ed6f61c86dd01b2a27cd2c156258c4d31cd20eeda8a57433338698b,66,0.15384615384615385,0.3,600,0.3378597692904275,-0.11374280651186365,True,156,edaa362d749933878d39b1449655d77515fe69367d8b09e468e11fa4c735adb8
2,D,rewired,False,2,1e46d3a1c01e5e96531874fc94f45c5debeca2ef3f130b42f55f95ff04215305,233acb79c2305c158b69e7a98faddd9c40333c6f3846e1e6fe3a4876d021db64,7e7ecb5c90ba386fb109a4f65a3f1d70a6d60654857fce49ceb458de64829481,65,0.15384615384615385,0.3,600,0.3378597692904275,-0.11374280651186365,True,156,2cac759dc69db22a914f43a65a194e50b3d4ee3746825d6cc6eba08658660a55
3,A,structured,True,3,12a483ac1d84d75286f0b60ebdc58a0f3c1882fcca2bf765787f5f714ebe50e3,453d91cb2e8621aad6dd0dd031476cb4ad84e41474ea26011f87084a044d75d5,8557bc5b31899668e496c8af39b3175ba88f55fa3840e6ecf8194ae4d81fd735,64,0.15384615384615385,0.3,600,0.3405500502405617,-0.0698007135134443,True,156,50a37f7557c782d686b5ef4e36317ce575a7ab26b278536f9f65ddaf534dedb3
3,B,rewired,True,3,12a483ac1d84d75286f0b60ebdc58a0f3c1882fcca2bf765787f5f714ebe50e3,453d91cb2e8621aad6dd0dd031476cb4ad84e41474ea26011f87084a044d75d5,3be606ea64dd488f2fa7b9ddfb60f4b56f484d01ec3650a8558ad7ca34bcc84b,64,0.15384615384615385,0.3,600,0.3405500502405617,-0.0698007135134443,True,156,0262b25b5244a0f12c62b0979ab3bee317237389a01d130088e874d5b052d40e
